"";"banalfreq";"X.RATING_3";"X.RATING_4"
"unico";78;0,3783;-0,3783
"presente";26;1,0223;-1,0223
"riso";20;-0,5832;0,5832
"famoso";14;-0,5706;0,5706
"sicuro";11;0,4129;-0,4129
"sugo";31;0,2497;-0,2497
"lode";14;0,2727;-0,2727
"resto";35;-0,7268;0,7268
"verdura";27;-1,2956;1,2956
"negativo";13;1,0554;-1,0554
"lungo";22;0,8455;-0,8455
"caldo";26;-0,5996;0,5996
"pecca";24;-0,5939;0,5939
"cacciatora";16;-1,2841;1,2841
"tavola|tavolo";13;0,3819;-0,3819
"cibo";199;-0,487;0,487
"trippa";14;0,4868;-0,4868
"piacevole";40;-0,3415;0,3415
"cicoria";14;0,2727;-0,2727
"nuovo";22;0,8455;-0,8455
"aspetto";21;1,4461;-1,4461
"dettaglio";12;-0,3146;0,3146
"vicino";22;-0,3858;0,3858
"bimbo";11;1,209;-1,209
"menu";40;-0,6416;0,6416
"bar";11;-1,1917;1,1917
"ordine";14;1,2259;-1,2259
"ragazzo";35;-0,5354;0,5354
"menù";86;-0,4255;0,4255
"consiglio";122;-0,5452;0,5452
"caffè";30;0,6597;-0,6597
"piccolo";52;-1,2967;1,2967
"pezzo";14;0,2727;-0,2727
"sapore";72;-1,2719;1,2719
"coda";27;0,6031;-0,6031
"bello";74;-0,7431;0,7431
"sconto";12;-0,5684;0,5684
"gambero";13;0,6597;-0,6597
"economico";19;0,3192;-0,3192
"passato";10;0,3065;-0,3065
"serata";63;0,5262;-0,5262
"coppia";15;-0,2513;0,2513
"prodotto";21;-1,8399;1,8399
"scoperta";10;-0,5682;0,5682
"cucina";205;-1,8266;1,8266
"migliore";83;-0,8422;0,8422
"alice";12;0,2879;-0,2879
"eccellente";64;-1,0662;1,0662
"fisso";12;0,5311;-0,5311
"lista";10;-0,2957;0,2957
"carta";46;-1,6004;1,6004
"centro";11;-0,7424;0,7424
"numero";10;-0,5682;0,5682
"super";41;-0,7388;0,7388
"bagno";13;0,3819;-0,3819
"particolare";38;0,7334;-0,7334
"ripieno";14;-1,9082;1,9082
"versione";11;-0,4232;0,4232
"avviso";14;0,2727;-0,2727
"tonno";12;-0,3146;0,3146
"moderno";14;-1,3425;1,3425
"vista";17;0,3366;-0,3366
"complimento";34;-0,8367;0,8367
"tappa";12;0,2879;-0,2879
"acqua";35;1,873;-1,873
"signore";23;-0,7118;0,7118
"distanza";11;-0,4232;0,4232
"cottura";11;1,209;-1,209
"torno";14;0,7973;-0,7973
"proposta";17;-0,7155;0,7155
"minuto";24;1,0969;-1,0969
"speciale";15;-0,4456;0,4456
"forno";19;-0,7127;0,7127
"maggiore";14;0,4868;-0,4868
"posto";23;-0,3115;0,3115
"discreto";23;-0,4847;0,4847
"caratteristico";17;-0,2681;0,2681
"dolce";133;0,4303;-0,4303
"pessimo";20;1,29;-1,29
"bevanda";17;0,3366;-0,3366
"alto";72;-0,4773;0,4773
"italiano";28;1,6616;-1,6616
"ampio";42;0,5024;-0,5024
"positivo";28;0,9581;-0,9581
"sala|sale";16;0,2598;-0,2598
"pietanza";49;0,3804;-0,3804
"piano";12;0,8918;-0,8918
"prenotazione";31;-1,2572;1,2572
"guanciale";16;1,0957;-1,0957
"cocktail";25;-0,3243;0,3243
"informale";12;0,5311;-0,5311
"stile";15;0,9429;-0,9429
"particolarmente";12;0,2879;-0,2879
"sorriso";10;1,0221;-1,0221
"possibilità";18;0,4226;-0,4226
"olio";11;-0,2121;0,2121
"squisito";31;-1,2572;1,2572
"simpatico";68;1,7115;-1,7115
"giro";14;0,7973;-0,7973
"formula";19;0,7865;-0,7865
"settimana";12;0,2879;-0,2879
"romano";288;1,2522;-1,2522
"caro";17;-1,0564;1,0564
"superiore";11;0,736;-0,736
"cordialità";10;0,5894;-0,5894
"insalata";11;0,4129;-0,4129
"gentilezza";18;0,4226;-0,4226
"esigenza";10;-1,5368;1,5368
"grande";78;1,6968;-1,6968
"pulizia";11;0,4129;-0,4129
"sera";61;0,8556;-0,8556
"sublime";12;-0,9308;0,9308
"facile";11;0,736;-0,736
"noto";44;0,3525;-0,3525
"paio";12;0,8918;-0,8918
"vivamente";16;-0,3465;0,3465
"vasto";18;0,667;-0,667
"sala";48;0,3301;-0,3301
"bicchiere";15;0,6015;-0,6015
"crudo";17;0,3366;-0,3366
"romanesco";11;-0,2121;0,2121
"primo";240;0,3226;-0,3226
"cioccolato";30;1,1975;-1,1975
"ricco";25;-1,3204;1,3204
"collega";15;1,4023;-1,4023
"originale";16;-0,5741;0,5741
"punto";31;0,5432;-0,5432
"ambiente";76;-1,7186;1,7186
"disponibile";63;-0,636;0,636
"storico";27;1,1474;-1,1474
"minimo";11;0,736;-0,736
"carino";68;1,4585;-1,4585
"disponibilità";10;-0,2957;0,2957
"casa";63;-0,2931;0,2931
"pollo";29;-0,5109;0,5109
"soldo";10;1,0221;-1,0221
"parmigiano";21;-0,298;0,298
"cura";17;0,8561;-0,8561
"porzione";64;1,8339;-1,8339
"carciofo";91;-0,6011;0,6011
"sedia";16;-0,5741;0,5741
"persona";48;0,3301;-0,3301
"costo";21;-0,298;0,298
"leggermente";12;-0,9308;0,9308
"personale";249;-1,0437;1,0437
"simpatia";19;-0,4658;0,4658
"scelta";118;0,3751;-0,3751
"aspettativa";21;-1,0133;1,0133
"abbacchio";28;-0,6054;0,6054
"quartiere";22;-1,5765;1,5765
"proprio";51;0,2676;-0,2676
"rapporto";36;0,5697;-0,5697
"secondo";92;-0,7945;0,7945
"panna";21;1,9429;-1,9429
"visita";11;-1,8005;1,8005
"problema";21;1,0459;-1,0459
"completo";10;1,0221;-1,0221
"autentico";10;0,5894;-0,5894
"freddo";33;0,7149;-0,7149
"richiesta";14;0,4868;-0,4868
