"";"X.RATING_3";"X.RATING_4"
"unico";5,37;4,99
"bucatino";0;3,08
"presente";2,2;1,17
"riso";1,1;1,61
"famoso";0,73;1,17
"chef";0,61;2,2
"sicuro";0,85;0,59
"sugo";2,07;2,05
"lode";0,98;0,88
"raffinato";0,12;2,05
"resto";1,95;2,79
"verdura";1,22;2,49
"attento";1,83;5,13
"negativo";1,22;0,44
"lungo";1,83;1,03
"gusto";9,27;4,25
"salmone";0,49;1,91
"pizza";11,83;5,43
"caldo";1,46;2,05
"pecca";1,34;1,91
"cacciatora";0,61;1,61
"giusto";2,44;4,84
"tavola|tavolo";0,98;0,73
"cibo";12,81;13,79
"trippa";1,1;0,73
"piacevole";2,56;2,79
"sabato";2,44;0,44
"cicoria";0,98;0,88
"nuovo";1,83;1,03
"aspetto";1,95;0,73
"carbonaro";12,44;5,28
"dettaglio";0,73;0,88
"vicino";1,34;1,61
"bimbo";1,1;0,29
"menu";2,32;3,08
"sottile";1,83;0,15
"bar";0,37;1,17
"bottiglia";2,68;0,88
"ordine";1,34;0,44
"ragazzo";2,07;2,64
"menù";5,49;6,01
"consiglio";7,69;8,65
"caffè";2,32;1,61
"piccolo";2,68;4,4
"pezzo";0,98;0,88
"sapore";3,9;5,87
"coda";2,07;1,47
"cono";2,07;0
"bello";4,39;5,57
"sconto";0,61;1,03
"gambero";1,1;0,59
"economico";1,34;1,17
"passato";0,73;0,59
"serata";4,51;3,81
"coppia";0,98;1,03
"prodotto";0,73;2,2
"scoperta";0,49;0,88
"cucina";11,71;15,99
"migliore";4,88;6,31
"accogliente";3,54;8,07
"alice";0,85;0,73
"eccellente";3,54;5,13
"fisso";0,98;0,59
"lista";0,61;0,73
"carta";2,2;4,11
"centro";0,49;1,03
"numero";0,49;0,88
"super";2,32;3,23
"bagno";0,98;0,73
"fila|filo";3,66;0,73
"particolare";2,93;2,05
"ripieno";0,37;1,61
"versione";0,61;0,88
"avviso";0,98;0,88
"tonno";0,73;0,88
"moderno";0,49;1,47
"vista";1,22;1,03
"complimento";1,83;2,79
"tappa";0,85;0,73
"acqua";3,17;1,32
"signore";1,22;1,91
"distanza";0,61;0,88
"cottura";1,1;0,29
"torno";1,22;0,59
"proposta";0,85;1,47
"minuto";2,07;1,03
"speciale";0,85;1,17
"forno";0,98;1,61
"maggiore";1,1;0,73
"posto";1,46;1,61
"discreto";1,34;1,76
"caratteristico";1,1;1,17
"dolce";9,15;8,51
"cassa";1,83;0,29
"pessimo";1,83;0,73
"bevanda";1,22;1,03
"accoglienza";1,1;3,08
"alto";4,51;5,13
"aperitivo";3,05;6,01
"enorme";1,46;0,15
"italiano";2,56;1,03
"ampio";3,05;2,49
"positivo";2,32;1,32
"sala|sale";1,1;1,03
"pietanza";3,42;3,08
"piano";1,1;0,44
"can";3,9;0,88
"nastro";0;2,64
"prenotazione";1,46;2,79
"domenica";2,44;0,59
"guanciale";1,46;0,59
"cocktail";1,59;1,76
"informale";0,98;0,59
"stile";1,34;0,59
"particolarmente";0,85;0,73
"sorriso";0,98;0,29
"possibilità";1,34;1,03
"olio";0,73;0,73
"squisito";1,46;2,79
"simpatico";5,61;3,23
"giro";1,22;0,59
"formula";1,59;0,88
"pizzeria";3,05;0,15
"settimana";0,85;0,73
"romano";20,86;17,16
"caro";0,73;1,61
"superiore";0,98;0,44
"cordialità";0,85;0,44
"basso";2,93;0,59
"insalata";0,85;0,59
"gentilezza";1,34;1,03
"esigenza";0,24;1,17
"grande";6,34;3,81
"pulizia";0,85;0,59
"sera";4,64;3,37
"sublime";0,49;1,17
"cameriere";10,86;7,04
"facile";0,98;0,44
"noto";3,05;2,79
"paio";1,1;0,44
"vivamente";0,98;1,17
"buffet";5,61;2,64
"vasto";1,46;0,88
"sala";3,29;3,08
"bicchiere";1,22;0,73
"crudo";1,22;1,03
"romanesco";0,73;0,73
"primo";16,1;15,84
"cioccolato";2,56;1,32
"cordiale";1,71;3,96
"ricco";1,1;2,35
"collega";1,46;0,44
"originale";0,85;1,32
"punto";2,32;1,76
"ambiente";3,9;6,45
