"";"*RATING_3";"*RATING_4"
"unico";44;34
"bucatino";0;21
"presente";18;8
"riso";9;11
"famoso";6;8
"chef";5;15
"sicuro";7;4
"sugo";17;14
"lode";8;6
"raffinato";1;14
"resto";16;19
"verdura";10;17
"attento";15;35
"negativo";10;3
"lungo";15;7
"gusto";76;29
"salmone";4;13
"pizza";97;37
"caldo";12;14
"pecca";11;13
"cacciatora";5;11
"giusto";20;33
"tavola|tavolo";8;5
"cibo";105;94
"trippa";9;5
"piacevole";21;19
"sabato";20;3
"cicoria";8;6
"nuovo";15;7
"aspetto";16;5
"carbonaro";102;36
"dettaglio";6;6
"vicino";11;11
"bimbo";9;2
"menu";19;21
"sottile";15;1
"bar";3;8
"bottiglia";22;6
"ordine";11;3
"ragazzo";17;18
"menù";45;41
"consiglio";63;59
"caffè";19;11
"piccolo";22;30
"pezzo";8;6
"sapore";32;40
"coda";17;10
"cono";17;0
"bello";36;38
"sconto";5;7
"gambero";9;4
"economico";11;8
"passato";6;4
"serata";37;26
"coppia";8;7
"prodotto";6;15
"scoperta";4;6
"cucina";96;109
"migliore";40;43
"accogliente";29;55
"alice";7;5
"eccellente";29;35
"fisso";8;4
"lista";5;5
"carta";18;28
"centro";4;7
"numero";4;6
"super";19;22
"bagno";8;5
"fila|filo";30;5
"particolare";24;14
"ripieno";3;11
"versione";5;6
"avviso";8;6
"tonno";6;6
"moderno";4;10
"vista";10;7
"complimento";15;19
"tappa";7;5
"acqua";26;9
"signore";10;13
"distanza";5;6
"cottura";9;2
"torno";10;4
"proposta";7;10
"minuto";17;7
"speciale";7;8
"forno";8;11
"maggiore";9;5
"posto";12;11
"discreto";11;12
"caratteristico";9;8
"dolce";75;58
"cassa";15;2
"pessimo";15;5
"bevanda";10;7
"accoglienza";9;21
"alto";37;35
"aperitivo";25;41
"enorme";12;1
"italiano";21;7
"ampio";25;17
"positivo";19;9
"sala|sale";9;7
"pietanza";28;21
"piano";9;3
"can";32;6
"nastro";0;18
"prenotazione";12;19
"domenica";20;4
"guanciale";12;4
"cocktail";13;12
"informale";8;4
"stile";11;4
"particolarmente";7;5
"sorriso";8;2
"possibilità";11;7
"olio";6;5
"squisito";12;19
"simpatico";46;22
"giro";10;4
"formula";13;6
"pizzeria";25;1
"settimana";7;5
"romano";171;117
"caro";6;11
"superiore";8;3
"cordialità";7;3
"basso";24;4
"insalata";7;4
"gentilezza";11;7
"esigenza";2;8
"grande";52;26
"pulizia";7;4
"sera";38;23
"sublime";4;8
"cameriere";89;48
"facile";8;3
"noto";25;19
"paio";9;3
"vivamente";8;8
"buffet";46;18
"vasto";12;6
"sala";27;21
"bicchiere";10;5
"crudo";10;7
"romanesco";6;5
"primo";132;108
"cioccolato";21;9
"cordiale";14;27
"ricco";9;16
"collega";12;3
"originale";7;9
"punto";19;12
"ambiente";32;44
"disponibile";31;32
"storico";19;8
"minimo";8;3
"carino";45;23
"disponibilità";5;5
"casa";34;29
"pollo";14;15
"soldo";8;2
"parmigiano";11;10
"cura";12;5
"porzione";44;20
"carciofo";46;45
"sedia";7;9
"persona";27;21
"costo";11;10
"intimo";2;12
"leggermente";4;8
"personale";125;124
"simpatia";9;10
"scelta";66;52
"aspettativa";8;13
"abbacchio";13;15
"quartiere";7;15
"proprio";28;23
"rapporto";22;14
"passione";0;10
"secondo";45;47
"panna";17;4
"visita";2;9
"problema";15;6
"completo";8;2
"autentico";7;3
"cena";51;80
"freddo";21;12
"richiesta";9;5
"salato";15;3
"buonissimo";41;29
"preparazione";6;7
"rapido";8;2
"efficiente";8;5
"trattoria";64;19
"sorridente";5;5
"vero";19;38
"fatto";16;4
"leggero";7;4
"fortuna";9;6
"fritto";13;6
"conto";33;28
"tranquillo";4;13
"stella";6;7
"perfetto";11;25
"via";29;9
"servizio";139;116
"turista";7;4
"pesce";25;35
"cortese";27;22
"meraviglioso";1;12
"bambino";14;7
"medio";47;32
"bocca";5;7
"pepe";72;47
"personalmente";9;7
"giapponese";12;56
"pane";7;10
"pronto";4;12
"pesante";6;4
"pena";21;10
"vecchio";9;5
"delizioso";11;16
"tartufo";2;10
"zabaione";9;3
"giovane";7;7
"occasione";11;7
"idea";9;8
"pecorino";4;14
"buono";249;168
"piatto";162;181
"base";4;11
"veloce";46;21
"proprietario";5;20
"elegante";4;12
"bravo";15;16
"impeccabile";11;12
"norma";12;5
"moglie";4;7
"musico";6;4
"insieme";7;4
"occhio";4;6
"tovaglia";10;2
"livello";22;26
"pieno";17;15
"birra";16;12
"spartano";10;0
"gradevole";10;7
"fresco";19;17
"cinese";20;3
"polpetta";18;20
"certo";12;7
"carne";35;6
"amico";75;52
"vino";49;77
"locale";266;185
"fontana";0;13
"professionalità";8;12
"crema";12;8
"solo";60;42
"interessante";9;6
"melanzana";5;5
"quantità";13;15
"supplì";5;20
"tradizionale";24;14
"esperienza";22;25
"giorno";21;16
"euro";52;38
"normale";10;1
"interno";12;11
"testa";13;7
"zuppa";9;4
"presentazione";1;10
"difficile";13;10
"rigatone";17;9
"pomodoro";11;2
"cortesia";5;13
"anno";52;20
"classico";33;25
"massimo";13;3
"tradizione";28;29
"semplice";13;13
"diverso";28;22
"materia";7;24
"morbido";3;8
"compagnia";7;4
"coratella";7;4
"bianco";10;9
"prossimo";6;5
"ordinazione";12;4
"contorno";12;6
"onesto";11;19
"dessert";3;8
"tavolo";97;68
"spazio";11;6
"condimento";9;5
"scarso";15;5
"bontà";5;13
"cliente";34;27
"ristorante";103;130
"tipico";56;45
"specialità";1;14
"ingresso";9;5
"prezzo";180;144
"zona";40;11
"professionale";13;15
"attenzione";7;12
"solito";7;6
"possibile";12;8
"ottimo";185;189
"linea";6;9
"top";10;22
"oggi";9;3
"salso";6;6
"cacio";66;46
"spettacolare";7;10
"atmosfera";10;31
"osteria";13;12
"arredamento";11;7
"peccato";30;11
"assoluto";5;6
"tempo";31;24
"delusione";12;1
"parcheggio";8;4
"complesso";15;9
"sorpresa";6;8
"gentile";76;60
"attesa";33;13
"fantastico";12;8
"qualità";145;160
"degno";3;8
"cuore";12;8
"compleanno";9;9
"garanzia";6;6
"passo";6;9
"staff";19;11
"offerta";11;5
"antico";6;4
"ragazza|ragazzo";13;9
"patata";15;17
"scontrino";8;2
"grazia";16;25
"pranzo";36;31
"altezza";7;6
"drink";11;8
"gustoso";8;22
"antipasto";52;44
"momento";8;3
"abbondante";29;20
"ingrediente";14;15
"fata";5;10
"turistico";4;10
"titolare";2;10
"spazioso";9;1
"piattino";0;14
"anticipo";4;12
"fettuccina";3;7
"famiglia";14;9
"sicuramente";49;39
"croccante";11;10
"pasta";57;19
"dubbio";8;2
"strepitoso";1;14
"gruppo";10;8
"varietà";14;9
"ricordo";3;9
"ultimo";13;8
"gelato";70;4
"misto";3;7
"formaggio";6;5
"eccezionale";29;24
"parola";8;7
