"";"";"";"";"tradizione";""
"1";"tradizione";"1.54294127712292";"1.12560528631937";"1.88554450384443";"23"
"2";"vaccinara";"1.69528376370651";"1.3129163643947";"1.70725224169879";"45"
"3";"secondo";"1.15456036080306";"0.371060180998244";"1.69816191348427";"48"
"4";"trattoria";"1.91397708528186";"1.25733511565202";"1.67759153159677";"50"
"5";"commensale";"2.12525846805797";"0.989579681818248";"1.64249536751081";"53"
"6";"meritare";"0.543489342457055";"0.5142513806137";"1.54334518966582";"63"
"7";"focaccia";"1.10325136297983";"0.689966584100169";"1.54334518966582";"64"
"8";"coda";"1.45130903185298";"1.25863765382896";"1.53130284764968";"69"
"9";"cicoria";"0.741848363456668";"0.700375316271204";"1.53130284764968";"71"
"10";"zabaione";"-3.19704227442245";"0.148362248141283";"1.52924112372473";"73"
"11";"filetto";"0.166425620554944";"2.71113314419999";"1.50267299951013";"78"
"12";"impeccabile";"0.695705985253244";"0.658855511839156";"1.41692402717727";"89"
"13";"eccellente";"0.545573431644904";"0.455759541073937";"1.41659602564376";"90"
"14";"giudeo";"2.23773136109548";"1.49082362051999";"1.41598687993866";"100"
"15";"fretta";"2.23773136109548";"1.49082362051999";"1.41598687993866";"101"
"16";"sano";"-1.35127892657327";"0.737140643932123";"1.41598687993866";"102"
"17";"carbonaro";"1.12772355450166";"1.15399883872596";"1.39883708547209";"105"
"18";"piatto";"1.07073309839976";"0.223325263307878";"1.3802815701476";"109"
"19";"mattatoio";"0.92210516652975";"0.707973602428248";"1.36917637537007";"113"
"20";"caratteristico";"0.421140252201015";"0.544428710629927";"1.36917637537007";"114"
"21";"ristorante";"1.28292238668463";"0.0663902286326171";"1.36659922046389";"117"
"22";"mare";"2.20121418803136";"1.32808208198046";"1.35615002875338";"122"
"23";"dimenticare";"1.5916201960525";"0.835835624095622";"1.35615002875338";"123"
"24";"ricotta";"0.440220026009537";"0.993158907077286";"1.35615002875338";"125"
"25";"abbacchio";"2.05477605442184";"1.2001394809343";"1.35615002875338";"126"
"26";"settimana";"-0.718659625546563";"0.452313857663294";"1.35615002875338";"128"
"27";"vecchio";"-0.121048906526165";"0.339133759379819";"1.34958999808311";"130"
"28";"servizio";"0.785143928053632";"0.264894341877611";"1.34054652723052";"132"
"29";"ambiente";"0.652843983566379";"0.29257457407944";"1.33581393367553";"133"
"30";"possibile";"1.25812300812873";"0.013078781705531";"1.30788694596494";"136"
"31";"considerare";"0.75133882133881";"-1.07822910580478";"1.30788694596494";"137"
"32";"leggermente";"1.58624791514199";"0.686118446964212";"1.30788694596494";"138"
"33";"gusto";"-0.892747207927443";"0.945617808958562";"1.29603203339652";"141"
"34";"dolce";"0.18539748970394";"-0.0228495799265182";"1.28764456561096";"145"
"35";"capitare";"-1.56456351709885";"0.728747739700519";"1.27101020212562";"147"
"36";"primo";"0.377747221557868";"0.11160149191059";"1.27016676961087";"148"
"37";"casa";"-0.056474577492988";"0.446939399286978";"1.26885476347682";"149"
"38";"menu";"1.24244947317413";"-0.0963586799060673";"1.26599646439905";"150"
"39";"lista";"1.5955572147252";"-0.479319842655513";"1.2474878064365";"154"
"40";"preciso";"0.391975125267605";"-2.73406258089687";"1.24266149815765";"161"
"41";"salvare";"0.351075891435782";"-2.91633310406114";"1.24266149815765";"162"
"42";"asportare";"-1.27085732528299";"0.959018888941434";"1.24266149815765";"164"
"43";"dimensione";"-0.145295526716208";"0.990203605896056";"1.24266149815765";"165"
"44";"pajata";"1.6214520431623";"1.87970029301952";"1.24266149815765";"166"
"45";"esperienza";"0.682729560012266";"-0.814396439954886";"1.24078720368043";"169"
