"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ottimo";-3,584;3,37;-0,078;0,118;1,38;0,118;-2,082
"locale";2,956;0,195;0,33;1,168;3,313;-4,462;-11,162
"buono";-0,874;-0,083;1,258;1,014;3,072;-0,083;-5,188
"fare";3,373;-4,776;0,085;-0,213;-1,928;1,593;0,393
"prezzo";-0,039;2,956;-0,002;2,956;0,33;-4,462;-2,421
"qualità";0,241;1,101;-0,909;0,241;1,496;-5,286;0
"servizio";0,407;0,407;3,641;11,584;1,874;-7,184;-24,939
"pizza";-2,258;25,754;-0,215;0,085;-0,215;-2,258;-1,727
"piatto";-0,183;-4,173;12,432;11,158;3,808;-6,663;-13,243
"mangiare";0,055;-0,745;4,199;0,614;-1,35;-3,845;0,697
"primo";-0,008;-2,959;0,45;10,082;2,998;-2,959;-3,866
"personale";2,161;0,821;-7,689;4,138;-0,001;0,117;-3,083
"romano";-10,082;5,126;16,826;7,884;-1,443;-2,382;-9,616
"provare";-1,239;0,251;-0,681;2,489;0,05;0,251;-0,628
"cibo";3,808;-0,559;-2,243;3,808;0,369;0,11;-5,751
"ristorante";-0,007;-5,278;3,484;10,455;12,14;-8,125;-10,563
"tornare";-0,251;-2,489;0,09;7,44;1,822;-1,081;-1,471
"trovare";1,591;-3,883;0,206;1,591;-4,72;3,24;-0,301
"prendere";1,208;0;-0,047;0;-5,444;0;1,888
"gentile";0,126;0,798;0,356;0,126;0,005;-0,522;-2,126
"roma";-2,17;-0,146;4,257;-0,86;-1,27;0,502;1,077
"consiglio";0,012;0,012;-2,967;2,977;0,142;-0,183;-0,017
"cena";1,208;-2,605;20,652;-1,148;12,154;-10,51;-10,085
"cucina";0,31;-0,28;8,745;1,208;1,877;-2,605;-13,551
"testaccio";-1,963;0,753;-2,419;0,753;-2,419;13,721;-0,625
"vino";-0,473;-8,915;1,928;20,104;6,295;-1,593;-10,911
"dire";0,027;-0,86;2,346;-0,146;-1,27;0,027;0,281
"tavolo";2,833;-0,571;0,791;1,152;0,087;-0,571;-5,251
"scelta";0,617;-0,117;-0,277;1,822;1,262;-2,161;-0,759
"dolce";-0,007;-8,125;1,762;10,455;-0,688;-1,419;0,127
"porre";1,602;0,021;-0,364;0,497;-0,003;1,602;-6,345
"amico";4,895;-0,319;-0,569;0;-0,045;0;-0,351
"consigliare";-1,419;-1,419;-0,084;4,525;1,762;-0,007;-0,454
"buonissimo";-3,801;3,533;-1,109;0,057;-2,517;-0,095;7,036
"solo";12,552;-1,257;0,191;0,002;-5,783;0,002;-0,211
"venire";4,785;0,142;-0,943;2,509;-0,943;-0,69;-1,526
"pranzo";-1,421;2,894;2,191;0,296;-0,603;0,296;-4,669
"antipasto";-0,148;-4,678;5,503;14,163;5,503;-7,593;-9,292
"accogliente";0,219;0,219;-0,084;-0,407;1,762;1,043;-4,926
