"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ottimo";0,058;0,066;0,78;0,731;0,24;0,731;0,149
"locale";0,086;0,658;0,565;0,28;0,069;0,035;0,001
"buono";0,35;0,774;0,262;0,314;0,08;0,774;0,023
"fare";0,066;0,029;0,77;0,644;0,165;0,207;0,531
"prezzo";0,844;0,086;0,962;0,086;0,565;0,035;0,12
"qualità";0,623;0,294;0,34;0,623;0,221;0,021;0,993
"servizio";0,523;0,523;0,056;0,001;0,171;0,007;0
"pizza";0,133;0;0,643;0,771;0,643;0,133;0,189
"piatto";0,669;0,041;0;0,001;0,051;0,01;0
"mangiare";0,815;0,388;0,04;0,433;0,245;0,05;0,404
"primo";0,93;0,085;0,502;0,001;0,083;0,085;0,049
"personale";0,142;0,365;0,006;0,042;0,981;0,732;0,079
"romano";0,001;0,024;0;0,005;0,23;0,123;0,002
"provare";0,266;0,616;0,409;0,115;0,823;0,616;0,428
"cibo";0,051;0,455;0,134;0,051;0,544;0,74;0,016
"ristorante";0,932;0,022;0,062;0,001;0;0,004;0,001
"tornare";0,616;0,115;0,764;0,006;0,177;0,299;0,225
"trovare";0,207;0,049;0,65;0,207;0,03;0,072;0,583
"prendere";0,272;0,989;0,828;0,989;0,02;0,989;0,169
"gentile";0,723;0,372;0,551;0,723;0,943;0,47;0,145
"roma";0,141;0,702;0,039;0,354;0,26;0,479;0,299
"consiglio";0,912;0,912;0,085;0,084;0,706;0,669;0,898
"cena";0,272;0,107;0;0,284;0;0,001;0,001
"cucina";0,578;0,597;0,003;0,272;0,171;0,107;0
"testaccio";0,161;0,385;0,12;0,385;0,12;0;0,429
"vino";0,492;0,003;0,165;0;0,012;0,207;0,001
"dire";0,87;0,354;0,126;0,702;0,26;0,87;0,596
"tavolo";0,092;0,45;0,374;0,283;0,768;0,45;0,022
"scelta";0,432;0,732;0,599;0,177;0,261;0,142;0,384
"dolce";0,932;0,004;0,184;0,001;0,407;0,234;0,721
"porre";0,206;0,886;0,547;0,481;0,955;0,206;0,012
"amico";0,027;0,572;0,451;0,992;0,831;0,992;0,553
"consigliare";0,234;0,234;0,772;0,033;0,184;0,932;0,5
"buonissimo";0,051;0,06;0,292;0,812;0,113;0,758;0,008
"solo";0;0,262;0,662;0,964;0,016;0,964;0,646
"venire";0,029;0,706;0,332;0,113;0,332;0,406;0,217
"pranzo";0,233;0,089;0,139;0,586;0,438;0,586;0,031
"antipasto";0,7;0,031;0,019;0;0,019;0,006;0,002
"accogliente";0,64;0,64;0,772;0,523;0,184;0,307;0,026
"sicuramente";0,206;0,677;0,955;0,481;0,299;0,008;0,925
"gusto";0,074;0,46;0,012;0,001;0,203;0,601;0,042
"grande";0,774;0,719;0,888;0,719;0,441;0,098;0,284
"volere";0,226;0,964;0,484;0,59;0,205;0,53;0,531
"veloce";0,492;0,029;0,407;0,644;0,77;0,644;0,006
"bello";0,262;0,972;0,725;0,972;0,139;0,233;0,105
"panino";0,849;0,849;0,115;0,128;0,458;0;0,929
"carino";0,294;0,082;0,221;0,532;0,01;0,294;0,121
"cameriere";0,029;0,151;0,002;0,113;0,332;0,042;0,018
"zona";0,141;0,658;0,962;0,658;0,565;0,404;0,41
"piccolo";0,492;0,207;0,789;0,492;0,789;0,107;0,657
"servire";0,113;0,82;0,167;0,82;0,332;0,327;0,018
"ordinare";0,009;0,601;0,071;0,914;0,203;0,074;0,363
"arrivare";0;0,172;0,038;0,45;0,037;0,45;0,248
"simpatico";0,59;0,964;0,484;0,59;0,484;0,003;0,646
"casa";0,835;0,164;0,089;0,002;0,262;0,031;0,792
"pepe";0,01;0,283;0;0;0,037;0,048;0,004
"disponibile";0,374;0,771;0,027;0,374;0,014;0,759;0,061
"carciofo";0,025;0,112;0,005;0;0,092;0,703;0,013
"anno";0,151;0,151;0,167;0,406;0,702;0,042;0
"serata";0;0,497;0,7;0,497;0,324;0,195;0,005
"sapore";0,164;0,7;0,587;0,835;0,972;0,116;0,414
"euro";0,026;0,314;0,008;0,098;0,262;0,314;0,893
"ambiente";0,294;0,294;0,273;0,476;0,001;0,294;0,044
"tipico";0,844;0,658;0,055;0,035;0,565;0,086;0,156
"menù";0,114;0,098;0,161;0,004;0,441;0,021;0,011
"fresco";0,783;0,783;0,092;0,783;0,814;0,019;0,971
"cacio";0,013;0,205;0;0;0,051;0,065;0,006
"sera";0,092;0,884;0,008;0,45;0,037;0,172;0,985
"secondo";0,983;0,221;0,09;0;0,179;0,221;0,031
"pasta";0,056;0,497;0,005;0,016;0,829;0,195;0,283
"carbonaro";0,029;0,851;0;0,07;0,739;0,128;0,072
"carne";0,495;0,167;0,226;0,495;0,06;0,038;0,313
"proprietario";0,352;0,299;0,092;0,112;0,13;0,783;0,072
"eccellente";0,497;0,497;0,414;0;0,324;0,195;0,283
"cliente";0,003;0,352;0,686;0,112;0,814;0,783;0,971
"atmosfera";0,964;0,088;0,484;0,59;0,001;0,964;0,646
"musico";0;0,312;0,274;0,312;0,06;0,312;0,05
"ingrediente";0,438;0,209;0,027;0,146;0,274;0,009;0,643
"gelato";0,724;0,188;0,173;0,188;0,671;0,188;0
"unico";0,922;0,922;0,274;0,146;0,821;0,922;0,425
"tradizione";0,021;0,098;0,008;0;0,888;0,314;0,011
"tempo";0,167;0,167;0,06;0,995;0,59;0,167;0,119
"friggere";0,167;0,006;0,011;0,495;0,14;0,038;0,313
"via";0,563;0,146;0,016;0,146;0,376;0,033;0,007
"rimanere";0,541;0,541;0,972;0,189;0;0,189;0,789
"proprio";0,215;0,85;0,446;0,215;0,948;0,105;0,869
"portare";0,429;0,189;0,517;0,136;0,183;0,044;0,357
"menu";0,844;0,086;0,503;0,035;0,002;0,018;0,044
"medio";0,404;0,086;0,503;0,141;0,503;0,28;0,41
"pagare";0,008;0,731;0,655;0,058;0,655;0,276;0,042
"pieno";0,299;0,299;0,814;0,299;0,296;0,352;0,208
"giusto";0,205;0,547;0,897;0,547;0,633;0,983;0,68
"conto";0,922;0,146;0;0,563;0,821;0,146;0,274
"chiedere";0,002;0,599;0,528;0,85;0,528;0,051;0,616
"caldo";0,495;0,038;0,422;0,995;0,226;0,17;0,713
"sushi";0;0,317;0,3;0,317;0,3;0,827;0,977
"prodotto";0,041;0,201;0,066;0,312;0,726;0,076;0,111
"piacevole";0,003;0,025;0,296;0,352;0,13;0,703;0,517
"migliore";0,599;0,599;0,144;0,105;0,184;0,599;0,869
"diverso";0,167;0,167;0,226;0,039;0,06;0,167;0,313
"ampio";0,804;0,804;0,726;0,041;0,693;0,804;0,21
"sentire";0,209;0,922;0,122;0,209;0,376;0,438;0,425
"preparare";0,09;0,783;0,02;0,019;0,686;0,352;0,971
"pesce";0,201;0,312;0,274;0,606;0,06;0,312;0,588
"assaggiare";0,541;0,928;0,517;0,541;0,161;0,928;0,091
"trattoria";0,087;0,352;0;0,003;0,312;0,087;0,058
"rapporto";0,146;0,209;0,274;0,209;0,274;0,033;0,274
"cordiale";0,029;0,393;0,106;0,252;0,022;0,252;0,949
"vedere";0,438;0,438;0,664;0,209;0,664;0,922;0,643
"torta";0,214;0,816;0,198;0,214;0,762;0,214;0
"piacere";0,719;0,098;0,888;0,314;0,624;0,35;0,023
"offrire";0;0,599;0,948;0,215;0,948;0,215;0,406
"mercato";0,128;0,295;0,458;0,505;0,115;0;0,375
"alto";0,487;0,495;0,226;0,17;0,59;0,038;0,313
"supplì";0,112;0;0,435;0,448;0,1;0,448;0,079
"scegliere";0,606;0,201;0,726;0,606;0,693;0,312;0,21
"ragazzo";0,08;0,769;0,21;0,306;0,588;0,662;0,461
"birra";0,08;0,769;0,378;0,244;0,865;0,244;0,461
"persona";0,08;0,244;0,865;0,08;0,588;0,244;0,461
"giorno";0,366;0,051;0,446;0,105;0,948;0,215;0,869
