"";"";"";"";"pacare";""
"1";"pacare";"-0.258060336011119";"2.90962741814492";"1.70973568188111";"38"
"2";"entusiasmare";"2.28885540338526";"1.71866177447532";"1.70847053310899";"41"
"3";"vaccinara";"1.69528376370651";"1.3129163643947";"1.70725224169879";"45"
"4";"secondo";"1.15456036080306";"0.371060180998244";"1.69816191348427";"48"
"5";"rispetto_alla";"2.08435923422615";"0.807309158653979";"1.64638452855104";"51"
"6";"focaccia";"1.10325136297983";"0.689966584100169";"1.54334518966582";"64"
"7";"coda";"1.45130903185298";"1.25863765382896";"1.53130284764968";"69"
"8";"sugo";"1.05475596490921";"1.2504189615924";"1.53130284764968";"70"
"9";"cicoria";"0.741848363456668";"0.700375316271204";"1.53130284764968";"71"
"10";"zabaione";"-3.19704227442245";"0.148362248141283";"1.52924112372473";"73"
"11";"antipasto";"1.63551503000063";"0.227835647308695";"1.46139166364934";"80"
"12";"conto";"0.903602314134283";"0.0623204094327507";"1.45145790292007";"82"
"13";"comprendere";"0.200710534411793";"0.565831822487457";"1.44639730783157";"84"
"14";"impeccabile";"0.695705985253244";"0.658855511839156";"1.41692402717727";"89"
"15";"digeribile";"-0.0605350705815116";"3.00607068088208";"1.41598687993866";"98"
"16";"turista";"2.23773136109548";"1.49082362051999";"1.41598687993866";"99"
"17";"fretta";"2.23773136109548";"1.49082362051999";"1.41598687993866";"101"
"18";"carbonaro";"1.12772355450166";"1.15399883872596";"1.39883708547209";"105"
"19";"piatto";"1.07073309839976";"0.223325263307878";"1.3802815701476";"109"
"20";"mattatoio";"0.92210516652975";"0.707973602428248";"1.36917637537007";"113"
"21";"caratteristico";"0.421140252201015";"0.544428710629927";"1.36917637537007";"114"
"22";"pera";"1.36668307506597";"0.363448657116989";"1.36917637537007";"115"
"23";"ristorante";"1.28292238668463";"0.0663902286326171";"1.36659922046389";"117"
"24";"mare";"2.20121418803136";"1.32808208198046";"1.35615002875338";"122"
"25";"dimenticare";"1.5916201960525";"0.835835624095622";"1.35615002875338";"123"
"26";"ricotta";"0.440220026009537";"0.993158907077286";"1.35615002875338";"125"
"27";"abbacchio";"2.05477605442184";"1.2001394809343";"1.35615002875338";"126"
"28";"staff";"0.190486756860783";"0.594294356359034";"1.34958999808311";"131"
"29";"servizio";"0.785143928053632";"0.264894341877611";"1.34054652723052";"132"
"30";"ambiente";"0.652843983566379";"0.29257457407944";"1.33581393367553";"133"
"31";"considerare";"0.75133882133881";"-1.07822910580478";"1.30788694596494";"137"
"32";"leggermente";"1.58624791514199";"0.686118446964212";"1.30788694596494";"138"
"33";"gusto";"-0.892747207927443";"0.945617808958562";"1.29603203339652";"141"
"34";"capitare";"-1.56456351709885";"0.728747739700519";"1.27101020212562";"147"
"35";"primo";"0.377747221557868";"0.11160149191059";"1.27016676961087";"148"
"36";"casa";"-0.056474577492988";"0.446939399286978";"1.26885476347682";"149"
"37";"cameriere";"1.16202371564463";"-0.476733932469525";"1.2623884475304";"151"
"38";"spazio";"0.689569880845455";"-0.354755847050469";"1.2474878064365";"152"
"39";"preciso";"0.391975125267605";"-2.73406258089687";"1.24266149815765";"161"
"40";"salvare";"0.351075891435782";"-2.91633310406114";"1.24266149815765";"162"
"41";"parcheggio";"0.146062504382459";"-3.09545274552576";"1.24266149815765";"163"
"42";"asportare";"-1.27085732528299";"0.959018888941434";"1.24266149815765";"164"
"43";"dimensione";"-0.145295526716208";"0.990203605896056";"1.24266149815765";"165"
"44";"inserire";"0.691648789005182";"1.80023184803894";"1.24266149815765";"167"
"45";"doc";"2.00204354866829";"1.17500108668217";"1.24266149815765";"168"
