"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"ottimo";-0,272645564529398;0,336418056947184;0,214889942673826;-0,00793439700049588;-0,221380595645675;-0,123960951477951;-0,499339929469196;0,61613681160787;0,393562715768361;-0,0145315448114727;-0,405450098578958;-0,227029744183718;0,300956697591798;0,395679616829786;0,144008531169412;0,000166574762542985;0,125031405186972;0,0341571744594744;0,000771164705218261;0,00117411021638602;0,000479051771850954;6,53097654866009e-07;0,000508427899477622;0,000159411655835752;0,0103740961961647;0,213042598962875;0,000470850649514072
"locale";0,157620627357256;0,0122859967062188;0,156160399346502;-0,0175045822486277;-0,378866832805246;-0,0845598252111253;0,352117729229688;0,0274463903237221;0,348855642408152;-0,0391044868672599;-0,846372274267477;-0,188903027075981;0,179595828623414;0,000942255918797076;0,13578783546422;0,00144759759702439;0,653847077004415;0,0283794053920956;0,00023430615059882;1,42356851680497e-06;0,000229984944898386;2,88975541998401e-06;0,00135372596981966;6,74350585325626e-05;0,00943099654196793;0,159435471372119;0,000239732815450958
"buono";-0,0296486437929612;0,222907394474494;0,171339626213476;0,112085023414034;-0,080300257433418;-0,207414129996131;-0,0786915734392093;0,591626845562385;0,454758904770725;0,297489049179206;-0,213127914016404;-0,550505593338307;0,00859337237883894;0,419450639687253;0,221064241697047;0,0802644715879851;0,0397210492316673;0,230906225417167;8,38235661399271e-06;0,000473811305935039;0,000279944602692926;0,000119798572263328;6,14879966774034e-05;0,000410235412376266;0,00953578539243424;0,137101762420633;0,000179243140160829
"fare";-0,447313616581201;-0,274577542156647;0,0297647060396366;-0,104303522691832;0,326527746813773;-0,0598928760962243;-0,709525720589629;-0,435532971129794;0,0472125679122445;-0,165445515975086;0,517936021311556;-0,095001659898374;0,584816529016342;0,190284481472155;0,00199456180773516;0,02078105369464;0,196366977041088;0,00575639696804058;0,00165640451165643;0,000624125883462854;7,33407527239363e-06;9,00616957799551e-05;0,000882637450037;2,96956273665657e-05;0,00827831918683852;0,250739248705897;0,000520459341557813
"prezzo";-0,0595198862764864;0,268115423279318;0,020418746936925;-0,0731833967031409;-0,396970468136898;0,0769932558852722;-0,120318393055151;0,541990566521182;0,0412761343030517;-0,147938936723375;-0,80246875127938;0,155640499398261;0,0205972795471047;0,360916897806099;0,00186720822993334;0,0203509652960586;0,577344385242914;0,0189232638778851;3,34104073784898e-05;0,000677955487584857;3,93202036913725e-06;5,05106213738695e-05;0,00148618880137845;5,59065839529866e-05;0,00943099654196793;0,177777658617226;0,000298065663974439
"qualità";-0,194989183406332;0,106021426106594;-0,095000089184902;0,106597946830193;-0,616151171498421;0,0891295391268261;-0,28836357756755;0,156791865050286;-0,140492744818095;0,157644464027802;-0,911207242534417;0,131810966744752;0,124375896221637;0,0317526816155599;0,0227411336168773;0,0242933312643663;0,782568944138518;0,0142680131430262;0,000294827396181981;8,71633832895344e-05;6,99833651828891e-05;8,81139104959175e-05;0,00294388847262673;6,16013340801709e-05;0,00775437493450697;0,237007685903435;0,000435583736259069
"servizio";0,785143928053632;0,264894341877611;0,168516718787286;-0,105882549847696;-0,349145268594515;0,0467577757651197;0,851449049305646;0,287264573410457;0,182747894846791;-0,114824292953992;-0,378630460470246;0,0507064530468333;0,786028247617214;0,0772614594916597;0,0278916682673593;0,00934248897235841;0,0979455688628854;0,00153056678852091;0,00465099770708195;0,000529410970327114;0,000214256280496699;8,45855846255882e-05;0,000919729030483014;1,64951116843851e-05;0,00754479723357435;0,379620992787118;0,00108729655955745
"pizza";-0,130096286974157;1,38429540354285;0,267611987719005;-1,05338258298524;-1,7055414963512;0,181807101494378;-0,0528639028250731;0,56250073999899;0,108742643180987;-0,428036155371737;-0,693037303556171;0,0738763047727577;0,00393316695922721;0,384545802940306;0,0128195449105834;0,168522951095184;0,425961187816037;0,00421734627866155;5,85273444605737e-05;0,00662653612290737;0,000247651032907917;0,00383708378733207;0,0100589719438965;0,000114301176891435;0,00345803206538824;0,889229233311833;0,00273436495540392
"piatto";1,07073309839976;0,223325263307878;-0,211443490349202;0,371498520046866;0,18271068040359;-0,268847143632459;0,878735585557826;0,183279900767049;-0,173528696910634;0,304883607348213;0,149948084141669;-0,220639067325454;0,833861773813972;0,031324580407624;0,0250477747925949;0,0656024404971111;0,0153000323605373;0,0288633981281594;0,00684782080860309;0,000297896665010729;0,000267041384033327;0,00082433569869325;0,000199396624312265;0,000431718625007012;0,00597296447657969;0,502636724030344;0,00150903170403495
"mangiare";-0,160613520407136;0,0514978553413452;-0,533596022165712;-0,13388419784322;0,0420486092308125;-0,0731190388690213;-0,276176686089697;0,0885511194378092;-0,917524133328336;-0,230215326744529;0,0723030385151216;-0,125728978442918;0,0980233442375665;0,00870204934674071;0,833372913957248;0,0445141581760702;0,00423351842633991;0,0111540158560309;0,000189224479265446;1,94532156903561e-05;0,00208851828994812;0,000131483651917487;1,29692955755203e-05;3,92169725619891e-05;0,00733521953264173;0,219906144694912;0,00035472177231694
