ottimo;11;16;14;14;16;14;14
locale;15;13;14;14;16;9;9
buono;11;12;15;14;16;12;11
fare;14;7;12;10;9;13;14
prezzo;12;15;13;15;14;9;12
qualità;11;12;9;11;13;6;12
servizio;11;11;14;16;13;5;2
pizza;2;13;4;5;4;2;3
piatto;7;4;15;14;12;3;2
mangiare;10;8;14;11;8;6;13
primo;9;6;11;15;13;6;7
personale;13;12;6;14;11;11;9
romano;1;11;15;12;5;4;2
provare;6;9;7;11;9;9;8
cibo;11;6;5;11;9;8;4
ristorante;6;2;10;12;13;1;1
tornare;7;5;9;13;11;6;7
trovare;10;4;9;10;4;11;8
prendere;9;7;7;7;3;7;11
gentile;9;10;10;9;9;7;7
roma;4;6;11;5;5;8;10
consiglio;8;8;5;11;9;7;9
cena;9;4;16;5;14;1;2
cucina;8;6;13;9;10;4;1
testaccio;3;7;3;7;3;12;5
vino;4;0;8;13;10;3;0
dire;7;5;10;6;5;7;9
tavolo;7;3;6;6;5;3;1
scelta;7;5;5;8;8;3;5
dolce;6;1;9;12;5;4;8
porre;8;6;5;7;6;8;2
amico;10;5;5;6;6;6;6
consigliare;4;4;6;10;9;6;6
buonissimo;3;10;5;7;4;6;13
solo;11;3;6;5;1;5;5
venire;8;5;3;7;3;3;3
pranzo;3;8;8;6;4;6;2
antipasto;4;1;9;11;9;0;0
accogliente;7;7;6;5;9;8;3
sicuramente;8;5;6;7;8;1;7
gusto;1;5;0;9;2;3;8
grande;4;3;4;3;5;1;6
volere;7;5;4;4;3;6;7
veloce;4;9;7;6;5;6;1
bello;7;5;6;5;8;3;3
panino;2;2;0;0;1;6;2
carino;4;9;4;7;11;4;4
cameriere;8;2;10;7;3;1;1
zona;6;3;4;3;3;5;3
piccolo;4;3;6;4;6;8;7
servire;7;4;7;4;3;6;1
ordinare;8;3;7;4;2;1;3
arrivare;11;2;8;3;1;3;3
simpatico;4;5;4;4;4;10;5
casa;5;7;2;10;3;1;6
pepe;0;6;11;12;1;1;0
disponibile;6;5;1;6;9;4;2
carciofo;0;1;8;11;1;4;0
anno;2;2;7;3;4;1;13
serata;11;3;5;3;6;2;0
sapore;7;4;4;5;5;2;7
euro;7;2;8;1;2;2;4
ambiente;3;3;7;6;11;3;2
