"";"";"";"";"focaccia";""
"1";"focaccia";"0.462298936004494";"-2.22379216454782";"1.37077906620873";"62"
"2";"tonnarelli";"1.20824579210807";"-2.10645987362792";"1.3257047641718";"71"
"3";"gricia";"1.80456917551138";"-2.24105887669796";"1.27666541979801";"87"
"4";"antipasto";"1.43124307017702";"-0.872557688300758";"1.27419661985242";"89"
"5";"pure";"1.21002789486152";"-1.34936602862093";"1.26323664433638";"91"
"6";"trattoria";"1.43236009900821";"-1.95498387338025";"1.2058183425715";"107"
"7";"secondo";"1.21765656952752";"-1.09371569303356";"1.17009555547999";"125"
"8";"tagliere";"1.16285317457968";"-0.935118511140222";"1.16919781004523";"128"
"9";"salume";"1.1211463086494";"-2.15822611353623";"1.16919781004523";"129"
"10";"finalmente";"0.991960277766096";"-1.52782965704679";"1.16919781004523";"131"
"11";"matriciana";"1.81931447204163";"-2.33009816520195";"1.168038222192";"132"
"12";"consegna";"-2.4758247440408";"1.08094929455595";"1.168038222192";"136"
"13";"tiramisù";"0.561808956610077";"-1.75985505107847";"1.14735267113272";"145"
"14";"materia";"-1.66942736566841";"0.048054530169333";"1.14735267113272";"148"
"15";"servizio";"0.792127177864613";"-0.344587209416797";"1.14593124086102";"149"
"16";"compleanno";"1.18569497145811";"1.15836488601683";"1.14002108341551";"151"
"17";"misto";"1.15022339054715";"-0.189768778280248";"1.13755228346992";"154"
"18";"splendido";"0.443320291644178";"-0.78921487113356";"1.13755228346992";"155"
"19";"sollecitare";"1.67710717078095";"-0.799507987906965";"1.13182915632332";"158"
"20";"ungere";"0.779434875218402";"-2.11680973195537";"1.13182915632332";"159"
"21";"tiramisu";"1.76770593418575";"-2.01846065543799";"1.13182915632332";"160"
"22";"fettuccina";"1.76770593418575";"-2.01846065543799";"1.13182915632332";"163"
"23";"delusione";"1.76770593418575";"-2.01846065543799";"1.13182915632332";"164"
"24";"tipico";"0.503464271689759";"-0.679906586242378";"1.13104362906791";"165"
"25";"carbonaro";"0.706688341354021";"-1.68496061855494";"1.13104362906791";"166"
"26";"lasciare";"0.83769753018507";"0.119313777356471";"1.13104362906791";"167"
"27";"inoltre";"0.433405812587682";"1.20238460338555";"1.13025810181249";"170"
"28";"tavolo";"1.33038364027345";"0.79526380638326";"1.11866222328017";"172"
"29";"notare";"-0.0753983054166181";"0.838348308216099";"1.10972217499235";"179"
"30";"arredare";"0.92029001793357";"1.62828094451788";"1.10972217499235";"182"
"31";"programma";"0.715218541757264";"0.917027569430001";"1.10972217499235";"183"
"32";"venerdì";"0.715218541757264";"0.917027569430001";"1.10972217499235";"185"
"33";"salvare";"0.685727948696762";"1.09510614643797";"1.10972217499235";"186"
"34";"speciale";"0.774370140356756";"0.518824050175181";"1.10822593260108";"190"
"35";"bere";"1.06920983738125";"0.397871041212521";"1.10822593260108";"191"
"36";"seduta";"0.727428376593988";"2.07504298834298";"1.10811371442174";"201"
"37";"presentare";"1.0253256738765";"-1.80645775869257";"1.10500901145986";"207"
"38";"bagno";"1.8826179047471";"2.60833771134484";"1.10351276906859";"211"
"39";"meglio";"0.666250810298753";"0.222944133264308";"1.09913626007413";"213"
"40";"pessimo";"1.0160214707273";"0.323674245904806";"1.09913626007413";"214"
"41";"vecchio";"0.136023028069523";"-0.519572539620484";"1.09846295099806";"215"
"42";"accogliente";"0.0172711041055029";"-0.291399268726536";"1.09116876934063";"216"
"43";"riprovare";"1.82914466972847";"-2.38945769087127";"1.0824531574115";"220"
"44";"quinto";"1.75749730695623";"-1.06098509584319";"1.0824531574115";"221"
"45";"entusiasmare";"1.82914466972847";"-2.38945769087127";"1.0824531574115";"225"
"46";"recensire";"1.75749730695623";"-1.06098509584319";"1.0824531574115";"228"
"47";"rappresentare";"1.75749730695623";"-1.06098509584319";"1.0824531574115";"229"
"48";"mitico";"1.75749730695623";"-1.06098509584319";"1.0824531574115";"230"
"49";"fortemente";"1.82914466972847";"-2.38945769087127";"1.0824531574115";"231"
"50";"convincere";"1.96170939002321";"-0.240040114425874";"1.0824531574115";"232"
"51";"azzeccare";"1.96170939002321";"-0.240040114425874";"1.0824531574115";"233"
"52";"aziendale";"1.75749730695623";"-1.06098509584319";"1.0824531574115";"234"
"53";"assaporare";"-1.27383795595017";"-0.42693369730647";"1.0824531574115";"238"
"54";"variare";"-1.27383795595017";"-0.42693369730647";"1.0824531574115";"240"
"55";"seme";"-1.32298894438434";"-0.130136068959847";"1.0824531574115";"242"
"56";"salutare";"-1.32298894438434";"-0.130136068959847";"1.0824531574115";"243"
"57";"pane_che";"-1.27383795595017";"-0.42693369730647";"1.0824531574115";"246"
"58";"pagamento";"-1.32298894438434";"-0.130136068959847";"1.0824531574115";"247"
"59";"gentilissima";"-2.89546732851497";"0.514946645507673";"1.0824531574115";"257"
"60";"dunque";"-2.9671146912872";"1.84341924053575";"1.0824531574115";"260"
"61";"primo";"0.234837743321088";"-0.509289271038823";"1.08069507260176";"267"
"62";"giudia";"1.79403682084692";"-2.1774593849094";"1.07961029686809";"268"
"63";"bruschetta";"1.1775397794914";"-1.53711447575874";"1.07961029686809";"269"
