"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;3;3;3
"2";2;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;4;4;4;4
"4";4;0;0;0;0;0;0;3;3;3
"5";5;0;0;0;0;0;4;4;4;4
"6";6;0;0;0;0;0;0;0;0;0
"7";7;0;0;0;0;0;0;0;0;0
"8";8;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;0;0;0;0;0;0
"10";10;0;0;0;0;0;0;0;0;0
"11";11;0;0;0;0;0;0;3;3;3
"12";12;0;0;0;0;0;0;0;2;2
"13";13;0;0;0;0;0;5;5;5;5
"14";14;0;0;0;0;0;5;5;5;5
"15";15;0;0;0;0;0;0;3;3;3
"16";16;0;0;7;7;7;7;7;7;7
"17";17;0;0;7;7;7;7;7;7;7
"18";18;0;0;0;0;0;0;0;0;0
"19";19;0;0;0;0;0;0;0;0;0
"20";20;0;0;0;0;0;5;5;5;5
"21";21;0;0;0;0;0;5;5;5;5
"22";22;0;0;0;0;0;5;5;5;5
"23";23;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;5;5;5;5
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;0;2;2
"27";27;0;0;0;0;0;0;3;3;3
"28";28;0;0;0;0;0;5;5;5;5
"29";29;0;0;0;0;0;0;0;2;2
"30";30;0;0;0;0;6;6;6;6;6
"31";31;0;0;0;0;0;0;0;2;2
"32";32;0;0;0;0;0;0;0;0;0
"33";33;0;0;0;0;0;0;0;2;2
"34";34;0;0;0;0;6;6;6;6;6
"35";35;0;0;0;0;0;0;0;0;0
"36";36;0;0;0;0;0;0;3;3;3
"37";37;0;0;7;7;7;7;7;7;7
"38";38;0;0;0;0;0;5;5;5;5
"39";39;0;0;0;0;0;4;4;4;4
"40";40;0;0;0;0;0;4;4;4;4
"41";41;0;0;0;0;0;4;4;4;4
"42";42;0;0;0;0;6;6;6;6;6
"43";43;0;0;0;0;0;4;4;4;4
"44";44;0;0;7;7;7;7;7;7;7
"45";45;0;0;0;0;0;0;0;2;2
"46";46;0;0;0;0;0;4;4;4;4
"47";47;0;0;7;7;7;7;7;7;7
"48";48;0;0;0;0;0;4;4;4;4
"49";49;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;1
"51";51;0;0;0;0;6;6;6;6;6
"52";52;0;0;0;0;0;5;5;5;5
"53";53;0;0;0;0;0;4;4;4;4
"54";54;0;0;0;0;0;0;0;0;0
"55";55;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;1
"57";57;0;0;0;0;0;5;5;5;5
"58";58;0;0;0;0;0;0;0;0;1
"59";59;0;0;0;0;0;0;0;2;2
"60";60;0;0;0;0;0;0;0;0;0
"61";61;0;0;0;0;0;0;3;3;3
"62";62;0;0;0;0;0;0;0;0;1
"63";63;0;0;7;7;7;7;7;7;7
"64";64;0;0;0;0;0;0;3;3;3
"65";65;0;0;0;0;0;0;3;3;3
"66";66;0;0;0;0;0;0;0;2;2
"67";67;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;1
"69";69;0;0;0;0;0;0;0;0;1
"70";70;0;0;0;0;6;6;6;6;6
"71";71;0;0;7;7;7;7;7;7;7
"72";72;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;6;6;6;6;6
"74";74;0;0;0;0;0;0;0;0;0
"75";75;0;0;0;0;6;6;6;6;6
"76";76;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;0;0;1
"78";78;0;0;7;7;7;7;7;7;7
"79";79;0;0;0;0;6;6;6;6;6
"80";80;0;0;0;0;0;0;0;0;0
"81";81;0;0;0;0;0;0;0;2;2
"82";82;0;0;0;0;0;5;5;5;5
"83";83;0;0;0;0;6;6;6;6;6
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;6;6;6;6;6
"86";86;0;0;0;0;0;4;4;4;4
