"";"x"
"1";3
"2";0
"3";4
"4";3
"5";4
"6";0
"7";0
"8";0
"9";0
"10";0
"11";3
"12";2
"13";5
"14";5
"15";3
"16";7
"17";7
"18";0
"19";0
"20";5
"21";5
"22";5
"23";0
"24";5
"25";0
"26";2
"27";3
"28";5
"29";2
"30";6
"31";2
"32";0
"33";2
"34";6
"35";0
"36";3
"37";7
"38";5
"39";4
"40";4
"41";4
"42";6
"43";4
"44";7
"45";2
"46";4
"47";7
"48";4
"49";0
"50";1
"51";6
"52";5
"53";4
"54";0
"55";0
"56";1
"57";5
"58";1
"59";2
"60";0
"61";3
"62";1
"63";7
"64";3
"65";3
"66";2
"67";1
"68";1
"69";1
"70";6
"71";7
"72";1
"73";6
"74";0
"75";6
"76";0
"77";1
"78";7
"79";6
"80";0
"81";2
"82";5
"83";6
"84";1
"85";6
"86";4
"87";0
"88";1
"89";3
"90";6
"91";5
"92";7
"93";1
"94";6
"95";5
"96";5
"97";0
"98";1
"99";5
"100";0
"101";7
"102";4
"103";0
"104";3
"105";1
"106";2
"107";6
"108";6
"109";0
"110";6
"111";3
"112";3
"113";6
"114";7
"115";4
"116";7
"117";0
"118";7
"119";7
"120";4
"121";2
"122";2
"123";5
"124";7
"125";4
"126";0
"127";6
"128";0
"129";0
"130";0
"131";5
"132";2
"133";2
"134";3
"135";3
"136";7
"137";2
"138";1
"139";2
"140";6
"141";4
"142";0
"143";6
"144";5
"145";0
"146";3
"147";6
"148";6
"149";3
"150";1
"151";3
"152";6
