"";"";"";"";"fettuccina";""
"1";"fettuccina";"1.63099555837333";"-2.74363164607002";"1.85729437182201";"27"
"2";"crema|creme";"-4.89204664396006";"0.851203659575034";"1.71489426707112";"39"
"3";"carbonaro";"0.843878654639814";"-2.11739458068294";"1.55597843877529";"50"
"4";"trattoria";"1.24057530527844";"-2.50491198008029";"1.53720620649019";"53"
"5";"pepe";"0.618757300062578";"-2.52187286985229";"1.44113654714881";"68"
"6";"prenotazione";"1.55463546023845";"1.24623227429038";"1.4335028260917";"70"
"7";"fantasia";"1.0265059710695";"-0.578538089888457";"1.32835912096545";"97"
"8";"trippa";"0.988458248348818";"-2.75775925244677";"1.32835912096545";"98"
"9";"radicchio";"0.301651994092861";"-2.10820598395546";"1.32835912096545";"100"
"10";"cameriere";"1.26385907482006";"-0.147363309424354";"1.28644567138773";"112"
"11";"sabato";"0.521801569501521";"0.693907010107208";"1.21678196538856";"134"
"12";"piatto";"0.906880337284466";"-0.432768219948488";"1.20741985465814";"135"
"13";"porcino";"0.601325248022128";"-2.62794199167386";"1.20343495624468";"149"
"14";"scortese";"1.79101878330542";"-0.534840965545209";"1.20343495624468";"152"
"15";"sbrigativo";"0.436006217030649";"-1.43675684297494";"1.20343495624468";"153"
"16";"ripassata";"0.573841777117915";"-2.72076576835658";"1.20343495624468";"154"
"17";"strapieno";"0.573841777117915";"-2.72076576835658";"1.20343495624468";"155"
"18";"ristoratore";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"156"
"19";"piramide";"1.7635353124012";"-0.627664742227927";"1.20343495624468";"157"
"20";"petto";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"158"
"21";"motivo";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"159"
"22";"romanesco";"-0.485848452366771";"-2.02880277406635";"1.19853785217031";"160"
"23";"ultimo";"0.0611201490258348";"-0.633977449945576";"1.1861510595116";"166"
"24";"discreto";"0.939624023916488";"-1.41866092560419";"1.1861510595116";"167"
"25";"leggero";"-0.16984855680916";"-0.591984153052591";"1.17506055910787";"169"
"26";"sicuramente";"0.334039391039925";"0.748261250629139";"1.17141173646422";"171"
"27";"ragazza|ragazzo";"0.686037203927417";"1.36673480207805";"1.16776291382057";"173"
"28";"amichevole";"0.14678330722784";"0.810048419172784";"1.16137747419418";"176"
"29";"coppia";"1.21020863245347";"0.356588426521939";"1.16137747419418";"178"
"30";"dimensione";"-0.160506264501932";"-0.34236664971865";"1.14591798878293";"184"
"31";"cibo";"0.473650625981357";"0.493745961875818";"1.14471771817646";"186"
"32";"messicano";"0.34979235726037";"1.54856430078577";"1.14049276564171";"187"
"33";"fame";"1.50355649224673";"0.102453832666616";"1.14049276564171";"194"
"34";"accompagnamento";"0.34979235726037";"1.54856430078577";"1.14049276564171";"195"
"35";"gestore";"-0.296469050012908";"-1.23431814999032";"1.13780415948323";"205"
"36";"patata";"0.779653174443292";"-0.721872495116275";"1.13660388887677";"206"
"37";"abbondante";"0.356455105040598";"-0.829569222064194";"1.13381926106977";"207"
"38";"soluzione";"0.9213716978863";"1.78963936937576";"1.11427885559653";"218"
"39";"tendenza";"1.9510420082375";"1.6739497149796";"1.11427885559653";"220"
"40";"scomodo";"0.9213716978863";"1.78963936937576";"1.11427885559653";"222"
"41";"esclusivamente";"0.783536137799034";"3.0736482947574";"1.11427885559653";"225"
"42";"ambiente";"0.952020763818484";"-0.232712161158094";"1.11226240097767";"229"
"43";"particolare";"1.31099627479597";"0.515157167042213";"1.11149422778954";"230"
"44";"bottiglia";"0.726502531071042";"-1.00241020298362";"1.1107260546014";"231"
"45";"minuto";"0.436405204977431";"-0.662911510535564";"1.1107260546014";"232"
"46";"interessante";"1.15048985429581";"0.0425054799502372";"1.10722126443053";"234"
"47";"passo";"-0.30747624610103";"-1.0502329147432";"1.10722126443053";"235"
"48";"leggermente";"1.0575447584661";"-0.284298233043683";"1.10722126443053";"236"
"49";"famoso";"0.718986341293245";"-0.0438174391480953";"1.10722126443053";"237"
"50";"minimo";"0.776985827656509";"1.14548764815403";"1.0975230779303";"239"
"51";"impeccabile";"0.597256991444187";"0.515106456017336";"1.09502651506885";"241"
"52";"peccato";"0.0715011868145716";"-1.23272881692223";"1.09377823363813";"242"
"53";"pasta";"0.050092536785983";"-1.17005015980819";"1.08676865329638";"243"
"54";"grana";"-0.26832183739699";"-0.303461656752893";"1.06982083233311";"245"
"55";"notturno";"-0.485193727666322";"-1.06600365373871";"1.06982083233311";"248"
"56";"apertura";"-0.26832183739699";"-0.303461656752893";"1.06982083233311";"252"
"57";"diverso";"0.28656922408953";"-0.440399053060393";"1.06742029112018";"253"
"58";"pasto";"-0.861015145146097";"0.277165855670008";"1.06708421535037";"255"
"59";"attenzione";"0.473334633983614";"1.57484281499743";"1.06348340353098";"256"
"60";"gruppo";"1.42629490605105";"1.15280525510927";"1.06348340353098";"257"
"61";"genere";"0.848436524020849";"-2.69167332152892";"1.05925845099622";"265"
"62";"competente";"1.70837647806946";"-0.00235212302216361";"1.05925845099622";"268"
"63";"guanciale";"0.73475355236632";"-1.76347554374871";"1.05925845099622";"270"
"64";"tipicamente";"-0.0203775953881763";"-1.9145406521708";"1.05925845099622";"272"
"65";"passabile";"1.6877638748913";"-0.071969955534202";"1.05925845099622";"274"
"66";"caratteristico";"0.73475355236632";"-1.76347554374871";"1.05925845099622";"275"
"67";"medio";"0.466233761418318";"0.136975859795922";"1.05825022368679";"277"
"68";"eccezionale";"-0.236957952784153";"-0.807153978159465";"1.05652183401349";"278"
"69";"affettato";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"282"
"70";"supermercato";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"283"
"71";"passione";"-1.73368649285481";"0.171455167881726";"1.05080854592672";"284"
"72";"variante";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"287"
"73";"amore";"-0.717757917955715";"0.00935362514420889";"1.05080854592672";"293"
"74";"ideale";"-1.0010041651259";"-0.0660032444355834";"1.04754380987714";"295"
"75";"prosciutto";"-0.497262842372709";"-1.87024787458689";"1.04754380987714";"296"
"76";"bruschetta";"1.24789059039438";"1.03877057295344";"1.04658359339196";"297"
"77";"complesso";"1.17930920828063";"0.0921459955856667";"1.04658359339196";"298"
"78";"compleanno";"0.0337723168435086";"-0.491687516262838";"1.04000611046854";"300"
"79";"calice";"1.61159006683484";"-0.340518746275873";"1.04000611046854";"301"
"80";"possibile";"0.799915412510392";"-0.917774580423899";"1.04000611046854";"302"
"81";"menù";"1.23563424632926";"0.175860024646919";"1.03702943936451";"303"
"82";"gusto";"-0.974646128766958";"0.00852867566691053";"1.03693341771599";"304"
"83";"personalmente";"-1.72914297057493";"-0.0103056757684206";"1.02622700390634";"307"
"84";"momento";"-0.641969270186027";"-0.60944489337593";"1.02622700390634";"308"
"85";"assurdo";"0.893097902565152";"0.570008368261437";"1.02156995395326";"311"
"86";"baccalà";"-0.88766676262275";"-1.14686692812914";"1.01916941274033";"313"
"87";"esperienza";"0.920380141076436";"0.406088993261237";"1.01643279575759";"315"
"88";"locale";"0.137415756229894";"0.199129148936892";"1.01451236278725";"316"
"89";"grande";"-0.428737901003948";"0.457146133059373";"1.01364816795059";"317"
