"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"15";"123";"12.2";"****";""
"0";"30";"0.0";"-5.51";"ingrediente";"0.01889991"
"0";"24";"0.0";"-4.14";"proprio";"0.04184620"
"0";"19";"0.0";"-3.12";"varietà";"0.07728964"
"2";"40";"5.0";"-2.87";"sicuramente";"0.09047601"
"0";"16";"0.0";"-2.55";"pollo";"0.10997941"
"0";"16";"0.0";"-2.55";"pena";"0.10997941"
"0";"15";"0.0";"-2.37";"panino";"0.12347450"
"1";"27";"3.7";"-2.33";"unico";"0.12694676"
"1";"27";"3.7";"-2.33";"piacevole";"0.12694676"
"0";"14";"0.0";"-2.19";"idea";"0.13853205"
"0";"14";"0.0";"-2.19";"famiglia";"0.13853205"
"0";"13";"0.0";"-2.02";"super";"0.15534761"
"0";"13";"0.0";"-2.02";"resto";"0.15534761"
"0";"13";"0.0";"-2.02";"baccalà";"0.15534761"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"21";"123";"17.07";"****";""
" 1";"55";" 1.82";"-16.35";"piatto";"5.259795e-05"
" 1";"44";" 2.27";"-10.60";"ristorante";"1.131399e-03"
" 0";"32";" 0.00";" -8.90";"cameriere";"2.843944e-03"
" 2";"46";" 4.35";" -8.40";"cena";"3.743324e-03"
" 0";"29";" 0.00";" -7.81";"antipasto";"5.188383e-03"
" 7";"74";" 9.46";" -7.61";"servizio";"5.819248e-03"
" 0";"28";" 0.00";" -7.46";"pepe";"6.295278e-03"
" 0";"26";" 0.00";" -6.79";"cacio";"9.178551e-03"
" 0";"26";" 0.00";" -6.79";"menu";"9.178551e-03"
" 0";"26";" 0.00";" -6.79";"conto";"9.178551e-03"
" 1";"32";" 3.12";" -5.94";"vino";"1.477204e-02"
" 1";"31";" 3.23";" -5.61";"serata";"1.782654e-02"
" 0";"22";" 0.00";" -5.52";"tradizione";"1.884312e-02"
" 3";"45";" 6.67";" -5.43";"solo";"1.981868e-02"
" 1";"30";" 3.33";" -5.29";"medio";"2.144197e-02"
" 0";"21";" 0.00";" -5.21";"esperienza";"2.241001e-02"
" 4";"50";" 8.00";" -4.90";"cucina";"2.688037e-02"
" 2";"36";" 5.56";" -4.77";"tavolo";"2.898092e-02"
" 3";"43";" 6.98";" -4.76";"dolce";"2.912804e-02"
" 1";"26";" 3.85";" -4.07";"secondo";"4.354797e-02"
" 0";"17";" 0.00";" -4.06";"trattoria";"4.387617e-02"
" 0";"17";" 0.00";" -4.06";"freddo";"4.387617e-02"
" 5";"53";" 9.43";" -3.84";"romano";"5.008597e-02"
" 0";"16";" 0.00";" -3.79";"peccato";"5.166153e-02"
"12";"91";"13.19";" -3.73";"locale";"5.339835e-02"
" 0";"15";" 0.00";" -3.52";"sabato";"6.073655e-02"
" 0";"14";" 0.00";" -3.25";"discreto";"7.131185e-02"
" 0";"13";" 0.00";" -2.99";"particolare";"8.363643e-02"
" 0";"13";" 0.00";" -2.99";"pezzo";"8.363643e-02"
" 4";"43";" 9.30";" -2.82";"pizza";"9.311081e-02"
" 2";"29";" 6.90";" -2.78";"euro";"9.570461e-02"
" 2";"29";" 6.90";" -2.78";"tipico";"9.570461e-02"
" 2";"29";" 6.90";" -2.78";"eccellente";"9.570461e-02"
" 0";"12";" 0.00";" -2.74";"tradizionale";"9.800703e-02"
" 0";"12";" 0.00";" -2.74";"sala";"9.800703e-02"
" 0";"12";" 0.00";" -2.74";"zucca";"9.800703e-02"
" 1";"21";" 4.76";" -2.71";"carbonaro";"9.966205e-02"
" 2";"28";" 7.14";" -2.52";"ambiente";"1.120569e-01"
" 2";"28";" 7.14";" -2.52";"pieno";"1.120569e-01"
" 0";"11";" 0.00";" -2.49";"giovane";"1.147807e-01"
" 0";"11";" 0.00";" -2.49";"coda";"1.147807e-01"
" 0";"11";" 0.00";" -2.49";"vivo";"1.147807e-01"
" 0";"11";" 0.00";" -2.49";"crema";"1.147807e-01"
" 1";"20";" 5.00";" -2.46";"abbondante";"1.168646e-01"
" 2";"27";" 7.41";" -2.28";"pasta";"1.308187e-01"
" 2";"27";" 7.41";" -2.28";"piacevole";"1.308187e-01"
" 0";"10";" 0.00";" -2.24";"positivo";"1.343923e-01"
" 0";"10";" 0.00";" -2.24";"costo";"1.343923e-01"
" 0";"10";" 0.00";" -2.24";"tranquillo";"1.343923e-01"
" 0";"10";" 0.00";" -2.24";"luogo";"1.343923e-01"
" 0";"10";" 0.00";" -2.24";"cicoria";"1.343923e-01"
" 0";"10";" 0.00";" -2.24";"fiore";"1.343923e-01"
" 1";"19";" 5.26";" -2.21";"musico";"1.367911e-01"
" 1";"19";" 5.26";" -2.21";"persona";"1.367911e-01"
" 4";"40";"10.00";" -2.09";"sicuramente";"1.478181e-01"
" 3";"33";" 9.09";" -2.03";"sera";"1.542570e-01"
"*****";"*";"*";"*";"*";"*"
"1";"42";" 2.38";"-9.72";"un_po";"0.001818995"
"3";"41";" 7.32";"-4.13";"in_questo";"0.042018626"
"2";"32";" 6.25";"-3.58";"qualche";"0.058528366"
"0";"13";" 0.00";"-2.99";"e_che";"0.083636433"
"6";"55";"10.91";"-2.67";"altro";"0.102265942"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"17";"123";"13.82";"****";""
"0";"21";"0.00";"-4.06";"carciofo";"0.04387617"
"1";"29";"3.45";"-3.43";"tipico";"0.06410363"
"0";"18";"0.00";"-3.38";"supplì";"0.06592518"
"1";"28";"3.57";"-3.20";"zona";"0.07374842"
"1";"28";"3.57";"-3.20";"pepe";"0.07374842"
