"";"";"";"";"commensale";""
"1";"commensale";"1.59801539328827";"-2.85502017808927";"1.86867293717129";"24"
"2";"zucchero";"-4.8920466439601";"0.851203659575059";"1.71489426707112";"38"
"3";"crema|creme";"-4.8920466439601";"0.851203659575059";"1.71489426707112";"39"
"4";"trattoria";"1.24057530527844";"-2.50491198008028";"1.53720620649019";"53"
"5";"benvenuto";"1.62068925678425";"-2.77844056232601";"1.52553957619536";"56"
"6";"fisso";"1.59043897243883";"1.23005511709971";"1.50436680269734";"62"
"7";"prenotazione";"1.55463546023844";"1.24623227429038";"1.4335028260917";"70"
"8";"servizio";"0.677192333678175";"-0.197827818101323";"1.33743316675032";"91"
"9";"vino";"1.32746205923293";"-0.432670135193959";"1.32394212513367";"102"
"10";"sugo";"0.229061026056716";"-1.77330519420502";"1.31217947319032";"106"
"11";"cacio";"0.542478403513929";"-2.49945928456538";"1.30430569801192";"108"
"12";"cameriere";"1.26385907482005";"-0.14736330942434";"1.28644567138773";"112"
"13";"pessimo";"1.004404386016";"0.280048607935048";"1.26623311437488";"115"
"14";"insalata";"0.659786855949535";"0.440706397815798";"1.24578050324073";"120"
"15";"tagliere";"1.52042291949503";"-0.168231148704623";"1.24232372389411";"125"
"16";"porcino";"0.601325248022142";"-2.62794199167385";"1.20343495624468";"149"
"17";"sbrigativo";"0.436006217030652";"-1.43675684297495";"1.20343495624468";"153"
"18";"ripassata";"0.573841777117925";"-2.72076576835659";"1.20343495624468";"154"
"19";"ristoratore";"-0.570835313308692";"-1.6381769875377";"1.20343495624468";"156"
"20";"petto";"-0.570835313308692";"-1.6381769875377";"1.20343495624468";"158"
"21";"motivo";"-0.570835313308692";"-1.6381769875377";"1.20343495624468";"159"
"22";"romanesco";"-0.485848452366763";"-2.02880277406635";"1.19853785217031";"160"
"23";"discreto";"0.939624023916486";"-1.41866092560418";"1.1861510595116";"167"
"24";"sicuramente";"0.334039391039921";"0.74826125062914";"1.17141173646422";"171"
"25";"attesa";"0.989854076731399";"0.746128408073935";"1.16776291382057";"172"
"26";"ragazza|ragazzo";"0.686037203927406";"1.36673480207806";"1.16776291382057";"173"
"27";"amichevole";"0.14678330722784";"0.810048419172784";"1.16137747419418";"176"
"28";"dimensione";"-0.160506264501914";"-0.342366649718672";"1.14591798878293";"184"
"29";"coccio";"1.50355649224674";"0.102453832666628";"1.14049276564171";"188"
"30";"fame";"1.50355649224674";"0.102453832666628";"1.14049276564171";"194"
"31";"accompagnamento";"0.349792357260377";"1.54856430078576";"1.14049276564171";"195"
"32";"gestore";"-0.296469050012891";"-1.23431814999034";"1.13780415948323";"205"
"33";"abbondante";"0.356455105040599";"-0.829569222064185";"1.13381926106977";"207"
"34";"livello";"1.0884376644231";"1.17316427108693";"1.12599349671562";"210"
"35";"compagno";"0.921371697886295";"1.78963936937575";"1.11427885559653";"219"
"36";"scomodo";"0.921371697886295";"1.78963936937575";"1.11427885559653";"222"
"37";"allergico";"1.93730027278538";"1.62753782663825";"1.11427885559653";"228"
"38";"ambiente";"0.952020763818488";"-0.23271216115809";"1.11226240097767";"229"
"39";"particolare";"1.31099627479596";"0.515157167042222";"1.11149422778954";"230"
"40";"bottiglia";"0.726502531071045";"-1.00241020298362";"1.1107260546014";"231"
"41";"minuto";"0.43640520497743";"-0.662911510535559";"1.1107260546014";"232"
"42";"interessante";"1.15048985429581";"0.0425054799502502";"1.10722126443053";"234"
"43";"passo";"-0.30747624610103";"-1.05023291474319";"1.10722126443053";"235"
"44";"leggermente";"1.05754475846611";"-0.28429823304367";"1.10722126443053";"236"
"45";"famoso";"0.718986341293238";"-0.0438174391480713";"1.10722126443053";"237"
"46";"minimo";"0.77698582765649";"1.14548764815404";"1.0975230779303";"239"
"47";"croccante";"-0.49842651509578";"-1.97273126849731";"1.09699495886345";"240"
"48";"impeccabile";"0.597256991444193";"0.515106456017332";"1.09502651506885";"241"
"49";"peccato";"0.0715011868145667";"-1.23272881692221";"1.09377823363813";"242"
"50";"pasta";"0.0500925367859823";"-1.17005015980819";"1.08676865329638";"243"
"51";"grana";"-0.268321837396975";"-0.303461656752918";"1.06982083233311";"245"
"52";"notturno";"-0.485193727666297";"-1.06600365373873";"1.06982083233311";"248"
"53";"fermata|fermato";"-0.428345062329051";"-2.51225233727772";"1.06982083233311";"250"
"54";"apertura";"-0.268321837396975";"-0.303461656752918";"1.06982083233311";"252"
"55";"diverso";"0.286569224089531";"-0.440399053060387";"1.06742029112018";"253"
"56";"attenzione";"0.473334633983606";"1.57484281499744";"1.06348340353098";"256"
"57";"dessert";"1.57805275778132";"-1.69375404967177";"1.05925845099622";"263"
"58";"delusione";"1.74070667548331";"-1.12184755193241";"1.05925845099622";"267"
"59";"competente";"1.70837647806946";"-0.00235212302213952";"1.05925845099622";"268"
"60";"alimento";"0.816106326607006";"-1.57217789261864";"1.05925845099622";"269"
"61";"guanciale";"0.734753552366323";"-1.76347554374871";"1.05925845099622";"270"
"62";"importante";"1.73040037389423";"-1.15665646818843";"1.05925845099622";"271"
"63";"tipicamente";"-0.0203775953881854";"-1.91454065217077";"1.05925845099622";"272"
"64";"mattatoio";"1.56774645619224";"-1.72856296592779";"1.05925845099622";"273"
"65";"passabile";"1.68776387489129";"-0.0719699555341902";"1.05925845099622";"274"
"66";"caratteristico";"0.734753552366323";"-1.76347554374871";"1.05925845099622";"275"
"67";"bucatino";"1.56774645619224";"-1.72856296592779";"1.05925845099622";"276"
"68";"medio";"0.466233761418313";"0.136975859795934";"1.05825022368679";"277"
"69";"eccezionale";"-0.236957952784155";"-0.807153978159461";"1.05652183401349";"278"
"70";"vero";"-0.724966118986743";"0.033900247340852";"1.05460140104314";"279"
"71";"affettato";"-0.704016182503598";"0.0557655134855455";"1.05080854592672";"282"
"72";"supermercato";"-0.704016182503598";"0.0557655134855455";"1.05080854592672";"283"
"73";"variante";"-0.704016182503598";"0.0557655134855455";"1.05080854592672";"287"
"74";"pagamento";"-0.760864847840844";"1.50201419702453";"1.05080854592672";"290"
"75";"amore";"-0.717757917955706";"0.00935362514417822";"1.05080854592672";"293"
"76";"ideale";"-1.00100416512588";"-0.0660032444356208";"1.04754380987714";"295"
"77";"prosciutto";"-0.497262842372688";"-1.87024787458691";"1.04754380987714";"296"
"78";"bruschetta";"1.24789059039438";"1.03877057295345";"1.04658359339196";"297"
"79";"complesso";"1.17930920828064";"0.0921459955856743";"1.04658359339196";"298"
"80";"compleanno";"0.0337723168434983";"-0.491687516262814";"1.04000611046854";"300"
"81";"possibile";"0.799915412510392";"-0.917774580423897";"1.04000611046854";"302"
"82";"menù";"1.23563424632926";"0.175860024646928";"1.03702943936451";"303"
"83";"dolce";"-0.249672487494747";"-0.248510032297702";"1.03155620539904";"305"
"84";"momento";"-0.641969270186015";"-0.609444893375955";"1.02622700390634";"308"
"85";"assurdo";"0.893097902565136";"0.570008368261454";"1.02156995395326";"311"
"86";"baccalà";"-0.887666762622743";"-1.14686692812915";"1.01916941274033";"313"
"87";"esperienza";"0.92038014107643";"0.406088993261251";"1.01643279575759";"315"
"88";"grande";"-0.428737901003947";"0.457146133059364";"1.01364816795059";"317"
"89";"rapporto";"0.249574231268786";"-1.00127785248926";"1.01355214630208";"318"
"90";"impressione";"0.670093157538617";"0.475515314071824";"1.01244789734413";"320"
"91";"ricetta";"0.773469827604072";"-0.487491379964401";"1.01244789734413";"321"
