"";"banalfreq";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"presente";18;-0,041;-0,0425;-0,0932;0,3615;-0,0331;-0,2576;1,0679;0,9013;-0,1401;-0,3119;0,6391;-0,1668;0,3951;-0,1811;-0,0511;-0,0187;-0,4679;-0,0151;-0,2315;-0,0252;-0,2237;-0,5848
"amichevole";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;0,4861;-0,1446;-0,3759;0,2947;-0,2079;-0,27;-0,3426;0,2124;-0,2273;-0,0341;-0,0125;1,3215;-0,0101;0,3291;-0,0168;0,2124;0,2274
"dell";33;-0,0753;-0,0779;-0,1709;-0,1398;-0,0607;-0,4726;1,2188;-0,4938;-0,3676;-0,5723;1,0827;0,8097;-0,2709;0,2734;-0,0938;-0,0343;0,4316;-0,0277;0,3753;-0,0462;-0,2709;-0,5203
"patatina";10;-0,0228;-0,0236;0,9496;-0,1377;-0,0184;-0,143;-0,1204;0,2892;0,3511;0,4829;1,0582;0,3172;-0,3437;-0,1679;-0,0284;-0,0104;-0,1845;-0,0084;-0,204;-0,014;-0,3437;-0,3248
"attesa";22;-0,0501;-0,0519;1,5605;1,5248;-0,0404;-0,3149;-0,2651;-0,6894;0,4418;-0,3813;0,5147;-0,6283;1,6513;1,0048;-0,0625;-0,0228;-1,2347;-0,0184;-1,316;-0,0308;0,6345;-0,7149
"piacevole";36;-0,0821;-0,085;-0,1865;-0,1612;-0,0662;-0,5156;-0,4341;0,3354;0,8283;0,7824;0,9747;-1,0288;-0,6397;-0,2197;0,6779;-0,0374;0,3511;-0,0302;0,5031;-0,0504;0,535;-1,1706
"mozzarella";14;-0,0319;-0,033;-0,0724;-0,1928;1,2401;0,4324;-0,1687;0,1967;0,2501;-0,2426;-0,315;0,2207;-0,148;-0,7405;-0,0398;-0,0145;-0,3183;-0,0117;1,0239;-0,0196;0,5393;-0,135
"amante";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;-0,3445;-0,2818;1,1779;-0,2475;-0,314;0,2356;1,5342;-0,0312;-0,0114;0,8557;-0,0092;-0,2386;-0,0154;-0,3781;-0,3573
"resto";16;-0,0365;-0,0377;-0,0828;0,4002;-0,0294;-0,2289;0,4456;1,0209;1,2225;0,3262;0,2491;-0,1371;-0,5501;-0,8464;-0,0454;-0,0166;-0,8977;-0,0134;-0,18;1,2993;-0,1848;-0,1688
"economico";13;-0,0296;-0,0307;-0,0673;-0,179;-0,0239;-0,186;0,5189;0,2158;-0,3331;0,3929;-0,2925;0,7023;0,5855;-0,2587;-0,0369;1,5144;-0,2831;-0,0109;0,2904;-0,0182;0,192;-0,4223
"attento";29;-0,0661;-0,0685;-0,1502;-0,3997;-0,0533;0,2107;0,2573;0,4842;0,3004;-0,5028;-0,653;-0,3551;-0,2083;1,3818;0,7623;-0,0301;-0,2784;-0,0243;0,7948;-0,0406;-0,2083;-0,9427
"vario|varo";15;-0,0342;-0,0354;-0,0776;0,4219;-0,0276;-0,2146;-0,1807;-0,143;0,2312;-0,2599;-0,3375;0,2028;0,4978;1,6576;-0,0426;-0,0156;-0,3544;-0,0126;0,2275;-0,021;-0,1661;-0,4873
"amaro";10;-0,0228;-0,0236;-0,0517;0,5659;-0,0184;0,5519;0,6158;-0,3132;-0,2562;-0,1732;0,3933;-0,2854;-0,3437;-0,5288;-0,0284;-0,0104;0,9548;-0,0084;0,895;-0,014;-0,3437;-0,3248
"caldo";37;-0,0844;-0,0874;1,1501;-0,5101;-0,0681;-0,1792;-0,4462;-1,1603;-0,1913;-0,6418;0,2489;1,0808;0,8337;0,9066;-0,1052;-0,0384;-0,276;-0,031;-0,3238;-0,0518;0,5096;-0,6142
"fungo";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;1,254;-0,1446;0,6963;-0,3074;0,4198;0,3344;0,2631;1,9986;-0,6347;-0,0341;-0,0125;-0,6732;-0,0101;-0,7174;-0,0168;0,2124;-0,3898
"leggermente";10;-0,0228;-0,0236;-0,0517;-0,1377;-0,0184;-0,143;-0,1204;-0,3132;0,3511;-0,1732;0,3933;-0,2854;1,4545;0,4939;-0,0284;-0,0104;0,4609;-0,0084;-0,204;-0,014;-0,3437;-0,3248
