"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;4;4;4
"3";0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0
"6";0;0;0;6;6;6;6;6;6
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;2;2
"9";0;0;0;6;6;6;6;6;6
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;6;6;6;6;6;6
"12";0;0;7;7;7;7;7;7;7
"13";0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;0;0;2;2
"16";0;0;0;0;0;0;0;0;0
"17";0;0;7;7;7;7;7;7;7
"18";0;0;0;6;6;6;6;6;6
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;1
"21";0;0;0;0;5;5;5;5;5
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;6;6;6;6;6;6
"24";0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;6;6;6;6;6;6
"27";0;0;0;0;0;0;0;2;2
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;0;0;0;0;0
"30";0;0;0;0;0;0;3;3;3
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;6;6;6;6;6;6
"33";0;0;0;6;6;6;6;6;6
"34";0;0;0;0;5;5;5;5;5
"35";0;0;0;0;5;5;5;5;5
"36";0;0;0;0;0;0;0;2;2
"37";0;0;7;7;7;7;7;7;7
"38";0;0;0;0;0;0;0;0;0
"39";0;0;0;0;5;5;5;5;5
"40";0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;0
"42";0;0;0;0;0;0;0;0;0
"43";0;0;0;0;0;0;0;0;1
"44";0;0;7;7;7;7;7;7;7
"45";0;0;0;0;0;0;0;0;0
"46";0;0;0;0;0;0;0;0;1
"47";0;0;7;7;7;7;7;7;7
"48";0;0;0;0;0;0;0;0;0
"49";0;0;0;6;6;6;6;6;6
"50";0;0;0;0;0;0;4;4;4
"51";0;0;0;0;0;0;0;2;2
"52";0;0;0;0;0;0;0;2;2
"53";0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;4;4;4
"55";0;0;0;0;5;5;5;5;5
"56";0;0;0;0;0;0;3;3;3
"57";0;0;0;0;0;0;0;0;1
"58";0;0;0;0;0;0;3;3;3
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;4;4;4
"61";0;0;0;0;0;0;0;2;2
"62";0;0;0;0;0;0;3;3;3
"63";0;0;7;7;7;7;7;7;7
"64";0;0;0;0;5;5;5;5;5
"65";0;0;0;0;5;5;5;5;5
"66";0;0;0;0;0;0;0;0;0
"67";0;0;0;0;0;0;4;4;4
"68";0;0;0;0;0;0;3;3;3
"69";0;0;0;0;0;0;3;3;3
"70";0;0;0;0;5;5;5;5;5
"71";0;0;7;7;7;7;7;7;7
"72";0;0;0;0;0;0;4;4;4
"73";0;0;0;0;5;5;5;5;5
"74";0;0;0;6;6;6;6;6;6
"75";0;0;0;0;0;0;3;3;3
"76";0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;4;4;4
"78";0;0;7;7;7;7;7;7;7
"79";0;0;0;0;0;0;3;3;3
"80";0;0;0;0;0;0;4;4;4
"81";0;0;0;6;6;6;6;6;6
"82";0;0;0;0;5;5;5;5;5
"83";0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;3;3;3
"85";0;0;0;0;5;5;5;5;5
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;4;4;4
"88";0;0;0;0;0;0;4;4;4
"89";0;0;0;0;0;0;0;2;2
"90";0;0;0;0;0;0;3;3;3
"91";0;0;0;0;0;0;0;0;1
"92";0;0;7;7;7;7;7;7;7
"93";0;0;0;0;0;0;3;3;3
"94";0;0;0;0;0;0;4;4;4
"95";0;0;0;0;0;0;0;0;1
"96";0;0;0;0;0;0;0;0;1
"97";0;0;0;0;5;5;5;5;5
"98";0;0;0;0;0;0;3;3;3
"99";0;0;0;0;0;0;0;0;1
"100";0;0;0;0;0;0;4;4;4
"101";0;0;7;7;7;7;7;7;7
"102";0;0;0;0;0;0;0;0;0
"103";0;0;0;0;0;0;0;2;2
"104";0;0;0;0;0;0;0;0;0
"105";0;0;0;0;0;0;4;4;4
"106";0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;4;4;4
"108";0;0;0;0;0;0;3;3;3
"109";0;0;0;0;5;5;5;5;5
"110";0;0;0;0;0;0;4;4;4
"111";0;0;0;0;0;0;0;2;2
"112";0;0;0;0;0;0;0;2;2
"113";0;0;0;0;5;5;5;5;5
"114";0;0;7;7;7;7;7;7;7
"115";0;0;7;7;7;7;7;7;7
"116";0;0;7;7;7;7;7;7;7
"117";0;0;0;6;6;6;6;6;6
"118";0;0;7;7;7;7;7;7;7
"119";0;0;7;7;7;7;7;7;7
"120";0;0;0;0;0;0;0;0;0
"121";0;0;7;7;7;7;7;7;7
"122";0;0;0;0;0;0;0;2;2
"123";0;0;0;0;0;0;0;0;1
"124";0;0;7;7;7;7;7;7;7
"125";0;0;0;0;0;0;0;0;0
"126";0;0;0;0;0;0;0;0;0
"127";0;0;0;0;5;5;5;5;5
"128";0;0;0;0;0;0;0;2;2
"129";0;0;0;0;0;0;0;0;0
"130";0;0;0;0;0;0;0;2;2
"131";0;0;0;0;0;0;0;0;1
"132";0;0;0;0;0;0;0;0;0
"133";0;0;0;6;6;6;6;6;6
"134";0;0;0;0;0;0;0;2;2
"135";0;0;0;0;0;0;0;0;0
"136";0;0;7;7;7;7;7;7;7
"137";0;0;0;6;6;6;6;6;6
"138";0;0;0;0;0;0;4;4;4
