"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"comunque";-0,225119697248146;-0,590988465357477;-0,0495542343604202;0,317034358355575;0,240974503271675;0,0545698209377981;-0,299771017887772;-0,786964517035846;-0,065986777063306;0,422165245739864;0,320883392318728;0,0726655684439976;0,00140522622662293;0,00876653055965317;5,45981966107265e-05;0,00214444820455919;0,00115265405867737;5,54470766838064e-05;7,34096526898456e-05;0,000505922723910833;3,55703155744069e-06;0,000145592445037872;8,41140152279799e-05;4,31351422664944e-06;0,00144852560786342;2,21814584674371;0,00712699368483903
"unico";-0,522401529253858;-0,442728793797114;-0,521793115043862;-0,547978374822836;-0,760612871698853;1,02937053714762;-0,319131569307511;-0,270460032810195;-0,31875989317191;-0,334756291685376;-0,46465327107186;0,628835515447356;0,0108439145530016;0,00705022912158535;0,00867503826128235;0,00918095147241117;0,0164566749303662;0,0282732033454291;0,000578843128217152;0,00041574548262488;0,000577495615685167;0,000636911136586266;0,00122709827027175;0,00224747810722458;0,00212105535437144;1,85293899814675;0,00728239524909341
"presente";0,387517542094713;-1,41370084640658;0,798616831660343;-0,0496068244053495;-1,00297543749686;-0,0799500349415965;0,198757751348106;-0,725087178742505;0,409610581217928;-0,0254433407505402;-0,514426112264967;-0,0410063737483924;0,00237482348739541;0,0286097540969706;0,00808766255400259;2,99443643801217e-05;0,01138850556614;6,78797539471663e-05;0,000139837414265924;0,00186103991186509;0,000593905803859374;2,29151921864962e-06;0,000936744702948599;5,95220618566607e-06;0,000931195033626487;2,93714525435387;0,00803325403068401
"amichevole";0,0482357086857967;-0,323605244989482;-2,53570180576855;-2,54425404520348;1,23518006829378;1,31317847877446;0,0119620651871444;-0,080251480509622;-0,628833516126916;-0,630954402258871;0,306314655622388;0,325657629864587;2,84090950680278e-05;0,00115744846724572;0,0629526382238291;0,0608169539473704;0,0133357720845145;0,0141391052697999;1,4443974707218e-06;6,50100494059198e-05;0,00399158840006904;0,00401855891145428;0,000947130761165163;0,00107052522531799;0,000620796689084325;3,34264064134452;0,00693631440693314
"dell";-0,463802310881341;-0,305315054094193;-0,573278396777755;-0,884859674340939;-0,60461502283065;-1,13889703595338;-0,264164401383851;-0,173896003978524;-0,326517874012563;-0,503982883864469;-0,34436604093291;-0,648673037373973;0,00680858606368964;0,00267077953248883;0,00834103167306185;0,019068808896288;0,00828297832052903;0,0275685790676718;0,000367238244081882;0,000159139695523322;0,000561065078478965;0,00133669059638214;0,000624079552636976;0,00221437419196131;0,00170719089498189;2,07612820269463;0,00735851910826662
"patatina";-1,17291581317656;-1,17994610701947;-1,79526065776189;1,3850847018892;-1,02790823250104;1,01419667437305;-0,371008454624218;-0,373232227571015;-0,567864184966559;0,438120220563692;-0,325140679792604;0,320803536466198;0,0140561114806167;0,0128767522749457;0,0264048703796374;0,0150823084857101;0,00772818910377136;0,00705716409937177;0,00071170796937384;0,000720265295121783;0,00166733617656889;0,000992477822766418;0,000546609071103677;0,00053212358733024;0,000517330574236937;3,65412980484544;0,00690774166097248
"attesa";0,429080059053813;-0,693949198064143;-0,246150975952208;1,23994146577224;-1,6001144057524;-1,65090243506476;0,156162717934577;-0,252561242573675;-0,0895860914900372;0,451273894670765;-0,58235802232242;-0,600842210828987;0,00173506959122524;0,00410814797695375;0,000457868600401221;0,0111487517935156;0,0172734802217557;0,0172479463671117;0,000209540265685862;0,000548082812667619;6,89594756942025e-05;0,00174981926786916;0,00291402247557785;0,00310194178490745;0,00113812726332126;3,80478050906488;0,0164759339827998
"piacevole";-0,225115882267258;-0,477663440001177;-1,57056705315218;-1,19646039778129;0,671354772772034;-1,70677796096564;-0,0819777694100548;-0,173945005326376;-0,571934696164551;-0,435700731595351;0,244479270855294;-0,621537000006485;0,00146033094929265;0,00595159689074076;0,0569966702703163;0,0317409059160935;0,00929781113639384;0,0563699191004529;9,43806402567396e-05;0,000424927316549161;0,00459392194847889;0,00266604394229296;0,000839411294012231;0,00542531175837399;0,00186239006725297;2,17585633638069;0,00881720789841944
"prodotto";-1,68656739371985;1,49162150312795;-1,75189983705907;1,24897088880893;2,99093008518226;-0,834922161210389;-0,38349619184517;0,339168875346439;-0,398351657044973;0,283994331544192;0,680085659199618;-0,189846827647439;0,0548005153392783;0,0388011860476503;0,0474125473943367;0,0231241362064375;0,12337504015932;0,00901827681687042;0,00529758637600224;0,00414369630157128;0,00571596013487599;0,00290519493633304;0,0166603134961274;0,00129826283238945;0,00186239006725297;2,66109944416661;0,0131884226105938
"essere|stare";0,163402586218737;-0,798049572681986;0,339892477341541;0,464286281853037;-0,0753230778211888;-0,183746601667163;0,160685193788582;-0,784777972042863;0,334240050006283;0,456565179899096;-0,0740704516160361;-0,180690887336126;0,00328241855446216;0,0708739002465085;0,011388242723946;0,0203906680664838;0,000499309425206197;0,00278720607708211;0,000180949460888221;0,0043161763466107;0,000782929301401524;0,00146086856951455;3,8449930308942e-05;0,000228811618457025;0,00677703052250388;1,053444529392;0,00752077828878826
"sugo";1,86268239440064;1,06328822770879;2,25904319848649;0,176785150256718;-0,00478293683931572;1,73366868850479;0,521853411686186;0,297893291364971;0,632898772125875;0,0495285369498588;-0,00133999865730175;0,485708633178367;0,0381033088317804;0,0112392561619765;0,0449398527861134;0,000264095061118284;1,79850605697824e-07;0,0221651984614293;0,00251289186930891;0,00081883838450995;0,00369611311002549;2,26353776988135e-05;1,65685870317831e-08;0,0021768494413361;0,000724262803931712;3,52457851884783;0,00899726602676307
"accompagnare";0,523270563858842;-0,31436593936899;-2,19741650075441;-0,513191277407085;1,18189388153653;-2,0997624934151;0,155867066174527;-0,0936404607079366;-0,65454639873165;-0,15286474019467;0,352051776974057;-0,625458113099993;0,00400521069559456;0,00130856173381035;0,0566363195527534;0,00296425072442256;0,0146274044088498;0,0433079321690774;0,000240807315624395;8,6913659865541e-05;0,00424660464161363;0,000231619755950035;0,00122849681855298;0,00387755007702003;0,000879461976202794;3,05396001485511;0,00820245318829154
"avere";-0,578569368792948;-0,460152660020585;0,415533515693319;0,286905771492164;-0,114375114189479;0,379153491574276;-0,591021867041963;-0,470056485736662;0,424477007443277;0,293080819480951;-0,11683679983341;0,387313979226408;0,122684499442504;0,0702478735241828;0,0507444372540172;0,0232135218642813;0,00343225419314537;0,0353804443053496;0,0119835395777437;0,00758015548901305;0,00618139301830312;0,00294681457977939;0,000468314194937024;0,00514640973407613;0,0357992757371961;0,610113050889792;0,0133258484701141
"mozzarella";0,558575731469387;2,40523843129858;0,734781238736621;2,51219542827608;-1,08644946815777;0,565002941854359;0,146953884024886;0,63278640580292;0,193311221482743;0,660925376481318;-0,285830479463474;0,148644798034043;0,00323302062927729;0,0542639127899236;0,00448598658250032;0,0503193283999604;0,00875590326833352;0,00222126365200347;0,00022597495442379;0,0041899848297744;0,000391032000165056;0,00457091371846442;0,000854899858046774;0,000231205201254895;0,000724262803931712;3,62850353632778;0,00953567153564431
"amante";0,945991905198159;0,0649927457781466;-1,65597065393639;-2,90066895230836;1,50008843452834;0,705607353539994;0,245870721428187;0,0168921247679433;-0,430399770981085;-0,753906628597428;0,389884758608272;0,183392889628978;0,00532711792669272;2,27613348625391e-05;0,0130894152507686;0,0385387343278441;0,00958934045155968;0,00199020589708523;0,000509255433611219;2,40375721891416e-06;0,00156050837422058;0,00478803332021432;0,00128054415030846;0,000283326389605114;0,000569063631660631;4,78730382110144;0,013041958439258
