"";"banalfreq";"X.NAME_1.CasaManco";"X.NAME_10.TrattoriaPennestri";"X.NAME_100.CharroCafe";"X.NAME_101.CimagliaSilvana";"X.NAME_102.Yoshi";"X.NAME_103.MoonlightCafe";"X.NAME_104.PURO.StreetFoodFromPuglia";"X.NAME_105.DaSeverino";"X.NAME_106.IlSemeelaFoglia";"X.NAME_107.Farinando";"X.NAME_108.CerteNottiaTestaccio";"X.NAME_109.VeganStore";"X.NAME_11.SushiDoku";"X.NAME_110.BurBaCa";"X.NAME_111.PizzeriaViaAmerigoVespucciRoma";"X.NAME_112.CapitanConoGelateria";"X.NAME_113.YourSushi";"X.NAME_114.BurgerKing";"X.NAME_115.NorcineriaSergio";"X.NAME_116.ConteStaccio";"X.NAME_117.BebopMusicClub";"X.NAME_118.LosCabosAPSLasCalaveras";"X.NAME_119.Testaccino";"X.NAME_12.SakanaSushi";"X.NAME_120.OsteriaPizzeria";"X.NAME_121.FoodieFreshmarket";"X.NAME_122.Itreporcellinisnc";"X.NAME_123.LaFarandula";"X.NAME_124.Companatico";"X.NAME_125.Spago";"X.NAME_126.Bucolica";"X.NAME_127.LaCiriolettaIgnorante";"X.NAME_128.SantaClaritaTacosySushi";"X.NAME_129.MastroTittaPub";"X.NAME_13.LaVecchiaLupiae";"X.NAME_130.FiordiFarinaPizzaShop";"X.NAME_131.PasticceriaBenedetto";"X.NAME_132.PLANETRoma";"X.NAME_133.SlotHouseEuropa";"X.NAME_134.SnackBar";"X.NAME_135.Palladiana";"X.NAME_136.CottoeMandato";"X.NAME_137.Shake";"X.NAME_138.Violarosso";"X.NAME_139.OnTheBurger";"X.NAME_14.JunseiRestaurantKaitenSushi";"X.NAME_140.SlurpGelateria";"X.NAME_141.SushiPing";"X.NAME_142.CafeBoario";"X.NAME_143.LaBotticella";"X.NAME_144.MammaRoma";"X.NAME_145.RistoranteGalu";"X.NAME_146.RistoranteallaMaisonLatina";"X.NAME_15.LoScopettaro";"X.NAME_16.RistoranteEritrea";"X.NAME_17.OsteriadegliAmici";"X.NAME_18.Ilnidogustoemiscele";"X.NAME_19.Pecorino";"X.NAME_2.Masto";"X.NAME_20.HostariadaEnzo";"X.NAME_21.PIZZERIAOSTIENSE";"X.NAME_22.PiattoRomano";"X.NAME_23.GelateriaLaRomana.Roma.viaOstiense";"X.NAME_24.TavernaVolpetti";"X.NAME_25.Molì";"X.NAME_26.TbspSpotTestaccio";"X.NAME_27.FeliceaTestaccio";"X.NAME_28.OsteriaFratelliMori";"X.NAME_29.PolpettaGazometro";"X.NAME_3.LaFataIgnorante";"X.NAME_30.PasticceriaAndreotti";"X.NAME_31.IlGrottino";"X.NAME_32.AssuntinaRistorante";"X.NAME_33.PasticceriaLinari";"X.NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"X.NAME_35.PizzeriadaRemo";"X.NAME_36.StazionediPosta";"X.NAME_37.BarGiolitti";"X.NAME_38.AiCocci";"X.NAME_39.NuovoMondo";"X.NAME_4.MordieVai";"X.NAME_40.TabernaPersiana";"X.NAME_41.AlicePizzaOstiense";"X.NAME_42.AugustarelloaTestaccio";"X.NAME_43.EnotecaDivinare";"X.NAME_44.Doppiozeroo";"X.NAME_45.DaBucatino";"X.NAME_46.LìArMonte";"X.NAME_47.IlSecchioel.Olivaro.Ostiense";"X.NAME_48.LaFraschettadiMastroGiorgio";"X.NAME_49.MakaiSurf.TikiBar";"X.NAME_5.Panna.Co";"X.NAME_50.Checchinodal1887";"X.NAME_51.TrattoriaPerilli";"X.NAME_52.MercatBistrot.OldBar";"X.NAME_53.Rec23RestaurantEmporioClub";"X.NAME_54.OasidellaBirra.EnotecaPalombi";"X.NAME_55.FlavioAlVelavevodetto";"X.NAME_56.Gazometro38";"X.NAME_57.CacioeCocci";"X.NAME_58.CrochonNoelJoseph";"X.NAME_59.OishiRestaurant";"X.NAME_6.TrapizzinoTestaccio";"X.NAME_60.IlPiccoloAlpino";"X.NAME_61.DaOioaCasaMia";"X.NAME_62.BancoFastFood";"X.NAME_63.PortoFluviale";"X.NAME_64.Ketumbar";"X.NAME_65.Giansanti";"X.NAME_66.TheMeatMarketTestaccio";"X.NAME_67.AlicePizzaTestaccio";"X.NAME_68.IlPizzettiere";"X.NAME_69.ContedeiCocci";"X.NAME_7.GelateriaBrivido";"X.NAME_70.LaTorricella";"X.NAME_71.PasticceriaZio";"X.NAME_72.LaCreperieDiTestaccio";"X.NAME_73.BlueIceGelato";"X.NAME_74.PastaeSpätzle";"X.NAME_75.LaDoganaFood";"X.NAME_76.CapitanPaninokSaporieTradizioniRegionali";"X.NAME_77.FoodBox";"X.NAME_78.ChihanaSushiRestaurant";"X.NAME_79.CakeSiGira";"X.NAME_8.Sushisen";"X.NAME_80.IlGianfornaio";"X.NAME_81.AngelinaCafe.";"X.NAME_82.PizzeriaRosticceriaOstiense10";"X.NAME_83.FraschettadaSandro";"X.NAME_84.LaBaguetteriaOstiense";"X.NAME_85.AngelinaaTestaccio";"X.NAME_86.ZoéMercatoTestaccio";"X.NAME_87.InCiboVeritas";"X.NAME_88.PachinoMonello";"X.NAME_89.AvePinsa";"X.NAME_9.IlPangocciolaio";"X.NAME_90.Banco21";"X.NAME_91.Trentatrétestaccio";"X.NAME_92.StritFud";"X.NAME_93.L.insalataRicca.Gazometro";"X.NAME_94.RisoRoma";"X.NAME_95.ThinkFarmer";"X.NAME_96.900";"X.NAME_97.RoadhouseGrill";"X.NAME_98.DolceSicilia";"X.NAME_99.PanificioiGuerrini";"X.NAME_DarBruttone.RomaSanGiovanni.";"X.NAME_Florian.s";"X.NAME_IlTempiodiMinerva";"X.NAME_RistoranteEstEstEst";"X.NAME_VIICoorte";"X.NAME_Viavaibarbistrot"
"comunque";28;-0,0486;-0,1037;-0,06;-0,0694;-0,0954;-0,0505;-0,1024;-0,1304;0,9974;-0,0891;-0,0498;-0,0751;-0,072;-0,0587;-0,0353;-0,0208;-0,0783;-0,0366;-0,077;0,4192;-0,1037;-0,0935;-0,0587;0,5772;-0,0391;-0,053;-0,0397;-0,0675;-0,0467;-0,0587;-0,053;-0,0612;-0,0758;-0,0701;0,8196;-0,0258;0,9447;-0,0076;-0,0372;-0,0195;-0,0258;-0,0758;-0,0732;-0,0517;1,1899;0,7923;0,7762;-0,0423;-0,098;-0,0751;-0,0581;0,729;-0,0897;-0,1642;-0,0789;-0,0923;-0,0904;-0,0796;0,9349;-0,0853;-0,0954;-0,1808;-0,0637;-0,0694;-0,0669;0,7208;-0,145;0,6146;0,7431;-0,065;-0,0751;-0,0745;1,9212;-0,0656;-0,0897;-0,0694;-0,098;-0,0359;-0,1196;-0,0707;-0,065;-0,1878;-0,1215;-0,0619;-0,0758;-0,1119;-0,0631;-0,0486;-0,077;-0,0827;-0,0726;-0,0543;-0,1024;-0,0853;-0,1043;0,5342;-0,0986;0,7154;-0,1107;-0,0859;-0,0656;-0,0954;0,9302;-0,0808;0,5501;-0,0885;0,5754;-0,0751;-0,0669;-0,0568;-0,0385;-0,0713;0,8491;-0,0606;-0,0992;-0,0448;-0,0694;-0,0606;-0,0644;-0,105;-0,0745;0,5772;-0,0796;-0,1069;-0,0866;0,8196;-0,0587;-0,0625;-0,0637;-0,0448;0,4717;-0,0815;-0,0701;-0,0923;-0,0853;-0,0473;0,789;-0,0783;-0,0961;-0,1215;0,7374;-0,0923;-0,0916;-0,0961;-0,0948;-0,0853;-0,198;-0,0847;-0,0726;-0,072;0,6729;0,7181
"unico";41;-0,0711;-0,1519;0,7374;-0,1017;0,5603;-0,0739;-0,15;0,4488;-0,0674;-0,1305;-0,073;0,65;-0,1054;-0,086;-0,0517;-0,0305;-0,1147;-0,0536;-0,1129;-0,3051;-0,1519;0,5678;-0,086;0,4405;-0,0573;-0,0776;-0,0582;-0,0989;0,8367;-0,086;-0,0776;-0,0897;0,6468;-0,1027;-0,1045;-0,0378;-0,0767;-0,0111;-0,0545;-0,0286;-0,0378;-0,111;0,6598;-0,0758;1,0308;-0,1119;-0,1166;-0,0619;0,5507;0,65;-0,085;-0,1314;-0,1314;0,3715;-0,1156;-0,1351;-0,1324;-0,1166;0,7813;-0,1249;-0,1398;-0,2648;-0,0934;-0,1017;-0,098;-0,1342;0,4125;-0,177;0,5966;-0,0952;-0,1101;-0,1091;-0,1064;-0,0962;-0,1314;0,6802;-0,1435;0,9425;-0,1751;-0,1036;-0,0952;0,8859;1,204;-0,0906;0,6468;-0,164;-0,0925;-0,0711;-0,1129;-0,1212;-0,1064;-0,0795;-0,15;-0,1249;-0,1528;-0,2199;-0,1444;-0,1361;-0,1621;-0,1259;0,702;-0,1398;0,7767;-0,1184;-0,2106;0,5885;1,129;-0,1101;-0,098;0,7587;-0,0563;-0,1045;-0,0971;-0,0887;-0,1454;-0,0656;-0,1017;0,7333;0,7095;-0,1537;-0,1091;0,4405;-0,1166;-0,1565;0,5966;1,6207;-0,086;-0,0915;-0,0934;-0,0656;0,344;-0,1194;0,6767;-0,1351;-0,1249;-0,0693;-0,1129;-0,1147;-0,1407;0,4735;1,4551;-0,1351;-0,1342;-0,1407;-0,1389;0,6021;-0,2901;-0,124;-0,1064;-0,1054;-0,1519;-0,1351
"amichevole";12;-0,0208;-0,0444;-0,0257;-0,0298;-0,0409;-0,0216;-0,0439;-0,0559;-0,0197;-0,0382;-0,0213;1,146;-0,0308;-0,0251;-0,0151;-0,0089;-0,0335;-0,0157;-0,033;-0,0892;1,0123;-0,0401;1,2499;-0,0572;-0,0167;-0,0227;-0,017;-0,0289;-0,02;-0,0251;-0,0227;-0,0262;-0,0325;-0,03;-0,0306;-0,0111;-0,0224;-0,0032;-0,0159;-0,0084;-0,0111;-0,0325;-0,0314;-0,0222;-0,0124;-0,0327;-0,0341;-0,0181;-0,042;-0,0322;-0,0249;-0,0384;-0,0384;-0,0703;-0,0338;-0,0395;-0,0387;-0,0341;-0,023;-0,0365;-0,0409;-0,0774;-0,0273;-0,0298;-0,0287;-0,0393;-0,0621;-0,0518;-0,0371;-0,0279;-0,0322;-0,0319;-0,0311;-0,0281;-0,0384;-0,0298;1,0357;-0,0154;-0,0512;-0,0303;-0,0279;1,8558;-0,052;-0,0265;-0,0325;-0,048;-0,027;-0,0208;-0,033;-0,0354;1,1604;-0,0232;-0,0439;-0,0365;-0,0447;-0,0643;1,033;-0,0398;-0,0474;-0,0368;-0,0281;-0,0409;-0,0232;1,1155;-0,0616;-0,0379;-0,0575;-0,0322;-0,0287;-0,0243;-0,0165;-0,0306;-0,0284;-0,026;-0,0425;-0,0192;-0,0298;-0,026;-0,0276;-0,045;-0,0319;-0,0572;-0,0341;-0,0458;-0,0371;1,1678;-0,0251;-0,0268;-0,0273;-0,0192;-0,0766;-0,0349;-0,03;-0,0395;-0,0365;-0,0203;-0,033;-0,0335;-0,0412;-0,052;-0,0376;1,0605;-0,0393;-0,0412;-0,0406;-0,0365;-0,0848;-0,0363;-0,0311;-0,0308;-0,0444;1,0605
"dell";33;-0,0573;-0,1222;-0,0707;-0,0819;1,5635;-0,0595;-0,1207;-0,1537;-0,0543;-0,105;-0,0587;-0,0886;-0,0848;-0,0692;-0,0416;-0,0245;-0,0923;-0,0431;-0,0908;0,3647;-0,1222;-0,1102;-0,0692;0,517;-0,0461;-0,0625;-0,0468;0,776;-0,055;-0,0692;-0,0625;-0,0722;0,7307;0,7614;-0,0841;-0,0305;-0,0617;-0,0089;-0,0438;-0,023;-0,0305;-0,0893;-0,0863;-0,061;-0,0342;-0,0901;-0,0938;-0,0498;1,5425;-0,0886;-0,0684;-0,1058;-0,1058;0,4443;-0,0931;-0,1087;-0,1065;-0,0938;0,8682;0,6848;0,6417;-0,2131;0,7989;0,765;-0,0789;-0,108;-0,1709;-0,1424;-0,102;-0,0766;0,734;-0,0878;-0,0856;-0,0774;-0,1058;-0,0819;-0,1155;-0,0424;-0,1409;-0,0834;-0,0766;-0,2213;-0,1432;-0,0729;-0,0893;-0,1319;-0,0744;-0,0573;-0,0908;0,6965;0,7475;-0,064;0,615;-0,1005;-0,123;-0,177;-0,1162;-0,1095;-0,1304;-0,1013;-0,0774;-0,1125;-0,064;-0,0953;-0,1694;-0,1043;-0,1582;-0,0886;0,7797;-0,0669;-0,0453;-0,0841;-0,0781;1,9333;-0,117;-0,0528;-0,0819;-0,0714;-0,0759;-0,1237;0,7373;-0,1574;0,7116;-0,126;0,6791;0,7544;-0,0692;-0,0737;-0,0751;-0,0528;1,0791;-0,096;-0,0826;-0,1087;0,6848;-0,0558;-0,0908;0,7179;0,6392;-0,1432;-0,1035;-0,1087;-0,108;-0,1132;-0,1117;-0,1005;-0,2334;-0,0998;-0,0856;-0,0848;0,6103;0,6546
"patatina";10;-0,0173;-0,037;-0,0214;-0,0248;-0,0341;-0,018;-0,0366;-0,0465;-0,0164;-0,0318;-0,0178;-0,0268;-0,0257;-0,0209;-0,0126;-0,0074;-0,028;-0,0131;-0,0275;-0,0743;-0,037;-0,0334;1,327;-0,0477;-0,014;-0,0189;-0,0142;-0,0241;-0,0167;-0,0209;-0,0189;-0,0219;-0,0271;1,252;-0,0255;-0,0092;-0,0187;-0,0027;-0,0133;-0,007;-0,0092;-0,0271;-0,0261;-0,0185;-0,0103;-0,0273;-0,0284;-0,0151;-0,035;-0,0268;-0,0207;1,1482;-0,032;-0,0586;-0,0282;-0,0329;-0,0323;-0,0284;-0,0191;-0,0304;-0,0341;-0,0645;-0,0228;-0,0248;-0,0239;1,1394;-0,0518;-0,0431;-0,0309;-0,0232;-0,0268;-0,0266;-0,0259;-0,0234;-0,032;-0,0248;-0,035;-0,0128;-0,0427;-0,0252;-0,0232;-0,067;-0,0434;-0,0221;-0,0271;-0,04;-0,0225;-0,0173;-0,0275;-0,0295;-0,0259;-0,0194;-0,0366;-0,0304;1,0853;-0,0536;-0,0352;-0,0332;1,0607;-0,0307;-0,0234;-0,0341;-0,0194;-0,0289;-0,0513;1,1541;-0,0479;-0,0268;-0,0239;-0,0203;-0,0137;-0,0255;-0,0237;-0,0216;-0,0354;-0,016;-0,0248;-0,0216;-0,023;-0,0375;1,2262;-0,0477;-0,0284;-0,0381;-0,0309;-0,0255;-0,0209;-0,0223;-0,0228;-0,016;-0,0638;-0,0291;-0,025;-0,0329;-0,0304;-0,0169;-0,0275;-0,028;1,1196;-0,0434;-0,0313;-0,0329;-0,0327;1,1196;-0,0338;-0,0304;-0,0707;-0,0302;-0,0259;-0,0257;-0,037;-0,0329
"resto";16;-0,0277;-0,0592;-0,0342;-0,0397;-0,0545;-0,0288;-0,0585;0,8025;-0,0263;-0,0509;-0,0285;-0,0429;-0,0411;-0,0335;-0,0202;-0,0119;-0,0447;-0,0209;-0,044;-0,119;0,8945;-0,0534;-0,0335;-0,0763;-0,0223;-0,0303;1,2932;-0,0386;-0,0267;-0,0335;-0,0303;-0,035;1,0229;-0,04;-0,0408;-0,0148;-0,0299;-0,0043;-0,0212;-0,0112;-0,0148;1,0229;-0,0418;-0,0296;-0,0166;-0,0437;-0,0455;-0,0241;-0,056;-0,0429;-0,0332;-0,0513;0,9534;0,7118;-0,0451;-0,0527;0,9505;-0,0455;-0,0306;-0,0487;-0,0545;-0,1033;-0,0364;-0,0397;-0,0382;-0,0523;-0,0828;-0,069;-0,0494;-0,0371;-0,0429;-0,0426;-0,0415;-0,0375;-0,0513;-0,0397;-0,056;-0,0205;0,8371;-0,0404;-0,0371;-0,1073;0,8307;-0,0353;-0,0433;-0,0639;-0,0361;-0,0277;-0,044;-0,0473;-0,0415;-0,031;-0,0585;-0,0487;-0,0596;-0,0858;-0,0563;-0,0531;-0,0632;0,9712;-0,0375;-0,0545;-0,031;-0,0462;-0,0821;0,9593;-0,0767;-0,0429;-0,0382;1,1428;-0,022;-0,0408;-0,0379;-0,0346;-0,0567;-0,0256;-0,0397;-0,0346;1,0905;-0,06;-0,0426;-0,0763;-0,0455;-0,061;-0,0494;-0,0408;-0,0335;-0,0357;-0,0364;-0,0256;-0,1022;-0,0465;-0,04;-0,0527;-0,0487;-0,027;1,016;-0,0447;-0,0549;0,8307;-0,0502;-0,0527;-0,0523;-0,0549;-0,0542;-0,0487;-0,1131;-0,0484;-0,0415;-0,0411;-0,0592;-0,0527
"economico";13;-0,0225;-0,0481;-0,0278;-0,0322;-0,0443;-0,0234;-0,0475;-0,0605;-0,0214;-0,0413;-0,0231;-0,0349;-0,0334;-0,0272;1,4315;-0,0096;-0,0363;-0,017;-0,0358;-0,0967;-0,0481;-0,0434;-0,0272;-0,062;-0,0181;-0,0246;-0,0184;-0,0313;-0,0217;-0,0272;1,2592;1,1984;-0,0352;-0,0325;-0,0331;-0,012;1,2642;-0,0035;1,4092;-0,0091;-0,012;1,1091;-0,034;-0,024;-0,0135;-0,0355;-0,0369;-0,0196;-0,0455;-0,0349;-0,0269;-0,0416;-0,0416;0,7935;-0,0366;-0,0428;-0,0419;-0,0369;-0,0249;-0,0396;-0,0443;-0,0839;-0,0296;-0,0322;-0,0311;-0,0425;-0,0673;-0,0561;-0,0402;-0,0302;-0,0349;-0,0346;-0,0337;-0,0305;-0,0416;-0,0322;-0,0455;-0,0167;-0,0555;1,138;-0,0302;0,7404;-0,0564;-0,0287;-0,0352;-0,052;-0,0293;-0,0225;-0,0358;-0,0384;-0,0337;-0,0252;-0,0475;-0,0396;-0,0484;-0,0697;-0,0458;-0,0431;-0,0514;-0,0399;-0,0305;-0,0443;-0,0252;-0,0375;-0,0667;-0,0411;-0,0623;-0,0349;-0,0311;-0,0264;-0,0179;-0,0331;-0,0308;-0,0281;-0,0461;-0,0208;1,1455;-0,0281;-0,0299;-0,0487;-0,0346;-0,062;-0,0369;-0,0496;-0,0402;1,1343;-0,0272;-0,029;1,1814;1,3304;-0,083;-0,0378;-0,0325;-0,0428;-0,0396;-0,022;-0,0358;-0,0363;-0,0446;-0,0564;-0,0408;-0,0428;-0,0425;-0,0446;-0,044;-0,0396;-0,0919;-0,0393;-0,0337;-0,0334;-0,0481;-0,0428
"nulla";24;-0,0416;0,7327;-0,0514;-0,0595;-0,0818;-0,0433;-0,0878;0,6442;1,0612;-0,0764;-0,0427;-0,0644;-0,0617;0,9611;-0,0303;-0,0178;-0,0671;1,1573;-0,066;0,4724;0,7327;-0,0802;-0,0503;-0,1145;1,1293;-0,0454;-0,034;-0,0579;-0,04;-0,0503;-0,0454;-0,0525;-0,0649;-0,0601;-0,0611;-0,0221;1,008;-0,0065;-0,0319;-0,0167;-0,0221;-0,0649;-0,0628;-0,0443;-0,0248;-0,0655;0,8376;-0,0362;-0,084;-0,0644;-0,0498;-0,0769;-0,0769;-0,1407;-0,0677;-0,0791;-0,0774;-0,0682;-0,046;-0,0731;1,8254;-0,1549;-0,0546;-0,0595;-0,0573;-0,0785;-0,1243;-0,1036;-0,0742;-0,0557;-0,0644;-0,0639;-0,0622;-0,0563;-0,0769;-0,0595;-0,084;-0,0308;-0,1025;-0,0606;-0,0557;-0,1609;-0,1041;-0,053;-0,0649;-0,0959;-0,0541;-0,0416;-0,066;-0,0709;-0,0622;-0,0465;-0,0878;-0,0731;-0,0894;0,5911;-0,0845;-0,0796;0,7073;-0,0736;-0,0563;0,7653;-0,0465;0,8313;-0,1232;0,7954;-0,115;-0,0644;-0,0573;-0,0487;-0,033;-0,0611;0,9115;-0,0519;-0,0851;-0,0384;-0,0595;-0,0519;-0,0552;-0,09;0,8641;-0,1145;-0,0682;-0,0916;0,8041;-0,0611;-0,0503;-0,0536;-0,0546;-0,0384;-0,1533;-0,0698;-0,0601;-0,0791;0,8099;-0,0405;-0,066;-0,0671;-0,0823;-0,1041;-0,0753;-0,0791;-0,0785;0,7627;-0,0812;-0,0731;0,4902;-0,0726;-0,0622;0,8781;-0,0889;-0,0791
"cucinare";20;-0,0347;-0,074;-0,0428;0,9669;-0,0682;1,0989;-0,0731;-0,0931;-0,0329;-0,0636;-0,0356;-0,0537;-0,0514;-0,0419;-0,0252;-0,0148;-0,0559;-0,0261;-0,055;-0,1487;-0,074;1,9954;-0,0419;-0,0954;-0,0279;1,0785;1,199;-0,0482;-0,0333;-0,0419;-0,0378;-0,0437;0,9312;-0,05;0,9559;-0,0185;-0,0374;-0,0054;-0,0266;-0,0139;-0,0185;-0,0541;-0,0523;-0,0369;-0,0207;-0,0546;-0,0568;-0,0302;-0,07;-0,0537;-0,0415;-0,0641;0,8627;-0,1172;-0,0564;-0,0659;-0,0645;0,9113;-0,0383;-0,0609;-0,0682;0,5899;-0,0455;0,9669;-0,0478;-0,0654;0,6733;-0,0863;-0,0618;-0,0464;-0,0537;-0,0532;-0,0519;-0,0469;-0,0641;-0,0496;-0,07;-0,0257;-0,0854;-0,0505;-0,0464;-0,1341;-0,0867;-0,0442;0,9312;-0,0799;-0,0451;-0,0347;-0,055;-0,0591;-0,0519;-0,0387;-0,0731;-0,0609;0,8024;-0,1072;-0,0704;-0,0663;-0,079;-0,0614;-0,0469;-0,0682;-0,0387;-0,0577;-0,1027;-0,0632;-0,0958;-0,0537;-0,0478;-0,0406;-0,0275;-0,051;-0,0473;-0,0433;-0,0709;-0,032;-0,0496;-0,0433;-0,046;0,7999;0,9381;-0,0954;-0,0568;-0,0763;-0,0618;-0,051;1,0362;-0,0446;1,0021;-0,032;-0,1277;-0,0582;-0,05;-0,0659;-0,0609;-0,0338;-0,055;-0,0559;-0,0686;-0,0867;-0,0627;-0,0659;-0,0654;-0,0686;-0,0677;0,8832;-0,1414;-0,0605;-0,0519;-0,0514;-0,074;-0,0659
"amaro";10;-0,0173;-0,037;-0,0214;-0,0248;-0,0341;-0,018;1,0929;-0,0465;-0,0164;-0,0318;-0,0178;-0,0268;-0,0257;-0,0209;-0,0126;-0,0074;-0,028;-0,0131;-0,0275;-0,0743;-0,037;1,1308;-0,0209;-0,0477;-0,014;-0,0189;-0,0142;-0,0241;-0,0167;-0,0209;-0,0189;-0,0219;-0,0271;1,252;-0,0255;-0,0092;-0,0187;-0,0027;-0,0133;-0,007;-0,0092;-0,0271;-0,0261;-0,0185;-0,0103;-0,0273;-0,0284;-0,0151;-0,035;-0,0268;-0,0207;-0,032;-0,032;-0,0586;-0,0282;-0,0329;-0,0323;-0,0284;-0,0191;-0,0304;1,1224;-0,0645;-0,0228;-0,0248;-0,0239;-0,0327;-0,0518;-0,0431;-0,0309;-0,0232;-0,0268;-0,0266;-0,0259;-0,0234;-0,032;-0,0248;-0,035;-0,0128;-0,0427;-0,0252;-0,0232;-0,067;-0,0434;-0,0221;-0,0271;-0,04;-0,0225;-0,0173;-0,0275;-0,0295;-0,0259;-0,0194;-0,0366;1,1694;-0,0372;-0,0536;-0,0352;-0,0332;-0,0395;-0,0307;-0,0234;-0,0341;-0,0194;-0,0289;0,9529;-0,0316;-0,0479;-0,0268;-0,0239;-0,0203;-0,0137;-0,0255;-0,0237;-0,0216;-0,0354;-0,016;-0,0248;-0,0216;-0,023;-0,0375;-0,0266;-0,0477;-0,0284;-0,0381;-0,0309;-0,0255;-0,0209;-0,0223;-0,0228;-0,016;0,8642;-0,0291;-0,025;-0,0329;-0,0304;-0,0169;-0,0275;-0,028;-0,0343;-0,0434;-0,0313;-0,0329;1,1394;-0,0343;-0,0338;-0,0304;0,8233;-0,0302;-0,0259;-0,0257;1,0878;-0,0329
