"";"X.NAME_1.CasaManco";"X.NAME_10.TrattoriaPennestri";"X.NAME_100.CharroCafe";"X.NAME_101.CimagliaSilvana";"X.NAME_102.Yoshi";"X.NAME_103.MoonlightCafe";"X.NAME_104.PURO.StreetFoodFromPuglia";"X.NAME_105.DaSeverino";"X.NAME_106.IlSemeelaFoglia";"X.NAME_107.Farinando";"X.NAME_108.CerteNottiaTestaccio";"X.NAME_109.VeganStore";"X.NAME_11.SushiDoku";"X.NAME_110.BurBaCa";"X.NAME_111.PizzeriaViaAmerigoVespucciRoma";"X.NAME_112.CapitanConoGelateria";"X.NAME_113.YourSushi";"X.NAME_114.BurgerKing";"X.NAME_115.NorcineriaSergio";"X.NAME_116.ConteStaccio";"X.NAME_117.BebopMusicClub";"X.NAME_118.LosCabosAPSLasCalaveras";"X.NAME_119.Testaccino";"X.NAME_12.SakanaSushi";"X.NAME_120.OsteriaPizzeria";"X.NAME_121.FoodieFreshmarket";"X.NAME_122.Itreporcellinisnc";"X.NAME_123.LaFarandula";"X.NAME_124.Companatico";"X.NAME_125.Spago";"X.NAME_126.Bucolica";"X.NAME_127.LaCiriolettaIgnorante";"X.NAME_128.SantaClaritaTacosySushi";"X.NAME_129.MastroTittaPub";"X.NAME_13.LaVecchiaLupiae";"X.NAME_130.FiordiFarinaPizzaShop";"X.NAME_131.PasticceriaBenedetto";"X.NAME_132.PLANETRoma";"X.NAME_133.SlotHouseEuropa";"X.NAME_134.SnackBar";"X.NAME_135.Palladiana";"X.NAME_136.CottoeMandato";"X.NAME_137.Shake";"X.NAME_138.Violarosso";"X.NAME_139.OnTheBurger";"X.NAME_14.JunseiRestaurantKaitenSushi";"X.NAME_140.SlurpGelateria";"X.NAME_141.SushiPing";"X.NAME_142.CafeBoario";"X.NAME_143.LaBotticella";"X.NAME_144.MammaRoma";"X.NAME_145.RistoranteGalu";"X.NAME_146.RistoranteallaMaisonLatina";"X.NAME_15.LoScopettaro";"X.NAME_16.RistoranteEritrea";"X.NAME_17.OsteriadegliAmici";"X.NAME_18.Ilnidogustoemiscele";"X.NAME_19.Pecorino";"X.NAME_2.Masto";"X.NAME_20.HostariadaEnzo";"X.NAME_21.PIZZERIAOSTIENSE";"X.NAME_22.PiattoRomano";"X.NAME_23.GelateriaLaRomana.Roma.viaOstiense";"X.NAME_24.TavernaVolpetti";"X.NAME_25.Molì";"X.NAME_26.TbspSpotTestaccio";"X.NAME_27.FeliceaTestaccio";"X.NAME_28.OsteriaFratelliMori";"X.NAME_29.PolpettaGazometro";"X.NAME_3.LaFataIgnorante";"X.NAME_30.PasticceriaAndreotti";"X.NAME_31.IlGrottino";"X.NAME_32.AssuntinaRistorante";"X.NAME_33.PasticceriaLinari";"X.NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"X.NAME_35.PizzeriadaRemo";"X.NAME_36.StazionediPosta";"X.NAME_37.BarGiolitti";"X.NAME_38.AiCocci";"X.NAME_39.NuovoMondo";"X.NAME_4.MordieVai";"X.NAME_40.TabernaPersiana";"X.NAME_41.AlicePizzaOstiense";"X.NAME_42.AugustarelloaTestaccio";"X.NAME_43.EnotecaDivinare";"X.NAME_44.Doppiozeroo";"X.NAME_45.DaBucatino";"X.NAME_46.LìArMonte";"X.NAME_47.IlSecchioel.Olivaro.Ostiense";"X.NAME_48.LaFraschettadiMastroGiorgio";"X.NAME_49.MakaiSurf.TikiBar";"X.NAME_5.Panna.Co";"X.NAME_50.Checchinodal1887";"X.NAME_51.TrattoriaPerilli";"X.NAME_52.MercatBistrot.OldBar";"X.NAME_53.Rec23RestaurantEmporioClub";"X.NAME_54.OasidellaBirra.EnotecaPalombi";"X.NAME_55.FlavioAlVelavevodetto";"X.NAME_56.Gazometro38";"X.NAME_57.CacioeCocci";"X.NAME_58.CrochonNoelJoseph";"X.NAME_59.OishiRestaurant";"X.NAME_6.TrapizzinoTestaccio";"X.NAME_60.IlPiccoloAlpino";"X.NAME_61.DaOioaCasaMia";"X.NAME_62.BancoFastFood";"X.NAME_63.PortoFluviale";"X.NAME_64.Ketumbar";"X.NAME_65.Giansanti";"X.NAME_66.TheMeatMarketTestaccio";"X.NAME_67.AlicePizzaTestaccio";"X.NAME_68.IlPizzettiere";"X.NAME_69.ContedeiCocci";"X.NAME_7.GelateriaBrivido";"X.NAME_70.LaTorricella";"X.NAME_71.PasticceriaZio";"X.NAME_72.LaCreperieDiTestaccio";"X.NAME_73.BlueIceGelato";"X.NAME_74.PastaeSpätzle";"X.NAME_75.LaDoganaFood";"X.NAME_76.CapitanPaninokSaporieTradizioniRegionali";"X.NAME_77.FoodBox";"X.NAME_78.ChihanaSushiRestaurant";"X.NAME_79.CakeSiGira";"X.NAME_8.Sushisen";"X.NAME_80.IlGianfornaio";"X.NAME_81.AngelinaCafe.";"X.NAME_82.PizzeriaRosticceriaOstiense10";"X.NAME_83.FraschettadaSandro";"X.NAME_84.LaBaguetteriaOstiense";"X.NAME_85.AngelinaaTestaccio";"X.NAME_86.ZoéMercatoTestaccio";"X.NAME_87.InCiboVeritas";"X.NAME_88.PachinoMonello";"X.NAME_89.AvePinsa";"X.NAME_9.IlPangocciolaio";"X.NAME_90.Banco21";"X.NAME_91.Trentatrétestaccio";"X.NAME_92.StritFud";"X.NAME_93.L.insalataRicca.Gazometro";"X.NAME_94.RisoRoma";"X.NAME_95.ThinkFarmer";"X.NAME_96.900";"X.NAME_97.RoadhouseGrill";"X.NAME_98.DolceSicilia";"X.NAME_99.PanificioiGuerrini";"X.NAME_DarBruttone.RomaSanGiovanni.";"X.NAME_Florian.s";"X.NAME_IlTempiodiMinerva";"X.NAME_RistoranteEstEstEst";"X.NAME_VIICoorte";"X.NAME_Viavaibarbistrot"
"pre";0,4095;1,4271;1,3167;-0,3798;0,4021;0,2863;-0,3865;0,5494;0,5071;-0,8193;-0,3146;0,3178;-0,3641;-0,4488;-0,6875;-0,5022;-1,2107;-0,5679;-1,7173;0,5491;0,3467;-0,3402;-0,2946;-0,5147;0,5369;-1,2026;0,9153;-1,0266;-1,5653;0,3112;-0,3241;0,3375;0,6449;-0,4062;0,5718;-0,3736;-0,5788;0,3534;-0,2592;-0,5561;-0,45;0,3049;-0,3024;-0,49;0,5854;-0,7165;-0,834;-0,8931;0,9201;-0,435;-0,6414;-0,2993;-0,6214;1,3661;-0,8382;0,2949;-0,3085;-0,4049;-0,9602;-0,7277;-0,6363;1,8754;0,7298;1,1463;0,8061;-0,5887;-1,089;-0,492;-0,5014;-0,344;-0,5486;-0,3928;0,3407;0,8874;-0,819;-0,4582;0,2952;-0,3228;0,4336;0,3787;1,7485;0,4375;-1,5086;-0,4315;0,4837;0,2923;0,406;-0,6239;-1,3036;-0,3546;-0,5353;0,3633;-0,3534;-0,5014;-0,6401;1,0481;0,659;0,364;0,5521;0,3808;-0,4095;0,3025;0,585;0,6863;-0,8143;0,4675;0,3374;-0,725;-1,1417;-0,9809;0,4646;0,6444;-0,4236;-0,3387;-0,4968;-0,5089;-0,6824;0,2943;0,6303;-0,9079;0,6174;-0,497;1,1406;1,0465;0,9935;-1,4692;-0,522;-0,312;0,7535;0,4161;0,3635;-0,3206;-0,4821;0,485;1,0566;-0,5148;-0,8036;-0,7269;0,6016;-0,5541;0,2966;-1,1765;1,8559;0,4291;0,9579;0,8319;2,302;-0,3301;-0,5318;-0,3591;0,5556;0,6578
"nom";-0,5467;2,6177;0,9549;1,5353;-0,3464;0,4121;-0,9049;-1,0555;-0,8137;-0,3352;-0,9979;-0,9279;-0,3921;-0,5557;0,4206;0,4961;-0,697;0,2873;-0,4465;-2,6746;-0,2975;-0,4948;-0,5531;-1,5133;-0,4566;-0,6889;-0,6792;-2,2597;-0,3753;-0,4123;0,3146;-0,6024;-0,8124;0,4786;0,3163;-0,799;-0,9792;0,7062;-0,7864;0,5228;-0,8129;-0,4516;-2,1122;0,5143;0,3385;-0,2834;-0,7945;-0,5572;0,4304;-1,0779;0,3203;-0,8578;0,5543;0,3832;-0,4219;0,3876;-0,2809;0,6442;-0,4061;-0,5966;0,3743;0,5591;-0,7308;3,7438;1,5422;-2,2091;-0,6359;-0,3055;-0,7659;-0,3753;-0,4672;0,5478;0,9658;0,9031;0,6161;1,6094;0,4744;1,8827;0,3967;2,2803;0,2905;2,4054;0,5156;0,5888;0,7734;-0,9226;0,4634;0,9055;1,8675;1,746;0,331;0,3388;0,5268;0,6014;-1,2394;-0,8354;0,7759;-0,325;-1,003;-0,2738;-0,4838;-0,2847;-0,3268;-0,3032;-1,1498;-0,858;0,3319;-1,0112;0,4611;-0,3452;1,9167;1,4495;1,2585;0,4623;-0,4079;0,2967;-1,1654;-0,3099;-0,4051;-0,5343;-0,3202;-0,3569;-0,9808;0,3531;-0,9985;0,4177;0,3509;-0,3531;1,4495;1,0337;0,2985;0,7049;0,9908;0,3823;-0,7659;-1,1825;-0,5481;0,4502;-1,4775;2,0129;-1,2733;-2,776;1,13;0,383;0,3498;2,9458;0,628;0,7713;0,6202;1,4101;0,3957;0,876
"ver";0,4704;-0,801;-0,3981;0,3645;-0,5226;-0,7718;-1,102;0,8235;-1,1998;0,5624;0,4738;0,6187;0,5524;-0,3142;-0,6755;0,2679;0,6761;-0,4409;-0,5908;1,3249;-0,5519;-0,5095;0,7853;1,5638;0,3577;0,6811;-0,302;0,4884;0,2986;-0,4259;-0,4017;0,6515;0,3716;0,3663;-0,6526;0,2566;0,4174;-1,1003;0,2738;-0,3669;0,6942;0,4047;-0,5613;-1,1046;0,4483;0,5774;0,379;-0,5465;0,6894;-0,2589;0,7278;-0,5246;0,5526;1,3057;-0,2989;0,4415;1,2401;-0,4427;0,5952;1,012;-0,4343;-0,3948;2,2963;-1,3951;-0,9732;0,3418;0,8952;-0,3348;-0,9818;-0,3522;-0,4072;0,35;-1,3302;-0,6977;-0,3772;-0,4769;0,5867;-0,3557;-0,2998;-1,6065;-0,5605;-1,1659;-0,5174;-1,08;-0,9266;2,5962;-1,1355;-0,3544;-0,4971;-1,3342;0,4497;-1,7049;-0,5298;0,3608;0,3455;-0,367;-2,2892;0,3203;3,3258;0,5882;-0,772;1,3479;0,2805;0,5564;0,7464;0,388;2,3393;1,0687;-0,6242;0,3572;-0,8425;-1,5342;-0,4475;-1,3022;0,3327;-1,4497;-0,8037;0,3793;-0,3279;0,5412;1,1618;0,9516;0,2932;-0,4612;0,7198;-0,7767;0,7504;0,35;-0,4068;-0,8011;0,5018;-0,3861;0,4695;-0,5808;1,1618;1,1448;0,311;-0,6977;1,8639;-1,1851;1,6295;-0,2998;-0,4605;0,3244;-0,4419;-0,718;-1,2488;-0,4292;-1,5239;-0,431;-0,5747;-0,394
"adv_sup";-0,7688;-2,6237;-0,7804;-0,4401;-0,4645;-0,8377;-0,7633;0,5412;0,7142;-0,3038;-0,6475;0,9811;0,5058;0,4084;-0,2978;0,3791;0,8058;0,3847;0,7168;0,5361;-0,2822;-0,6376;0,6297;0,2993;-0,5198;0,4282;-0,3896;0,8685;1,727;-0,9933;-0,356;-0,3561;-0,6144;-0,409;-1,0657;-0,6094;0,3089;-0,365;-0,6869;-0,6159;-0,2362;0,4854;0,4336;-0,2517;0,6841;-0,361;2,54;0,5874;-1,9661;0,6575;0,5962;0,5835;0,3716;-0,4078;-0,3663;-0,4142;-0,7331;0,7208;-0,3307;-0,3904;-0,2857;0,494;0,7285;-1,1353;-0,2695;1,2557;1,0233;1,7614;0,4051;-0,9579;1,3155;0,2831;0,3828;-0,2537;-2,1661;0,793;0,3923;-1,9107;-0,5429;-0,3276;-0,4743;-0,5867;1,0796;-0,3307;0,633;3,1046;-1,052;-1,2271;-0,5188;-2,3234;-0,3881;1,3012;-0,3196;-0,4599;0,9976;-0,4876;0,7185;0,8333;0,3593;0,42;-0,4824;1,1105;-1,1407;1,2046;1,3136;0,4918;-0,3374;0,7933;-1,0043;-0,4571;-1,5552;0,3982;-1,7339;0,7802;0,7191;0,7613;-0,8265;1,2454;-0,4485;1,1402;-0,2834;0,4485;0,8676;-1,1374;-0,7748;0,4751;-0,9733;1,3822;-0,9772;-1,0086;-0,8228;0,3909;-0,4012;1,383;0,5038;-0,3345;0,4916;0,8435;0,5832;0,3698;1,0052;0,5206;-0,3509;-0,4442;-1,0224;-1,1993;-1,9147;-0,7557;-1,092;0,2727;-1,8592;0,3839
"ver_sup";-0,6857;-1,7968;-1,2794;-0,6193;0,3544;-0,6139;0,3096;0,3602;-1,5359;1,4108;0,2686;0,564;1,0224;0,3562;-1,1712;-0,6174;1,0877;0,3491;1,6265;2,4287;-0,4297;-0,3178;-2,089;1,1517;0,8503;0,6345;-0,5786;-0,3773;0,6547;1,7504;0,5098;0,4439;-0,8011;-0,4189;-0,4334;0,8402;0,3433;-0,698;1,3997;2,9131;0,2634;2,119;1,144;0,8835;0,3761;-1,2573;0,3806;-0,4644;-1,7314;0,7599;1,0641;1,2335;0,2939;1,5742;0,3387;-0,9623;-0,3845;-0,6873;-0,993;0,3319;0,5268;-1,0846;0,3275;-0,2602;-0,5688;0,9463;2,3835;0,8904;-1,1904;-0,5025;0,5307;-0,3769;0,3918;-0,4211;0,4375;-0,6861;0,4469;-1,0043;0,3003;-1,9412;-0,2766;-2,5574;1,9116;-0,7557;-2,5544;-0,4765;-0,4261;0,3224;-0,544;-3,6487;-0,5018;-0,8142;-0,4528;0,3037;0,6286;2,254;-0,2564;0,304;0,5709;0,4994;-0,262;0,2809;-0,2578;-3,0696;-0,57;-2,1244;0,7836;1,0001;-0,9613;-0,4205;0,5806;-0,8287;-1,0703;0,3804;3,1712;-0,5895;0,8105;-0,7619;-1,0326;0,4438;0,5012;1,0287;0,7247;1,9341;-0,5028;-0,4625;-0,4045;-0,3769;-2,8001;-1,3001;-0,5305;-0,8623;-0,7058;-0,5835;-0,2983;0,3214;0,5722;-0,7063;-0,2927;-0,5838;1,0564;2,7295;-0,4871;1,6657;-0,2791;-0,4741;-2,0867;0,2786;-1,3176;0,2745;0,5043;-0,8724
"int";-0,0437;-0,0784;-0,05;-0,0459;-0,0748;-0,0386;-0,0766;1,7433;-0,0364;-0,064;-0,0356;-0,0589;-0,0502;-0,0394;-0,0232;-0,0166;-0,052;1,2217;-0,0585;-0,1539;-0,0821;-0,0679;-0,0427;-0,0966;-0,0275;-0,0364;2,6466;-0,0534;-0,0245;-0,0441;-0,0328;0,993;-0,0644;-0,048;-0,0484;-0,0168;1,0925;-0,005;-0,0271;-0,0105;-0,0192;-0,0532;-0,0624;-0,0354;-0,02;-0,0577;-0,0642;-0,0285;-0,0774;-0,0547;-0,0358;-0,0638;-0,0642;0,6075;-0,0496;-0,0565;-0,0671;-0,051;1,0811;-0,053;-0,066;0,5214;-0,0435;-0,0461;-0,0413;-0,0715;-0,0972;-0,0697;-0,0605;-0,0467;-0,0567;-0,04;-0,048;-0,0514;-0,0624;-0,0473;-0,0715;-0,0297;-0,077;-0,0457;-0,0467;-0,1527;-0,0791;-0,0376;-0,0526;0,8266;0,979;1,1236;-0,0478;-0,053;-0,0502;-0,0386;-0,0727;-0,0605;-0,0756;-0,1178;-0,0685;-0,0638;-0,0833;0,9066;-0,0526;-0,0713;-0,0396;-0,0581;-0,1041;-0,066;-0,0899;-0,0449;-0,0411;-0,0378;-0,0226;0,962;-0,0467;-0,0451;-0,076;-0,0309;-0,0508;-0,0415;-0,0461;-0,0685;-0,0605;-0,0962;-0,0583;-0,0842;-0,0709;-0,0457;-0,0374;1,0551;-0,0502;-0,0247;-0,1371;-0,0583;0,9824;-0,0628;-0,0605;-0,0405;-0,0557;-0,0514;-0,0766;0,7727;-0,061;0,8883;-0,0601;-0,0742;0,8118;-0,0632;-0,1521;-0,0616;-0,0423;-0,0486;-0,076;-0,0585
"nom_sup";0,5011;-0,2204;0,6469;-0,3707;-1,3517;0,9669;-1,3949;0,8641;0,3755;0,9052;1,534;0,4744;0,6423;0,5947;-0,257;-0,4709;0,6027;0,2819;0,4811;0,7033;-0,6569;0,3478;-0,6315;-0,247;0,577;0,3755;0,8526;-0,4884;0,3254;0,2622;-0,9312;0,4474;-0,6761;0,4229;1,4053;-0,1532;-0,5069;-0,1435;0,2785;0,3036;0,4499;-0,2626;1,2854;0,3939;0,4275;0,4948;-0,2238;0,5489;-0,5849;1,567;-0,4908;-0,2201;0,9001;1,5108;-0,4267;-0,5388;0,8316;-0,4491;-0,2533;-0,4818;0,3707;-0,9044;-1,2366;0,2387;-0,6019;0,7344;-0,9053;-1,2324;0,257;0,4438;-0,5422;-0,5768;-0,7434;-0,4556;0,4209;0,4332;-0,8061;-0,8448;-0,5788;0,4621;-0,7173;-0,3223;1,1317;0,3546;-0,845;0,7641;0,4195;0,4213;0,4263;-1,5077;-0,2292;-0,5478;-1,3038;-0,3501;0,2655;-0,4435;-0,4551;-0,3919;0,5283;0,4983;0,3515;0,4991;-1,127;-0,5663;-1,0268;0,3707;0,4396;-1,2769;-0,5977;-0,256;-0,6434;0,6423;-0,7173;-0,3586;0,6484;-0,8793;-0,2358;0,2963;-0,7043;0,7994;0,257;-0,5964;0,2807;-0,2698;0,3128;0,751;0,6458;-0,2861;0,3871;-0,2815;0,2795;-0,9716;0,4263;-0,3787;0,257;-0,5852;-0,5252;-0,2424;0,6375;-0,6284;0,9853;0,4547;1,0079;1,2676;0,9883;0,4092;0,728;1,3123;-1,202;-1,3808;-0,3443;-0,3248
"pro";1,4577;-1,462;-0,3371;0,5089;-0,6845;-0,3803;-1,1316;0,9901;-0,4557;0,7012;0,626;2,3612;0,3686;-0,5757;-0,47;-0,6313;1,3366;1,5432;0,3645;1,4402;-0,9508;0,8536;0,6446;1,5783;-0,2937;-0,3111;-0,4086;-0,5828;-1,1997;-0,7817;-0,3285;1,2455;-0,8225;-0,4011;-0,9905;0,4241;1,812;-0,5402;0,6907;-0,561;0,7487;0,6772;-0,3292;-0,2819;0,6877;0,2842;0,6931;-0,7432;-0,3816;0,7804;-0,6204;1,942;1,6639;0,905;-1,0534;-0,2903;0,5885;-1,1286;-0,2335;-0,4227;-0,3165;-0,557;0,9917;-0,3478;-0,6533;0,4506;-0,4376;-0,3047;0,42;-0,2567;0,8589;-1,1087;-3,1959;-0,6824;-0,3292;-0,7107;0,4506;-0,3709;0,5212;-1,1282;-1,1857;-1,3979;0,8535;-0,5023;-1,9215;1,7217;-0,9801;1,1801;-0,2806;-1,9496;-0,8367;-0,5425;-0,2818;-0,5173;-1,321;2,1627;-1,4974;0,4421;0,833;0,5148;-0,7322;0,8648;-0,414;-0,4432;1,2048;0,2861;-0,882;0,7155;-0,8763;0,7012;-0,695;-0,8367;-1,9418;0,5402;3,4074;0,4875;0,6205;-0,336;-0,6594;-0,4879;0,3145;0,7803;0,4879;0,6659;0,3623;-1,8678;-0,9562;-0,6011;0,646;-2,6391;0,5231;-0,5933;-0,7282;0,9181;-0,5173;0,5748;0,3319;-1,8376;2,2183;0,5418;1,6572;1,2562;-0,5046;-0,4067;-0,6176;-0,2569;-1,5589;-0,9064;-0,5076;-0,5722;-0,453;-0,9924
"sw";-0,3;-0,2642;-1,5331;0,4377;1,2312;0,4042;-1,0548;-0,4292;-0,342;-0,4923;0,2779;-0,3977;-0,2559;0,3858;-0,5407;-0,7767;-0,2833;-0,3457;-0,5993;0,84;1,804;-0,5695;-0,7837;0,6367;-0,6864;0,4592;-0,8015;0,9226;0,5773;-0,3071;-0,8749;-0,9037;-0,3282;0,8474;0,3862;-0,3341;-0,3462;-0,2367;-0,3506;0,5099;2,3438;-1,1211;-0,4611;0,2816;-0,1938;0,3799;-0,7334;-0,1949;1,1389;0,4385;-0,9869;1,3768;0,2782;-0,3428;-0,2471;-0,2189;0,5423;-0,4376;0,4283;-0,7407;-0,2257;-0,4934;-0,2965;0,4332;-0,4477;-1,2793;0,339;-0,2706;0,4976;0,4199;0,3986;0,3726;-0,6086;0,5102;0,4599;-0,5933;0,4532;-0,2153;0,5147;-0,3361;-0,5781;0,7089;0,4767;1,3067;0,6966;-0,6162;-0,3816;0,3089;-0,6035;0,4731;1,3583;-0,2177;0,4313;-0,95;-0,7365;-0,7065;-1,1853;-0,319;-0,6662;-0,3728;-0,2927;-0,4399;-0,2332;0,3726;0,5005;-0,2257;0,444;0,2815;1,4844;1,6835;-0,5205;-0,6657;0,4199;0,6822;0,3776;-0,2366;0,7523;0,8068;-0,5631;0,3523;0,3318;-0,5157;0,7642;-0,6829;-0,2865;0,2686;0,676;-0,7042;-1,021;-1,1562;1,6588;-0,8862;-0,3738;-0,304;0,9399;-1,1626;0,2638;0,3298;0,3682;-1,5581;1,5032;-1,3551;-0,6366;0,5725;-1,8025;0,6317;0,7194;-0,4459;0,3278;0,3822;1,1878;0,5428
"adj_sup";-0,5013;1,1957;-0,3071;-0,2609;-0,3706;-0,4187;0,6316;-0,5539;0,5034;0,3436;0,5202;0,6697;0,2928;1,6837;-0,549;-0,3913;-0,643;0,3695;0,4115;-0,5532;-0,2626;1,1181;-0,2259;-0,2357;-0,6494;2,4209;0,3049;0,7858;-0,5776;-0,2409;-0,7737;-1,0994;-0,8649;-0,573;0,3142;-0,3961;0,2295;-0,1192;0,3658;0,9566;-0,1414;-0,3459;-0,4626;0,9008;-0,1513;-0,2061;-0,4872;-0,2648;0,3929;0,2466;0,2386;0,5816;-0,2642;0,4641;0,2997;-0,3862;0,5295;-0,319;-0,175;-0,6607;-0,8948;-0,264;1,0567;0,6213;-0,2111;-0,3364;-0,3991;-0,9628;-0,4384;-0,5523;-0,3887;-0,1988;-0,573;-0,6324;-0,4626;0,9409;0,2683;-0,2823;-0,2221;-0,5352;-0,2699;0,3625;-0,4173;0,4793;-0,3385;2,2929;-1,1377;-0,8024;-1,1281;-0,3434;-0,3095;-0,1848;0,2578;0,3849;0,6483;0,7294;-1,6177;-0,8537;0,7818;-0,399;0,4999;0,4683;-0,1947;-0,4068;0,6968;0,8284;-0,3297;-0,5216;-0,209;-0,8934;-0,1845;-1,1857;0,6086;-0,525;-1,0816;0,6302;0,8492;-0,2132;-0,542;0,2966;-0,4384;-0,2328;-0,4094;-0,2796;0,7308;0,9878;-0,8838;0,7648;0,8647;-0,5824;1,164;0,6816;0,3217;-0,4681;0,3849;-0,2029;-0,376;-0,6324;0,9129;0,8389;-1,44;0,9648;-0,4331;-1,7523;0,6974;0,3528;0,3672;0,6204;0,3983;1,7718;-0,2144;-0,2131
