"";"*NAME_1.CasaManco";"*NAME_10.TrattoriaPennestri";"*NAME_100.CharroCafe";"*NAME_101.CimagliaSilvana";"*NAME_102.Yoshi";"*NAME_103.MoonlightCafe";"*NAME_104.PURO-StreetFoodFromPuglia";"*NAME_105.DaSeverino";"*NAME_106.IlSemeelaFoglia";"*NAME_107.Farinando";"*NAME_108.CerteNottiaTestaccio";"*NAME_109.VeganStore";"*NAME_11.SushiDoku";"*NAME_110.BurBaCa";"*NAME_111.PizzeriaViaAmerigoVespucciRoma";"*NAME_112.CapitanConoGelateria";"*NAME_113.YourSushi";"*NAME_114.BurgerKing";"*NAME_115.NorcineriaSergio";"*NAME_116.ConteStaccio";"*NAME_117.BebopMusicClub";"*NAME_118.LosCabosAPSLasCalaveras";"*NAME_119.Testaccino";"*NAME_12.SakanaSushi";"*NAME_120.OsteriaPizzeria";"*NAME_121.FoodieFreshmarket";"*NAME_122.Itreporcellinisnc";"*NAME_123.LaFarandula";"*NAME_124.Companatico";"*NAME_125.Spago";"*NAME_126.Bucolica";"*NAME_127.LaCiriolettaIgnorante";"*NAME_128.SantaClaritaTacosySushi";"*NAME_129.MastroTittaPub";"*NAME_13.LaVecchiaLupiae";"*NAME_130.FiordiFarinaPizzaShop";"*NAME_131.PasticceriaBenedetto";"*NAME_132.PLANETRoma";"*NAME_133.SlotHouseEuropa";"*NAME_134.SnackBar";"*NAME_135.Palladiana";"*NAME_136.CottoeMandato";"*NAME_137.Shake";"*NAME_138.Violarosso";"*NAME_139.OnTheBurger";"*NAME_14.JunseiRestaurantKaitenSushi";"*NAME_140.SlurpGelateria";"*NAME_141.SushiPing";"*NAME_142.CafeBoario";"*NAME_143.LaBotticella";"*NAME_144.MammaRoma";"*NAME_145.RistoranteGalu";"*NAME_146.RistoranteallaMaisonLatina";"*NAME_15.LoScopettaro";"*NAME_16.RistoranteEritrea";"*NAME_17.OsteriadegliAmici";"*NAME_18.Ilnidogustoemiscele";"*NAME_19.Pecorino";"*NAME_2.Masto";"*NAME_20.HostariadaEnzo";"*NAME_21.PIZZERIAOSTIENSE";"*NAME_22.PiattoRomano";"*NAME_23.GelateriaLaRomana-Roma,viaOstiense";"*NAME_24.TavernaVolpetti";"*NAME_25.Molì";"*NAME_26.TbspSpotTestaccio";"*NAME_27.FeliceaTestaccio";"*NAME_28.OsteriaFratelliMori";"*NAME_29.PolpettaGazometro";"*NAME_3.LaFataIgnorante";"*NAME_30.PasticceriaAndreotti";"*NAME_31.IlGrottino";"*NAME_32.AssuntinaRistorante";"*NAME_33.PasticceriaLinari";"*NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"*NAME_35.PizzeriadaRemo";"*NAME_36.StazionediPosta";"*NAME_37.BarGiolitti";"*NAME_38.AiCocci";"*NAME_39.NuovoMondo";"*NAME_4.MordieVai";"*NAME_40.TabernaPersiana";"*NAME_41.AlicePizzaOstiense";"*NAME_42.AugustarelloaTestaccio";"*NAME_43.EnotecaDivinare";"*NAME_44.Doppiozeroo";"*NAME_45.DaBucatino";"*NAME_46.LìArMonte";"*NAME_47.IlSecchioel'Olivaro-Ostiense";"*NAME_48.LaFraschettadiMastroGiorgio";"*NAME_49.MakaiSurf&TikiBar";"*NAME_5.Panna&Co";"*NAME_50.Checchinodal1887";"*NAME_51.TrattoriaPerilli";"*NAME_52.MercatBistrot&OldBar";"*NAME_53.Rec23RestaurantEmporioClub";"*NAME_54.OasidellaBirra-EnotecaPalombi";"*NAME_55.FlavioAlVelavevodetto";"*NAME_56.Gazometro38";"*NAME_57.CacioeCocci";"*NAME_58.CrochonNoelJoseph";"*NAME_59.OishiRestaurant";"*NAME_6.TrapizzinoTestaccio";"*NAME_60.IlPiccoloAlpino";"*NAME_61.DaOioaCasaMia";"*NAME_62.BancoFastFood";"*NAME_63.PortoFluviale";"*NAME_64.Ketumbar";"*NAME_65.Giansanti";"*NAME_66.TheMeatMarketTestaccio";"*NAME_67.AlicePizzaTestaccio";"*NAME_68.IlPizzettiere";"*NAME_69.ContedeiCocci";"*NAME_7.GelateriaBrivido";"*NAME_70.LaTorricella";"*NAME_71.PasticceriaZio";"*NAME_72.LaCreperieDiTestaccio";"*NAME_73.BlueIceGelato";"*NAME_74.PastaeSpätzle";"*NAME_75.LaDoganaFood";"*NAME_76.CapitanPaninokSaporieTradizioniRegionali";"*NAME_77.FoodBox";"*NAME_78.ChihanaSushiRestaurant";"*NAME_79.CakeSiGira";"*NAME_8.Sushisen";"*NAME_80.IlGianfornaio";"*NAME_81.AngelinaCafe'";"*NAME_82.PizzeriaRosticceriaOstiense10";"*NAME_83.FraschettadaSandro";"*NAME_84.LaBaguetteriaOstiense";"*NAME_85.AngelinaaTestaccio";"*NAME_86.ZoéMercatoTestaccio";"*NAME_87.InCiboVeritas";"*NAME_88.PachinoMonello";"*NAME_89.AvePinsa";"*NAME_9.IlPangocciolaio";"*NAME_90.Banco21";"*NAME_91.Trentatrétestaccio";"*NAME_92.StritFud";"*NAME_93.L'insalataRicca-Gazometro";"*NAME_94.RisoRoma";"*NAME_95.ThinkFarmer";"*NAME_96.900";"*NAME_97.RoadhouseGrill";"*NAME_98.DolceSicilia";"*NAME_99.PanificioiGuerrini";"*NAME_DarBruttone(RomaSanGiovanni)";"*NAME_Florian’s";"*NAME_IlTempiodiMinerva";"*NAME_RistoranteEstEstEst";"*NAME_VIICoorte";"*NAME_Viavaibarbistrot"
"pre";31;65;43;29;52;26;49;65;27;36;23;40;32;24;12;9;26;15;27;108;56;44;28;60;21;17;26;28;9;30;21;32;48;30;36;10;21;4;18;5;11;36;41;21;16;33;36;14;60;34;20;42;38;97;27;38;44;32;19;30;39;125;34;39;33;43;54;43;37;30;34;25;33;41;35;29;48;19;54;32;43;105;40;23;38;47;34;19;23;34;30;27;47;37;45;90;51;44;60;40;33;48;30;44;61;47;61;25;20;19;17;38;29;29;47;18;29;28;35;38;45;60;48;66;56;21;22;26;39;18;93;38;29;45;49;24;31;29;56;49;41;31;54;52;57;49;126;40;25;31;55;44
"nom";38;98;56;56;70;39;64;75;29;60;27;48;46;34;24;18;44;26;53;116;78;61;37;76;24;30;25;35;22;40;32;40;54;49;47;12;28;7;21;12;14;48;43;37;20;55;54;24;77;43;35;53;66;120;45;56;64;54;34;46;65;155;36;67;51;50;86;66;51;43;51;42;54;57;65;58;72;40;76;60;45;175;80;40;57;58;49;39;60;65;49;38;74;63;60;102;73;60;69;55;47;68;37;55;86;55;87;35;42;35;32;60;55;46;70;30;39;39;42;61;57;90;47;82;58;46;37;37;60;30;131;62;54;62;51;30;49;52;59;96;47;38;68;73;71;83;153;66;45;58;75;64
"ver";23;31;22;23;32;14;28;50;11;34;19;32;27;18;8;8;29;11;24;87;35;29;25;59;14;21;14;28;12;19;14;26;32;24;19;8;19;0;13;4;12;27;26;11;11;31;32;11;42;26;21;27;34;71;23;29;41;22;21;32;29;71;33;14;14;35;54;32;22;21;25;20;15;20;28;20;38;13;36;13;19;60;34;12;19;50;16;15;20;17;26;10;31;30;37;54;19;31;61;31;20;44;19;31;56;33;60;28;16;19;7;15;20;14;37;8;19;21;21;36;37;54;28;37;39;17;22;20;22;8;69;26;25;26;37;26;27;20;50;29;40;28;26;36;32;25;59;27;12;21;32;26
"adv_sup";12;15;14;15;25;10;23;37;17;23;10;28;21;16;8;7;24;11;26;61;30;21;19;36;8;15;10;25;16;11;11;16;20;16;12;4;14;1;7;2;7;22;25;13;10;20;38;13;17;24;16;27;25;43;17;19;20;23;13;18;24;61;20;11;15;35;44;37;24;12;29;15;19;19;12;22;28;4;25;16;15;51;37;13;23;43;12;7;15;9;17;21;26;20;35;40;30;29;32;23;17;34;9;29;49;27;32;21;10;12;3;20;9;21;33;15;14;22;15;33;22;38;27;23;21;19;9;22;13;5;43;23;16;32;25;14;23;24;32;31;29;25;21;25;20;16;40;18;10;18;17;23
"ver_sup";10;14;9;11;24;9;24;29;5;28;11;21;21;13;3;3;22;9;27;66;23;20;5;38;12;14;7;15;10;22;12;16;15;13;13;8;12;0;14;10;6;27;26;15;7;11;21;7;14;21;16;27;20;50;16;12;19;12;7;17;23;38;14;14;10;28;45;27;12;12;20;11;16;14;21;11;24;5;24;6;14;29;36;8;6;19;13;11;12;4;13;8;20;19;27;52;21;20;29;20;16;22;12;6;28;10;33;19;8;10;9;11;9;15;40;7;20;9;9;23;21;37;22;38;19;12;10;11;5;3;38;13;11;16;18;13;20;12;23;21;25;32;16;33;22;17;31;19;7;15;26;13
"int";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
"nom_sup";4;5;5;2;1;5;1;9;3;7;6;5;5;4;1;0;5;2;5;13;3;5;1;6;3;3;4;2;2;3;0;4;2;4;7;1;1;0;2;1;2;3;8;3;2;5;4;3;3;8;1;4;7;14;2;2;7;2;2;2;5;6;0;3;1;7;3;1;4;4;2;1;1;2;5;4;2;0;3;4;1;9;9;3;1;7;4;3;4;0;3;1;1;3;5;6;3;3;7;5;4;6;0;2;3;5;7;0;1;2;0;5;1;2;7;0;3;3;1;7;4;4;4;5;5;5;4;2;4;1;9;1;4;3;4;1;2;3;7;3;7;5;7;9;8;5;13;8;0;0;4;3
"pro";17;11;11;13;14;8;12;28;7;19;11;25;13;7;4;2;19;12;15;48;14;21;13;33;6;8;6;10;2;7;7;17;11;10;7;5;16;0;9;1;7;16;14;8;7;14;19;4;17;17;6;25;24;36;7;13;19;7;9;11;15;33;15;10;7;19;21;16;16;11;18;5;2;9;14;8;19;6;21;6;6;26;24;7;5;26;7;13;11;5;8;7;17;12;11;42;9;17;25;16;9;22;8;12;33;16;16;14;6;12;3;8;4;13;34;9;15;9;8;14;15;28;16;24;18;4;5;7;15;0;36;11;8;20;12;12;14;5;30;22;23;21;12;16;14;15;25;10;8;9;16;9
"sw";4;8;1;6;13;5;4;8;3;5;4;5;5;5;1;0;5;2;4;21;16;5;2;13;1;5;1;9;4;4;1;2;6;8;6;1;3;0;2;2;7;2;5;4;2;7;4;3;13;7;1;12;7;12;5;6;9;4;5;3;7;14;4;6;3;3;11;7;8;6;7;5;3;7;8;3;9;3;10;4;3;20;10;8;8;5;4;4;3;7;10;4;9;3;5;9;3;6;6;5;5;6;4;7;13;7;11;5;9;9;1;3;6;7;9;3;8;7;3;8;7;8;9;6;7;5;6;2;2;0;23;3;4;6;10;1;6;6;9;3;12;2;4;10;2;9;20;5;5;6;13;8
"adj_sup";1;8;2;2;3;1;6;3;3;4;3;5;3;6;0;0;1;2;4;6;4;7;2;5;0;7;2;5;0;2;0;0;1;1;3;0;2;0;2;2;1;2;2;4;1;3;2;1;5;3;2;5;3;8;3;2;5;2;2;1;1;8;5;4;2;3;4;1;2;1;2;2;1;1;2;5;4;1;4;1;2;9;3;3;2;10;0;0;0;2;2;2;4;4;6;9;0;1;7;2;4;5;2;2;8;6;4;1;2;0;1;0;4;1;1;3;5;2;1;4;2;5;2;4;6;5;0;4;5;0;12;5;3;2;4;2;2;1;7;7;0;6;2;0;6;4;9;5;3;7;4;3
