"";"";"";"";"carciofo";""
"1";"carciofo";"0.842393441216862";"-2.34054837401937";"1.86180738930232";"25"
"2";"fettuccina";"1.63099555837333";"-2.74363164607002";"1.85729437182201";"27"
"3";"crema|creme";"-4.89204664396006";"0.851203659575034";"1.71489426707112";"39"
"4";"elegante";"1.59043897243883";"1.2300551170997";"1.50436680269734";"61"
"5";"prenotazione";"1.55463546023845";"1.24623227429038";"1.4335028260917";"70"
"6";"trippa";"0.988458248348818";"-2.75775925244677";"1.32835912096545";"98"
"7";"radicchio";"0.301651994092861";"-2.10820598395546";"1.32835912096545";"100"
"8";"secondo";"0.577062317020976";"-1.0980215526028";"1.30430569801192";"109"
"9";"cameriere";"1.26385907482006";"-0.147363309424354";"1.28644567138773";"112"
"10";"insalata";"0.65978685594953";"0.440706397815802";"1.24578050324073";"120"
"11";"piatto";"0.906880337284466";"-0.432768219948488";"1.20741985465814";"135"
"12";"scortese";"1.79101878330542";"-0.534840965545209";"1.20343495624468";"152"
"13";"ripassata";"0.573841777117915";"-2.72076576835658";"1.20343495624468";"154"
"14";"strapieno";"0.573841777117915";"-2.72076576835658";"1.20343495624468";"155"
"15";"ristoratore";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"156"
"16";"piramide";"1.7635353124012";"-0.627664742227927";"1.20343495624468";"157"
"17";"petto";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"158"
"18";"motivo";"-0.570835313308679";"-1.63817698753772";"1.20343495624468";"159"
"19";"romanesco";"-0.485848452366771";"-2.02880277406635";"1.19853785217031";"160"
"20";"conferma";"1.78414791557937";"-0.558046909715888";"1.19853785217031";"162"
"21";"tipico";"0.233863316309067";"-0.987532941300553";"1.1973855923881";"164"
"22";"ultimo";"0.0611201490258348";"-0.633977449945576";"1.1861510595116";"166"
"23";"discreto";"0.939624023916488";"-1.41866092560419";"1.1861510595116";"167"
"24";"secco";"-0.318303450994325";"-0.529230571479312";"1.17165179058551";"170"
"25";"sicuramente";"0.334039391039925";"0.748261250629139";"1.17141173646422";"171"
"26";"attesa";"0.989854076731404";"0.74612840807393";"1.16776291382057";"172"
"27";"ragazza|ragazzo";"0.686037203927417";"1.36673480207805";"1.16776291382057";"173"
"28";"sala";"0.708555688754864";"1.31641431979232";"1.16776291382057";"174"
