"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"15";"123";"12.2";"****";""
" 6";" 7";" 85.71";"37.47";"abbacchio";"9.300336e-10"
"10";"22";" 45.45";"27.68";"tradizione";"1.433002e-07"
" 5";" 7";" 71.43";"24.32";"mare";"8.156180e-07"
"11";"29";" 37.93";"23.47";"antipasto";"1.267468e-06"
" 9";"21";" 42.86";"22.23";"carciofo";"2.413398e-06"
" 3";" 3";"100.00";"22.14";"giudeo";"2.534729e-06"
" 3";" 3";"100.00";"22.14";"fettuccina";"2.534729e-06"
" 9";"22";" 40.91";"20.63";"attento";"5.573159e-06"
" 6";"11";" 54.55";"20.23";"professionale";"6.851267e-06"
"13";"44";" 29.55";"19.26";"ristorante";"1.141105e-05"
"10";"29";" 34.48";"17.60";"eccellente";"2.720902e-05"
" 4";" 6";" 66.67";"17.48";"spaghetto";"2.905695e-05"
" 4";" 6";" 66.67";"17.48";"ricotta";"2.905695e-05"
" 7";"17";" 41.18";"15.47";"trattoria";"8.368274e-05"
" 3";" 4";" 75.00";"15.23";"tortino";"9.517900e-05"
" 3";" 4";" 75.00";"15.23";"benvenuto";"9.517900e-05"
" 4";" 7";" 57.14";"14.00";"rigatone";"1.824100e-04"
" 9";"28";" 32.14";"13.47";"pepe";"2.421907e-04"
"13";"53";" 24.53";"13.23";"romano";"2.756452e-04"
" 5";"11";" 45.45";"12.48";"pietanza";"4.113965e-04"
" 5";"11";" 45.45";"12.48";"vivo";"4.113965e-04"
"15";"74";" 20.27";"11.31";"servizio";"7.701040e-04"
" 3";" 5";" 60.00";"11.12";"turista";"8.525104e-04"
" 3";" 5";" 60.00";"11.12";"lista";"8.525104e-04"
" 3";" 5";" 60.00";"11.12";"luce";"8.525104e-04"
" 3";" 5";" 60.00";"11.12";"fantasia";"8.525104e-04"
"12";"50";" 24.00";"10.96";"cucina";"9.289723e-04"
"14";"66";" 21.21";"10.81";"primo";"1.007258e-03"
" 8";"26";" 30.77";"10.62";"cacio";"1.117330e-03"
" 8";"26";" 30.77";"10.62";"secondo";"1.117330e-03"
" 8";"26";" 30.77";"10.62";"menu";"1.117330e-03"
" 7";"21";" 33.33";"10.57";"classico";"1.151180e-03"
" 9";"32";" 28.12";"10.25";"vino";"1.366672e-03"
" 9";"32";" 28.12";"10.25";"cameriere";"1.366672e-03"
" 4";" 9";" 44.44";" 9.43";"offerta";"2.132938e-03"
"12";"55";" 21.82";" 8.60";"piatto";"3.354982e-03"
" 2";" 3";" 66.67";" 8.52";"segno";"3.511126e-03"
" 2";" 3";" 66.67";" 8.52";"puntuale";"3.511126e-03"
" 2";" 3";" 66.67";" 8.52";"porcino";"3.511126e-03"
" 2";" 3";" 66.67";" 8.52";"modesto";"3.511126e-03"
" 2";" 3";" 66.67";" 8.52";"fretta";"3.511126e-03"
" 2";" 3";" 66.67";" 8.52";"scortese";"3.511126e-03"
" 3";" 6";" 50.00";" 8.42";"romanesco";"3.713165e-03"
" 3";" 6";" 50.00";" 8.42";"porta";"3.713165e-03"
" 3";" 6";" 50.00";" 8.42";"conferma";"3.713165e-03"
" 3";" 6";" 50.00";" 8.42";"chef";"3.713165e-03"
" 8";"29";" 27.59";" 8.39";"tipico";"3.763016e-03"
" 5";"14";" 35.71";" 8.16";"ultimo";"4.279978e-03"
" 6";"20";" 30.00";" 7.07";"abbondante";"7.834845e-03"
" 3";" 7";" 42.86";" 6.52";"interessante";"1.068533e-02"
" 3";" 7";" 42.86";" 6.52";"passo";"1.068533e-02"
" 3";" 7";" 42.86";" 6.52";"leggermente";"1.068533e-02"
" 3";" 7";" 42.86";" 6.52";"famoso";"1.068533e-02"
" 6";"21";" 28.57";" 6.34";"carbonaro";"1.178875e-02"
" 5";"16";" 31.25";" 6.24";"peccato";"1.251355e-02"
" 7";"27";" 25.93";" 6.09";"pasta";"1.358763e-02"
" 6";"22";" 27.27";" 5.69";"diverso";"1.708045e-02"
" 4";"12";" 33.33";" 5.55";"attesa";"1.849390e-02"
" 2";" 4";" 50.00";" 5.52";"forte";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"gambero";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"morbido";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"dessert";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"posizione";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"genere";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"forma";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"delusione";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"competente";"1.881803e-02"
" 2";" 4";" 50.00";" 5.52";"alimento";"1.881803e-02"
" 3";" 8";" 37.50";" 5.12";"compleanno";"2.369487e-02"
" 7";"29";" 24.14";" 5.05";"menù";"2.456120e-02"
" 9";"43";" 20.93";" 4.71";"dolce";"2.996974e-02"
" 6";"24";" 25.00";" 4.57";"rapporto";"3.261436e-02"
"13";"77";" 16.88";" 4.23";"personale";"3.981418e-02"
" 3";" 9";" 33.33";" 4.05";"formaggio";"4.411782e-02"
" 3";" 9";" 33.33";" 4.05";"splendido";"4.411782e-02"
" 3";" 9";" 33.33";" 4.05";"scoperta";"4.411782e-02"
" 4";"14";" 28.57";" 3.96";"discreto";"4.668497e-02"
" 4";"14";" 28.57";" 3.96";"quartiere";"4.668497e-02"
" 2";" 5";" 40.00";" 3.76";"salume";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"teatro";"5.239955e-02"
" 2";" 5";" 40.00";" 3.76";"pubblico";"5.239955e-02"
