"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,521234968323945;1,89423585598914;-1,5981327191493;0,353540781891972;-0,677425951701711;0,395192355443728;-0,194877445492639;0,708210053448111;-0,597504083172834;0,132180549348252;-0,25327356566761;0,14775308908137;0,00686033548104828;0,0739012317053661;0,0490636108099955;0,00228347750087375;0,00746984376952298;0,00245999365595768;0,00109681431846603;0,0144855213356323;0,0103107845006591;0,000504597459975652;0,00185263423082068;0,000630497100949732;0,00403706762088265;2,94315086132253;0,0349696327800859
"classe 2";0,524393773291631;-0,0190601931288524;0,479120304917813;-0,195823801530439;0,143487102357336;-0,125953940826725;0,688735977722029;-0,0250335557338327;0,629274046453124;-0,257193933790868;0,188455192959779;-0,165427232361497;0,0182398245912243;1,96546585264358e-05;0,0115837803042091;0,00184024647253454;0,000880320727867289;0,000656398796384798;0,00300244707831701;3,96656798706205e-06;0,00250639468974769;0,000418688722658416;0,00022479468543955;0,000173214334339304;0,0109184328837508;1,81592895951652;0,0360046022878502
"classe 3";-0,105802604353454;-1,40361710026385;0,352386968294342;0,440127758157135;-0,881221294811652;-0,141945709058035;-0,0601313884091078;-0,797725590493711;0,200274064993972;0,250140280923175;-0,500829448164397;-0,0806728021161065;0,000316548064760854;0,0454411749211996;0,002671420038583;0,00396318093674677;0,0141555420879005;0,00035541040192926;6,16250541589512e-05;0,0108458076749414;0,000683603498065939;0,00106640486375131;0,00427498469820822;0,000110919814588429;0,00550509221029452;2,78117414821635;0,0425815009232421
"classe 4";0,3357968838695;1,26878672525567;0,655134264025559;0,148655663278788;-0,144270244684317;-0,352490671758711;0,220511727417506;0,833189246089785;0,430214797070051;0,0976194797350772;-0,0947396548285081;-0,231474235354363;0,00454196477327166;0,0528899303065046;0,013152448814978;0,000644010266248881;0,000540447568164227;0,00312193851521498;0,000713864460770362;0,0101915371170534;0,00271720913561992;0,000139902461649243;0,000131769826735281;0,000786606797293935;0,0063308560418387;2,33027104057188;0,0343775810124259
"classe 5";0,47576692901699;-1,17923959683976;-0,108254050916014;-0,676447353520169;0,163372864913889;0,30650282448887;0,320260539987749;-0,793800256018533;-0,0728707665197677;-0,455347737513544;0,109973768132167;0,20632110828172;0,00681410531470171;0,0341452071444957;0,000268388688525508;0,0099661582438615;0,000517952319422931;0,00176411930648485;0,00178607750107149;0,0109727606478496;9,24698413080577e-05;0,00361060353236645;0,000210606440696832;0,000741277401788268;0,00789063216808882;2,69551334924135;0,0573316937857322
"classe 6";-0,0690475153497856;-0,69077303645574;-1,29500001570274;0,201698509300519;-0,252253638742562;0,413761547167202;-0,0442532929404472;-0,442723845786191;-0,829979395528748;0,129270737296054;-0,161672061826089;0,265184212082437;0,000160351589340138;0,013090409016143;0,0429113581095595;0,000989969853095336;0,00137962682341414;0,00359183239579341;2,31838376848225e-05;0,00232038458192467;0,00815509011427788;0,000197831112823629;0,000309431196230824;0,00083251002380516;0,00486283145242683;2,55013444868985;0,0316238959940288
"classe 7";-0,246040930675009;0,544003142114305;-0,789105564143517;0,0807214083996617;0,0511985831800336;0,0194680920488048;-0,247445533569607;0,547108757045884;-0,793610424194639;0,081182232229189;0,0514908665734376;0,0195792318431838;0,00230930317916872;0,00920819169152764;0,0180714082333861;0,000179838688566135;6,44602089559025e-05;9,01886038115374e-06;0,000527656964758726;0,00257952516468231;0,00542759163037109;5,67955636785368e-05;2,2848244551433e-05;3,30357168198641e-06;0,00871639599963299;2,39452040111646;0,0499774433782435
"classe 8";0,338183061263394;1,36049149361346;0,214156786627326;0,202780064196068;-1,35641727805066;-0,0496303651237396;0,171363914569959;0,689387419978293;0,108517396321039;0,102752590468513;-0,687322935952883;-0,0251486683495255;0,00610176630678861;0,0805469006359349;0,00186153457051078;0,0015872371323464;0,0632773213917298;8,19757614389404e-05;0,00107032882451592;0,0173222850378794;0,000429217284555582;0,000384825667713264;0,017218691520674;2,30519919732271e-05;0,00935865675750069;2,02477011905824;0,0383676292846291
"classe 9";-0,117109454626098;-0,0045059381838602;-0,896940115581981;0,313897383581241;0,281259607207377;-0,115579236635782;-0,116572499786836;-0,00448527814986927;-0,892827583958238;0,312458142661851;0,279970012719376;-0,115049297950406;0,000336609516727008;4,06460396348656e-07;0,0150219019847157;0,00174967464790008;0,00125160358133035;0,000204522346803297;5,5366865947717e-05;8,19665173261632e-08;0,00324782724299198;0,000397778600462661;0,00031936017363462;5,39294098006831e-05;0,00403706762088265;2,98524803043252;0,0359771589449358
"classe 10";-0,97714014929529;1,4243157384175;-0,274739399234119;-0,598403221694196;-1,60357101679866;0,928612661277401;-0,37332404735976;0,544170983627792;-0,104966339337546;-0,22862463776267;-0,612656866726669;0,354783740477368;0,0243230160184214;0,0421523275130824;0,00146285456759903;0,00659980326491482;0,0422269484157091;0,0137028707585975;0,00630753341942079;0,01340165365948;0,000498640710100905;0,00236555848544339;0,016987217214974;0,0056965910796677;0,00660611065235343;2,93021712683361;0,056721205023214
"classe 11";-0,471758128987295;0,0370294070757683;-1,04451654724475;0,20320366975844;0,0856456274984263;0,629686831633641;-0,355593580100917;0,0279113779329096;-0,787317389329843;0,153167303283489;0,0645564610991052;0,47463431161997;0,00575471542868573;2,8919041079077e-05;0,0214620533937503;0,000772480625634833;0,000122265816147556;0,00639547699120226;0,000857632879636198;5,2839190303775e-06;0,00420429602107163;0,000159120352228506;2,82665645841973e-05;0,00152795956043473;0,00385356454720617;2,90843339885991;0,0325972440678375
"classe 12";-0,746687309692527;0,677872874356231;-2,38411578195749;1,75662544034918;2,07934007225003;1,33252084763669;-0,18734005800406;0,170074865278705;-0,598162554904316;0,440728411497892;0,52169587548755;0,334322720699073;0,0101807238824158;0,00684388862670865;0,0789607668600599;0,040766074017938;0,0508934341128202;0,0202249656883267;0,00260892181496;0,00215020582835003;0,0265973402285273;0,0144391577045398;0,0202318021781175;0,00830867072930606;0,00467932837875034;3,46099600569803;0,0560513038741483
"classe 13";0,412333255843745;-1,09400137673325;-0,776823484665452;-0,0902469689875885;-0,110209190646542;0,359035641797486;0,283224400806782;-0,751450143823683;-0,533586274836839;-0,06198904248903;-0,075700738521309;0,246615214938924;0,00373142043465182;0,0214248850335704;0,0100757574932063;0,000129324897440572;0,000171839372071102;0,00176478269521834;0,000857971305909595;0,00603965002992786;0,00304523442040808;4,10999493191643e-05;6,12931107131961e-05;0,000650505786260327;0,00504633452610331;3,15691528350055;0,0502923457102453
"classe 14";0,288109557336363;-0,385238791603041;-0,923581946839966;0,486809866793265;0,0712270611042168;0,0562348631800895;0,249856566177512;-0,334089721001288;-0,800955775137871;0,422174962964846;0,0617700747970616;0,0487684266483235;0,00310384718289744;0,00452637288320294;0,0242656218263299;0,00641125688878132;0,000122288225473625;7,3762382628316e-05;0,000388417558349968;0,000694454101692297;0,00399148401128212;0,00110892523779898;2,37396096807721e-05;1,47977201285487e-05;0,00467932837875034;2,41857275885497;0,027371704164019
"classe 15";0,204790860695272;1,69529872789428;-0,0241709993288758;0,255809707123794;-1,06252765341281;0,34366578426558;0,0995836586104552;0,824372968540684;-0,0117536326438999;0,124392594752372;-0,516675357202951;0,167114372292825;0,000975147837582939;0,0545063494109647;1,03346098593262e-05;0,00110083643379648;0,0169215209204037;0,00171301261416298;0,00015776779168701;0,010811592701055;2,19779113228893e-06;0,000246167800404553;0,00424695527891956;0,000444293331706571;0,00376181301036792;3,06709337138673;0,035387607275987
"classe 16";-2,41167659057512;0,707502870469219;-0,8755100779364;-4,98419403233104;0,040427431108221;-0,291524598177409;-0,426247815694998;0,125046432143511;-0,154740589927256;-0,880923183308966;0,00714527987350486;-0,0515250360185523;0,0629930691981998;0,00442197568074612;0,00631585988147158;0,194663240745668;1,14108111195396e-05;0,000574174227300131;0,0112065201879153;0,000964470735495538;0,00147691309550713;0,0478654916222048;3,14908899038527e-06;0,000163750657692678;0,00192678227360308;4,49390968982737;0,0389118001933032
"classe 17";-0,610570929207874;-0,128342059046987;-0,779535936058607;0,300034615773089;0,232491404579385;0,0606495686032498;-0,570677827844571;-0,119956525891357;-0,728603104792191;0,280431141767106;0,217301026647349;0,0566868850358075;0,0138640660938959;0,000499645159264918;0,0171927841320564;0,00242214721639853;0,00129581131949663;8,53321047156733e-05;0,00201807640297571;8,91668376093951e-05;0,00328955869903655;0,000487313099281055;0,000292603260757356;1,99122708628184e-05;0,00541334067345628;2,42517157728595;0,0318383313677642
"classe 18";-0,427534771375616;-0,439270802620935;-2,00478950472017;1,32834662966077;2,13676338331326;1,11729602157479;-0,123554958878332;-0,126946600810156;-0,579372021644972;0,38388412871269;0,617511673047167;0,322891781541936;0,00221205394947532;0,00190468346138184;0,0370037676844988;0,0154495239538816;0,0356184723520828;0,00942384179490664;0,000486355944703257;0,000513423828151389;0,0106942148627257;0,004694984703863;0,0121485434380935;0,00332160396320568;0,00266079456830902;4,25133415079999;0,0480907807864015
"classe 19";-0,433927463032076;0,623038273036536;-0,62712999093904;1,1534913711917;0,362544798640627;0,111842177722294;-0,277551891634369;0,398512345896666;-0,401129520748746;0,737804677816656;0,231893584152956;0,0715373204876769;0,00463507755833427;0,0077939477008751;0,00736535062029626;0,023696863421457;0,00208571843894302;0,000192075782520141;0,000984742036965486;0,00203010104698559;0,00205685342283755;0,00695852037568417;0,000687403217562917;6,54183269021857e-05;0,0052298375997798;2,98085116187779;0,0464695841827951
"classe 20";0,403841526137778;-1,86394948864507;-0,670677624863688;0,36343080965387;-1,39662824119075;-0,372285627729534;0,160786482323989;-0,742117543916448;-0,267025278718984;0,144697257885433;-0,55605708546869;-0,148222737455652;0,00739786547662442;0,128545850902877;0,0155227145184189;0,00433478336829075;0,0570368735973614;0,00392171177562605;0,00218468160584093;0,0465408683042619;0,00602551037415804;0,0017693334431808;0,0261293040496716;0,00185660170085697;0,0133957243783833;2,19588411327379;0,064592937671669
"classe 21";0,434098359701835;-1,49334509265214;0,0755819324852628;-0,653657492092406;0,154207276295643;0,0389278682655748;0,255937273579699;-0,880451775467505;0,0445618678344;-0,385385737223201;0,0909180810735304;0,0229512327045053;0,0104734698653179;0,10109739386035;0,000241549329120999;0,0171812287013606;0,000851988284217675;5,25380793663224e-05;0,00159066038190805;0,0188244169234644;4,8221105025693e-05;0,00360663058639372;0,000200729363588577;1,27915277868225e-05;0,00844114138911827;1,98378457112444;0,0332192781600225
"classe 22";0,372854850102906;-1,17947750816316;-0,28820964171939;0,150813952435575;0,527834109182865;0,114628356636154;0,268543646582718;-0,849502671125272;-0,207579083780893;0,108621702872911;0,380165355047911;0,0825595184945594;0,00469836591898932;0,0383488085355818;0,00213569784398857;0,000556147157541362;0,00606976306653292;0,000277006542746645;0,00112247225007642;0,0112324720542365;0,000670676409490932;0,000183644980817791;0,00224952550875167;0,000106091393042414;0,0080741352417653;2,54400543701198;0,0522555098992653
"classe 23";-0,488515051498529;-0,948312279709756;-1,63098146927516;0,21674483746042;-0,0509574171183281;0,419400380650944;-0,243542700791558;-0,472768511606462;-0,813104183279097;0,108055264491471;-0,025404144564821;0,20908649816094;0,00542104714933801;0,0166623149369527;0,0459706763922374;0,000772083452243075;3,80234650908237e-05;0,00249243348566937;0,00113860369649617;0,00429061394183984;0,012691552322432;0,000224137340803622;1,23888645460415e-05;0,000839217113779994;0,00477107991558859;3,10304457372965;0,0459401828223469
"classe 24";-0,0159280115584474;-0,965857256437326;-0,756750405634967;-0,342536908745475;0,0360316178004266;-0,439439307650376;-0,0118146090242557;-0,716425011130489;-0,561319919860449;-0,254076890787954;0,0267264670961192;-0,325954284420727;1,1902295138785e-05;0,0356975811012849;0,0204394153852205;0,00398255491771451;3,92631109380522e-05;0,00565124381752104;2,28119571668882e-06;0,00838813317750606;0,00514925913294902;0,00105500415795805;1,16736575070162e-05;0,00173634982114026;0,00899165061014772;2,15922481007358;0,0419213390662313
"classe 25";-0,141734874542802;0,593065597211236;-0,627063598149706;-0,0788690538670103;-1,43971944501199;-0,0888466274286324;-0,0839280740943774;0,351182823183997;-0,371314683821887;-0,0467021812243177;-0,852527514105869;-0,0526103850863745;0,000507234059436089;0,00724378794932376;0,00755324713759796;0,000113633833083509;0,033738074505711;0,000124329877175713;5,89816303489535e-05;0,00103268718993088;0,00115448024552552;1,82631879119255e-05;0,00608581948537117;2,31763595352006e-05;0,00293604917882375;2,94322983346647;0,025433825055824
"classe 26";-0,389071967094355;-0,165756928793639;-1,75697010155184;0,0406646472849166;1,07121636992813;0,0965409867375119;-0,184973240336089;-0,0788044341927163;-0,835301641711075;0,0193328541030329;0,509279464481737;0,0458976761431653;0,00344840261195591;0,000510512959005269;0,0534985954701822;2,72540807030845e-05;0,0168508602752222;0,00013244031386301;0,000611119167397148;0,000110919883979849;0,0124622014185588;6,67574967496961e-06;0,00463255330699037;3,76261247170481e-05;0,00403706762088265;3,0986506476901;0,0387624531427591
"classe 27";-0,23448211146797;1,40049047133553;-0,543418826681165;-0,0785124109156808;-1,35989143008707;0,303381036759241;-0,113618044575441;0,678606089835627;-0,263312984033021;-0,0380431008032855;-0,658933869855138;0,147002941683096;0,00121745701789805;0,035424181621066;0,00497461093383738;9,87529928998495e-05;0,0263968601103441;0,00127130489127824;0,00017656345728477;0,00629856634650482;0,000948310922259261;1,97951145401179e-05;0,0059386791959674;0,00029556857246343;0,00321130378933847;3,14292888682274;0,0317212652139525
"classe 28";0,205202871662139;-1,06292535761097;0,000346648169640142;-0,195062575847677;0,00313613752347411;-0,633946858476911;0,161628855271951;-0,837217371270774;0,000273038804901827;-0,153641811078393;0,00247019115175501;-0,499330755992427;0,00168917209459144;0,0369673117424343;3,66724906820256e-09;0,00110431856683245;2,54335404273757e-07;0,0100566049122606;0,000227946132100642;0,00611604813609429;6,5049383038598e-10;0,000205974410614139;5,3242146564125e-08;0,00217556000944967;0,00541334067345628;2,33506052587251;0,0295162814854384
"classe 29";-0,193495319107147;0,794732575040203;-1,67402796570237;0,993161170941023;1,92306973069133;1,66602807536269;-0,0585232027295295;0,240369099466866;-0,506314460028108;0,300384385618615;0,581637841326536;0,503894870725776;0,000660897152024001;0,00909369296649547;0,0376334406436085;0,0125971369734964;0,0420816354549711;0,030563017891835;0,000133973493177236;0,00226006007591258;0,0100277470931453;0,00352953439280051;0,0132332957496053;0,00993213435801193;0,00357830993669144;3,52010145167021;0,0443392471760692
"classe 30";0,406777646425223;0,128176835281682;0,280610968677166;0,212134507896026;-0,0209296509618595;-0,497362728900343;0,546787290511292;0,17229428678271;0,377195041564168;0,285149525338377;-0,0281334710531738;-0,668551040910536;0,00497468549858361;0,000402880144779862;0,00180101077607735;0,000978844144833246;8,48955712259297e-06;0,00463913057248292;0,000713551566260065;7,08484403920448e-05;0,000339563101190114;0,000194059025937572;1,88901400138613e-06;0,00106673778811471;0,00431232223139738;2,69727931279234;0,0313735055956714
"classe 31";-0,400335831910288;0,408284284795031;-1,6223573236262;0,577237643701483;0,707352398689724;1,49450531523615;-0,16308203305242;0,166319939212056;-0,660888458102681;0,235145297986521;0,288149243879515;0,608806271607925;0,0047558304212714;0,00403467043622899;0,0594190926274664;0,00715362481196399;0,00957103021668466;0,0413438591679138;0,000735245335862475;0,000764730971697356;0,0120747008235782;0,00152859573036995;0,00229538221824069;0,010246564534678;0,0045875768419121;2,71495690330877;0,0338149875530964
"classe 32";-0,303885291670691;1,9130585868243;-0,0350175004159591;0,480158291680595;1,93114277652654;1,88779249291641;-0,0904926011595475;0,569680904069355;-0,0104277001408137;0,142984125831229;0,575066111615995;0,562157030352742;0,00174038183461402;0,056258354565799;1,75813014362896e-05;0,00314364488589632;0,0453068158242455;0,0418959787859748;0,000423645611954221;0,0167895823315084;5,62540295156297e-06;0,00105767494756229;0,0171085073095267;0,0163490251230001;0,0045875768419121;3,40674060301492;0,0532428733655862
"classe 33";-0,40330253641619;0,664178108515201;-2,30433699046317;0,644233437586124;0,687534337548803;-0,0999133031301409;-0,154529107394037;0,254486002422755;-0,88292809025101;0,246844016772664;0,263435158202249;-0,0382827087741339;0,00391872597354984;0,00866876853418835;0,0973263700026971;0,00723450710405768;0,00734144191112703;0,000150026602117137;0,000910343067131268;0,00246895000914585;0,0297190666026817;0,00232289568293844;0,00264564743406083;5,58714337723553e-05;0,00559684374713276;3,01307653132376;0,0508116745756908
