"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,218727462325596;3,36469073914237;3,36469073914237
"facteur 2";0,178405655885901;2,74441925027384;6,1091099894162
"facteur 3";0,166402125151672;2,55976859749779;8,66887858691399
"facteur 4";0,158249646502375;2,43435878786212;11,1032373747761
"facteur 5";0,140997985030816;2,16897599152277;13,2722133662989
"facteur 6";0,13644007983637;2,09886160700706;15,3710749733059
"facteur 7";0,125158002237576;1,925309088218;17,2963840615239
"facteur 8";0,122012177956313;1,87691678432715;19,1733008458511
"facteur 9";0,116495431734664;1,79205252117143;20,9653533670225
"facteur 10";0,115049820200331;1,76981463805311;22,7351680050756
"facteur 11";0,111646564380908;1,71746225752989;24,4526302626055
"facteur 12";0,108799341961362;1,67366335452308;26,1262936171286
"facteur 13";0,0979561064463975;1,50686155592117;27,6331551730498
"facteur 14";0,0953016870827049;1,46602854777553;29,0991837208253
"facteur 15";0,091762265732857;1,41158152904668;30,510765249872
"facteur 16";0,0896562548246704;1,37918470368252;31,8899499535545
"facteur 17";0,0863225512719643;1,32790224764534;33,2178522011999
"facteur 18";0,0853183331324742;1,31245433160363;34,5303065328035
"facteur 19";0,0838865231088831;1,29042875751538;35,8207352903189
"facteur 20";0,0833294692434709;1,2818595821488;37,1025948724677
"facteur 21";0,079815166572791;1,22779896477201;38,3303938372397
"facteur 22";0,0791987033148656;1,21831589304014;39,5487097302798
"facteur 23";0,0774937329205268;1,19208828524298;40,7407980155228
"facteur 24";0,07668920132124;1,17971215289688;41,9205101684197
"facteur 25";0,0742396765329961;1,14203104380033;43,06254121222
"facteur 26";0,0717748431209089;1,10411444171022;44,1666556539302
"facteur 27";0,0716494992390046;1,10218627322983;45,2688419271601
"facteur 28";0,0711078684370919;1,09385435128526;46,3626962784453
"facteur 29";0,0706443434389417;1,08672393312901;47,4494202115743
"facteur 30";0,0667084360138922;1,02617775789167;48,475597969466
"facteur 31";0,0651495849774719;1,00219790831001;49,477795877776
"facteur 32";0,0632013987292287;0,972228904153453;50,4500247819295
"facteur 33";0,0622723294164846;0,957937004638987;51,4079617865685
"facteur 34";0,0616468592581656;0,948315379503625;52,3562771660721
"facteur 35";0,0599618163208505;0,922394316341463;53,2786714824135
"facteur 36";0,0594214274408816;0,914081498917283;54,1927529813308
"facteur 37";0,0587741719710559;0,904124749718868;55,0968777310497
"facteur 38";0,0578022370191691;0,889173446865118;55,9860511779148
"facteur 39";0,0570213470453304;0,877160994311936;56,8632121722268
"facteur 40";0,0555376329225994;0,854336977998627;57,7175491502254
"facteur 41";0,0549960699260069;0,846006099105221;58,5635552493306
"facteur 42";0,0546101016387407;0,840068738026005;59,4036239873566
"facteur 43";0,0537085885384092;0,826200736506446;60,229824723863
"facteur 44";0,0530825869067955;0,81657093570236;61,0463956595654
"facteur 45";0,0520716598782222;0,801019816630142;61,8474154761956
"facteur 46";0,0508652089105538;0,782460947272894;62,6298764234684
"facteur 47";0,0501191507953604;0,77098431418639;63,4008607376548
"facteur 48";0,0496764045207446;0,764173535721945;64,1650342733768
"facteur 49";0,0493959605819055;0,759859458679091;64,9248937320559
"facteur 50";0,0480764394847601;0,739561228322177;65,6644549603781
"facteur 51";0,0475142545579001;0,730913121692223;66,3953680820703
"facteur 52";0,046667894294948;0,717893537829938;67,1132616199002
"facteur 53";0,0461605789012172;0,710089490779963;67,8233511106802
"facteur 54";0,045342968833815;0,697512171988953;68,5208632826691
"facteur 55";0,0448427311953917;0,689817002249051;69,2106802849182
"facteur 56";0,0435687057567195;0,670218632893168;69,8808989178114
"facteur 57";0,0432200038465968;0,664854541547543;70,5457534593589
"facteur 58";0,0422700228190754;0,65024095653322;71,1959944158921
"facteur 59";0,041484507052251;0,638157345275709;71,8341517611678
"facteur 60";0,0405527628220482;0,623824297430323;72,4579760585981
"facteur 61";0,0396658797995202;0,610181350811392;73,0681574094095
"facteur 62";0,038924624839489;0,598778604796592;73,6669360142061
"facteur 63";0,0385666560993139;0,593271961542182;74,2602079757483
"facteur 64";0,0380862649592402;0,585882091047704;74,846090066796
"facteur 65";0,0376706645324025;0,579488897927386;75,4255789647234
"facteur 66";0,036484462342955;0,561241516098198;75,9868204808216
"facteur 67";0,0363331900877736;0,558914490718366;76,54573497154
"facteur 68";0,0358382029946355;0,551300090265086;77,097035061805
"facteur 69";0,0356193600609284;0,547933623226417;77,6449686850315
"facteur 70";0,0347853651340761;0,535104255679078;78,1800729407105
"facteur 71";0,0337182567966179;0,518688897943329;78,6987618386539
"facteur 72";0,0330913179404823;0,509044679787916;79,2078065184418
"facteur 73";0,0324813635482731;0,499661734121447;79,7074682525632
"facteur 74";0,0321867663159641;0,495129936564854;80,2025981891281
"facteur 75";0,0319142282900979;0,490937476404862;80,6935356655329
"facteur 76";0,031436820036916;0,483593491743805;81,1771291572768
"facteur 77";0,0310482057000804;0,477615426409227;81,654744583686
"facteur 78";0,0304015417520679;0,467667776607594;82,1224123602936
"facteur 79";0,0298859075351765;0,459735760865662;82,5821481211592
