"";"X.NAME_1.CasaManco";"X.NAME_10.TrattoriaPennestri";"X.NAME_100.CharroCafe";"X.NAME_101.CimagliaSilvana";"X.NAME_102.Yoshi";"X.NAME_103.MoonlightCafe";"X.NAME_104.PURO.StreetFoodFromPuglia";"X.NAME_105.DaSeverino";"X.NAME_106.IlSemeelaFoglia";"X.NAME_107.Farinando";"X.NAME_108.CerteNottiaTestaccio";"X.NAME_109.VeganStore";"X.NAME_11.SushiDoku";"X.NAME_110.BurBaCa";"X.NAME_111.PizzeriaViaAmerigoVespucciRoma";"X.NAME_112.CapitanConoGelateria";"X.NAME_113.YourSushi";"X.NAME_114.BurgerKing";"X.NAME_115.NorcineriaSergio";"X.NAME_116.ConteStaccio";"X.NAME_117.BebopMusicClub";"X.NAME_118.LosCabosAPSLasCalaveras";"X.NAME_119.Testaccino";"X.NAME_12.SakanaSushi";"X.NAME_120.OsteriaPizzeria";"X.NAME_121.FoodieFreshmarket";"X.NAME_122.Itreporcellinisnc";"X.NAME_123.LaFarandula";"X.NAME_124.Companatico";"X.NAME_125.Spago";"X.NAME_126.Bucolica";"X.NAME_127.LaCiriolettaIgnorante";"X.NAME_128.SantaClaritaTacosySushi";"X.NAME_129.MastroTittaPub";"X.NAME_13.LaVecchiaLupiae";"X.NAME_130.FiordiFarinaPizzaShop";"X.NAME_131.PasticceriaBenedetto";"X.NAME_132.PLANETRoma";"X.NAME_133.SlotHouseEuropa";"X.NAME_134.SnackBar";"X.NAME_135.Palladiana";"X.NAME_136.CottoeMandato";"X.NAME_137.Shake";"X.NAME_138.Violarosso";"X.NAME_139.OnTheBurger";"X.NAME_14.JunseiRestaurantKaitenSushi";"X.NAME_140.SlurpGelateria";"X.NAME_141.SushiPing";"X.NAME_142.CafeBoario";"X.NAME_143.LaBotticella";"X.NAME_144.MammaRoma";"X.NAME_145.RistoranteGalu";"X.NAME_146.RistoranteallaMaisonLatina";"X.NAME_15.LoScopettaro";"X.NAME_16.RistoranteEritrea";"X.NAME_17.OsteriadegliAmici";"X.NAME_18.Ilnidogustoemiscele";"X.NAME_19.Pecorino";"X.NAME_2.Masto";"X.NAME_20.HostariadaEnzo";"X.NAME_21.PIZZERIAOSTIENSE";"X.NAME_22.PiattoRomano";"X.NAME_23.GelateriaLaRomana.Roma.viaOstiense";"X.NAME_24.TavernaVolpetti";"X.NAME_25.Molì";"X.NAME_26.TbspSpotTestaccio";"X.NAME_27.FeliceaTestaccio";"X.NAME_28.OsteriaFratelliMori";"X.NAME_29.PolpettaGazometro";"X.NAME_3.LaFataIgnorante";"X.NAME_30.PasticceriaAndreotti";"X.NAME_31.IlGrottino";"X.NAME_32.AssuntinaRistorante";"X.NAME_33.PasticceriaLinari";"X.NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"X.NAME_35.PizzeriadaRemo";"X.NAME_36.StazionediPosta";"X.NAME_37.BarGiolitti";"X.NAME_38.AiCocci";"X.NAME_39.NuovoMondo";"X.NAME_4.MordieVai";"X.NAME_40.TabernaPersiana";"X.NAME_41.AlicePizzaOstiense";"X.NAME_42.AugustarelloaTestaccio";"X.NAME_43.EnotecaDivinare";"X.NAME_44.Doppiozeroo";"X.NAME_45.DaBucatino";"X.NAME_46.LìArMonte";"X.NAME_47.IlSecchioel.Olivaro.Ostiense";"X.NAME_48.LaFraschettadiMastroGiorgio";"X.NAME_49.MakaiSurf.TikiBar";"X.NAME_5.Panna.Co";"X.NAME_50.Checchinodal1887";"X.NAME_51.TrattoriaPerilli";"X.NAME_52.MercatBistrot.OldBar";"X.NAME_53.Rec23RestaurantEmporioClub";"X.NAME_54.OasidellaBirra.EnotecaPalombi";"X.NAME_55.FlavioAlVelavevodetto";"X.NAME_56.Gazometro38";"X.NAME_57.CacioeCocci";"X.NAME_58.CrochonNoelJoseph";"X.NAME_59.OishiRestaurant";"X.NAME_6.TrapizzinoTestaccio";"X.NAME_60.IlPiccoloAlpino";"X.NAME_61.DaOioaCasaMia";"X.NAME_62.BancoFastFood";"X.NAME_63.PortoFluviale";"X.NAME_64.Ketumbar";"X.NAME_65.Giansanti";"X.NAME_66.TheMeatMarketTestaccio";"X.NAME_67.AlicePizzaTestaccio";"X.NAME_68.IlPizzettiere";"X.NAME_69.ContedeiCocci";"X.NAME_7.GelateriaBrivido";"X.NAME_70.LaTorricella";"X.NAME_71.PasticceriaZio";"X.NAME_72.LaCreperieDiTestaccio";"X.NAME_73.BlueIceGelato";"X.NAME_74.PastaeSpätzle";"X.NAME_75.LaDoganaFood";"X.NAME_76.CapitanPaninokSaporieTradizioniRegionali";"X.NAME_77.FoodBox";"X.NAME_78.ChihanaSushiRestaurant";"X.NAME_79.CakeSiGira";"X.NAME_8.Sushisen";"X.NAME_80.IlGianfornaio";"X.NAME_81.AngelinaCafe.";"X.NAME_82.PizzeriaRosticceriaOstiense10";"X.NAME_83.FraschettadaSandro";"X.NAME_84.LaBaguetteriaOstiense";"X.NAME_85.AngelinaaTestaccio";"X.NAME_86.ZoéMercatoTestaccio";"X.NAME_87.InCiboVeritas";"X.NAME_88.PachinoMonello";"X.NAME_89.AvePinsa";"X.NAME_9.IlPangocciolaio";"X.NAME_90.Banco21";"X.NAME_91.Trentatrétestaccio";"X.NAME_92.StritFud";"X.NAME_93.L.insalataRicca.Gazometro";"X.NAME_94.RisoRoma";"X.NAME_95.ThinkFarmer";"X.NAME_96.900";"X.NAME_97.RoadhouseGrill";"X.NAME_98.DolceSicilia";"X.NAME_99.PanificioiGuerrini";"X.NAME_DarBruttone.RomaSanGiovanni.";"X.NAME_Florian.s";"X.NAME_IlTempiodiMinerva";"X.NAME_RistoranteEstEstEst";"X.NAME_VIICoorte";"X.NAME_Viavaibarbistrot"
"pre";143,52;167,96;174,09;127,75;140,92;136,13;129,63;145,41;150;113,92;130,68;137,46;129,03;123,08;104,35;109,76;101,17;112,78;93,43;142,86;138,27;131,34;132,7;126,05;154,41;94,44;171,05;106,06;74,38;137,61;129,63;139,13;150,94;126,58;150,63;120,48;116,02;160;134,33;96,15;115,79;136,88;133,12;120;161,62;115,79;113,56;99,29;157,07;125,93;112,99;133,33;119,87;160,07;110,2;136,2;132,93;126,98;102,15;114,5;119,63;163,61;158,14;171,05;161,76;121,81;112,73;125;123,75;129,87;121,43;126,26;139,24;161,42;113,64;123,93;135,98;129,25;142,11;141,59;186,15;140;102,56;123,66;146,15;135,84;142,86;113,1;97,46;129,77;120,97;141,36;130,92;123,75;120,64;155,17;150,89;139,68;145,99;140,85;126,92;136,36;153,06;153,31;118,91;144,17;137,7;112,61;98,52;101,6;151,79;153,23;125,54;130,04;125,33;117,65;115,54;136,59;153,51;112,43;150,5;126,58;166,67;159,04;160;92,92;118,92;131,31;157,26;147,54;137,98;131,94;122,88;145,16;163,88;120;112,73;114,17;148,15;123,74;136,21;104,38;181,82;142,08;158,77;157,05;168,67;131,58;119,62;129,17;146,67;152,25
"nom";175,93;253,23;226,72;246,7;189,7;204,19;169,31;167,79;161,11;189,87;153,41;164,95;185,48;174,36;208,7;219,51;171,21;195,49;183,39;153,44;192,59;182,09;175,36;159,66;176,47;166,67;164,47;132,58;181,82;183,49;197,53;173,91;169,81;206,75;196,65;144,58;154,7;280;156,72;230,77;147,37;182,51;139,61;211,43;202,02;192,98;170,35;170,21;201,57;159,26;197,74;168,25;208,2;198,02;183,67;200,72;193,35;214,29;182,8;175,57;199,39;202,88;167,44;293,86;250;141,64;179,54;191,86;170,57;186,15;182,14;212,12;227,85;224,41;211,04;247,86;203,97;272,11;200;265,49;194,81;233,33;205,13;215,05;219,23;167,63;205,88;232,14;254,24;248,09;197,58;198,95;206,13;210,7;160,86;175,86;215,98;190,48;167,88;193,66;180,77;193,18;188,78;191,64;167,64;168,71;196,39;157,66;206,9;187,17;285,71;241,94;238,1;206,28;186,67;196,08;155,38;190,24;184,21;180,47;190,64;189,87;163,19;197,59;165,71;203,54;200;186,87;241,94;245,9;194,36;215,28;228,81;200;170,57;150;178,18;204,72;156,08;242,42;156,15;127,95;228,96;199,45;197,77;266,03;204,82;217,11;215,31;241,67;200;221,45
"ver";106,48;80,1;89,07;101,32;86,72;73,3;74,07;111,86;61,11;107,59;107,95;109,97;108,87;92,31;69,57;97,56;112,84;82,71;83,04;115,08;86,42;86,57;118,48;123,95;102,94;116,67;92,11;106,06;99,17;87,16;86,42;113,04;100,63;101,27;79,5;96,39;104,97;0;97,01;76,92;126,32;102,66;84,42;62,86;111,11;108,77;100,95;78,01;109,95;96,3;118,64;85,71;107,26;117,16;93,88;103,94;123,87;87,3;112,9;122,14;88,96;92,93;153,49;61,4;68,63;99,15;112,73;93,02;73,58;90,91;89,29;101,01;63,29;78,74;90,91;85,47;107,65;88,44;94,74;57,52;82,25;80;87,18;64,52;73,08;144,51;67,23;89,29;84,75;64,89;104,84;52,36;86,35;100,33;99,2;93,1;56,21;98,41;148,42;109,15;76,92;125;96,94;108,01;109,16;101,23;135,44;126,13;78,82;101,6;62,5;60,48;86,58;62,78;98,67;52,29;75,7;102,44;92,11;106,51;123,75;113,92;97,22;89,16;111,43;75,22;118,92;101,01;88,71;65,57;102,37;90,28;105,93;83,87;123,75;130;98,18;78,74;132,28;73,23;132,89;94,28;87,54;98,36;89,14;80,13;78,98;88,82;57,42;87,5;85,33;89,97
"adv_sup";55,56;38,76;56,68;66,08;67,75;52,36;60,85;82,77;94,44;72,78;56,82;96,22;84,68;82,05;69,57;85,37;93,39;82,71;89,97;80,69;74,07;62,69;90,05;75,63;58,82;83,33;65,79;94,7;132,23;50,46;67,9;69,57;62,89;67,51;50,21;48,19;77,35;40;52,24;38,46;73,68;83,65;81,17;74,29;101,01;70,18;119,87;92,2;44,5;88,89;90,4;85,71;78,86;70,96;69,39;68,1;60,42;91,27;69,89;68,7;73,62;79,84;93,02;48,25;73,53;99,15;91,86;107,56;80,27;51,95;103,57;75,76;80,17;74,8;38,96;94,02;79,32;27,21;65,79;70,8;64,94;68;94,87;69,89;88,46;124,28;50,42;41,67;63,56;34,35;68,55;109,95;72,42;66,89;93,83;68,97;88,76;92,06;77,86;80,99;65,38;96,59;45,92;101,05;95,52;82,82;72,23;94,59;49,26;64,17;26,79;80,65;38,96;94,17;88;98,04;55,78;107,32;65,79;97,63;73,58;80,17;93,75;55,42;60;84,07;48,65;111,11;52,42;40,98;63,8;79,86;67,8;103,23;83,61;70;83,64;94,49;84,66;78,28;96,35;84,18;70,71;68,31;55,71;51,28;53,55;59,21;47,85;75;45,33;79,58
"ver_sup";46,3;36,18;36,44;48,46;65,04;47,12;63,49;64,88;27,78;88,61;62,5;72,16;84,68;66,67;26,09;36,59;85,6;67,67;93,43;87,3;56,79;59,7;23,7;79,83;88,24;77,78;46,05;56,82;82,64;100,92;74,07;69,57;47,17;54,85;54,39;96,39;66,3;0;104,48;192,31;63,16;102,66;84,42;85,71;70,71;38,6;66,25;49,65;36,65;77,78;90,4;85,71;63,09;82,51;65,31;43,01;57,4;47,62;37,63;64,89;70,55;49,74;65,12;61,4;49,02;79,32;93,95;78,49;40,13;51,95;71,43;55,56;67,51;55,12;68,18;47,01;67,99;34,01;63,16;26,55;60,61;38,67;92,31;43,01;23,08;54,91;54,62;65,48;50,85;15,27;52,42;41,88;55,71;63,55;72,39;89,66;62,13;63,49;70,56;70,42;61,54;62,5;61,22;20,91;54,58;30,67;74,49;85,59;39,41;53,48;80,36;44,35;38,96;67,26;106,67;45,75;79,68;43,9;39,47;68,05;70,23;78,06;76,39;91,57;54,29;53,1;54,05;55,56;20,16;24,59;56,38;45,14;46,61;51,61;60,2;65;72,73;47,24;60,85;53,03;83,06;107,74;53,87;90,16;61,28;54,49;41,5;62,5;33,49;62,5;69,33;44,98
"int";0;0;0;0;0;0;0;4,47;0;0;0;0;0;0;0;0;0;7,52;0;0;0;0;0;0;0;0;13,16;0;0;0;0;4,35;0;0;0;0;5,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,65;0;0;0;0;5,38;0;0;1,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,89;4,2;5,95;0;0;0;0;0;0;0;0;0;0;0;3,52;0;0;0;0;0;0;0;0;0;0;0;4,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,05;0;0;0;0;4,24;0;0;0;0;0;0;2,53;0;3,37;0;0;2,79;0;0;0;0;0;0;0
"nom_sup";18,52;12,92;20,24;8,81;2,71;26,18;2,65;20,13;16,67;22,15;34,09;17,18;20,16;20,51;8,7;0;19,46;15,04;17,3;17,2;7,41;14,93;4,74;12,61;22,06;16,67;26,32;7,58;16,53;13,76;0;17,39;6,29;16,88;29,29;12,05;5,52;0;14,93;19,23;21,05;11,41;25,97;17,14;20,2;17,54;12,62;21,28;7,85;29,63;5,65;12,7;22,08;23,1;8,16;7,17;21,15;7,94;10,75;7,63;15,34;7,85;0;13,16;4,9;19,83;6,26;2,91;13,38;17,32;7,14;5,05;4,22;7,87;16,23;17,09;5,67;0;7,89;17,7;4,33;12;23,08;16,13;3,85;20,23;16,81;17,86;16,95;0;12,1;5,24;2,79;10,03;13,4;10,34;8,88;9,52;17,03;17,61;15,38;17,05;0;6,97;5,85;15,34;15,8;0;4,93;10,7;0;20,16;4,33;8,97;18,67;0;11,95;14,63;4,39;20,71;13,38;8,44;13,89;12,05;14,29;22,12;21,62;10,1;16,13;8,2;13,35;3,47;16,95;9,68;13,38;5;7,27;11,81;18,52;7,58;23,26;16,84;23,57;24,59;22,28;16,03;17,4;26,32;0;0;10,67;10,38
"pro";78,7;28,42;44,53;57,27;37,94;41,88;31,75;62,64;38,89;60,13;62,5;85,91;52,42;35,9;34,78;24,39;73,93;90,23;51,9;63,49;34,57;62,69;61,61;69,33;44,12;44,44;39,47;37,88;16,53;32,11;43,21;73,91;34,59;42,19;29,29;60,24;88,4;0;67,16;19,23;73,68;60,84;45,45;45,71;70,71;49,12;59,94;28,37;44,5;62,96;33,9;79,37;75,71;59,41;28,57;46,59;57,4;27,78;48,39;41,98;46,01;43,19;69,77;43,86;34,31;53,82;43,84;46,51;53,51;47,62;64,29;25,25;8,44;35,43;45,45;34,19;53,82;40,82;55,26;26,55;25,97;34,67;61,54;37,63;19,23;75,14;29,41;77,38;46,61;19,08;32,26;36,65;47,35;40,13;29,49;72,41;26,63;53,97;60,83;56,34;34,62;62,5;40,82;41,81;64,33;49,08;36,12;63,06;29,56;64,17;26,79;32,26;17,32;58,3;90,67;58,82;59,76;43,9;35,09;41,42;50,17;59,07;55,56;57,83;51,43;17,7;27,03;35,35;60,48;0;53,41;38,19;33,9;64,52;40,13;60;50,91;19,69;79,37;55,56;76,41;70,71;40,4;43,72;39;48,08;33,47;32,89;38,28;37,5;42,67;31,14
"sw";18,52;20,67;4,05;26,43;35,23;26,18;10,58;17,9;16,67;15,82;22,73;17,18;20,16;25,64;8,7;0;19,46;15,04;13,84;27,78;39,51;14,93;9,48;27,31;7,35;27,78;6,58;34,09;33,06;18,35;6,17;8,7;18,87;33,76;25,1;12,05;16,57;0;14,93;38,46;73,68;7,6;16,23;22,86;20,2;24,56;12,62;21,28;34,03;25,93;5,65;38,1;22,08;19,8;20,41;21,51;27,19;15,87;26,88;11,45;21,47;18,32;18,6;26,32;14,71;8,5;22,96;20,35;26,76;25,97;25;25,25;12,66;27,56;25,97;12,82;25,5;20,41;26,32;17,7;12,99;26,67;25,64;43,01;30,77;14,45;16,81;23,81;12,71;26,72;40,32;20,94;25,07;10,03;13,4;15,52;8,88;19,05;14,6;17,61;19,23;17,05;20,41;24,39;25,34;21,47;24,83;22,52;44,33;48,13;8,93;12,1;25,97;31,39;24;19,61;31,87;34,15;13,16;23,67;23,41;16,88;31,25;14,46;20;22,12;32,43;10,1;8,06;0;34,12;10,42;16,95;19,35;33,44;5;21,82;23,62;23,81;7,58;39,87;6,73;13,47;27,32;5,57;28,85;26,77;16,45;23,92;25;34,67;27,68
"adj_sup";4,63;20,67;8,1;8,81;8,13;5,24;15,87;6,71;16,67;12,66;17,05;17,18;12,1;30,77;0;0;3,89;15,04;13,84;7,94;9,88;20,9;9,48;10,5;0;38,89;13,16;18,94;0;9,17;0;0;3,14;4,22;12,55;0;11,05;0;14,93;38,46;10,53;7,6;6,49;22,86;10,1;10,53;6,31;7,09;13,09;11,11;11,3;15,87;9,46;13,2;12,24;7,17;15,11;7,94;10,75;3,82;3,07;10,47;23,26;17,54;9,8;8,5;8,35;2,91;6,69;4,33;7,14;10,1;4,22;3,94;6,49;21,37;11,33;6,8;10,53;4,42;8,66;12;7,69;16,13;7,69;28,9;0;0;0;7,63;8,06;10,47;11,14;13,38;16,09;15,52;0;3,17;17,03;7,04;15,38;14,2;10,2;6,97;15,59;18,4;9,03;4,5;9,85;0;8,93;0;17,32;4,48;2,67;19,61;19,92;9,76;4,39;11,83;6,69;10,55;6,94;9,64;17,14;22,12;0;20,2;20,16;0;17,8;17,36;12,71;6,45;13,38;10;7,27;3,94;18,52;17,68;0;20,2;6,73;0;16,71;12,82;12,05;16,45;14,35;29,17;10,67;10,38
