"";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"unico";17,54;0;0;5,88;0;5,67;6,71;6,6;1,6;4,69;1,82;2,89;3,62;1,6;0;0;2,27;0;3,57;0;2,41;10,19
"presente";0;0;0;2,94;0;0;6,71;3,96;1,6;0;3,64;1,44;2,41;1,6;0;0;0,76;0;1,43;0;1,21;0
"amichevole";0;0;0;0;0;2,83;0;0;1,6;0;0;0;1,21;0,8;0;0;3,03;0;1,43;0;1,21;1,27
"dell";0;0;0;2,94;0;0;10,07;1,32;1,6;0;7,27;5,77;2,41;3,2;0;0;3,79;0;3,57;0;2,41;1,27
"patatina";0;0;7,75;0;0;0;0;1,32;1,6;2,35;3,64;1,44;0;0,8;0;0;0,76;0;0,71;0;0;0
"attesa";0;0;15,5;8,82;0;0;0;0;3,21;0;3,64;0;6,03;4;0;0;0;0;0;0;3,62;0
"piacevole";0;0;0;2,94;0;0;0;3,96;6,41;7,04;7,27;0;1,21;3,2;14,08;0;3,79;0;4,28;0;4,83;0
"prodotto";0;0;0;0;0;0;0;2,64;1,6;7,04;1,82;0;0;5,6;0;0;0,76;0;4,28;0;4,83;14,01
"sugo";0;0;0;8,82;0;0;3,36;2,64;0;0;0;7,22;0;0,8;0;0;0;0;1,43;0;0;0
"mozzarella";0;0;0;0;21,74;2,83;0;1,32;1,6;0;0;1,44;1,21;0;0;0;0,76;0;2,86;0;2,41;1,27
"amante";0;0;0;0;0;0;0;0;0;4,69;0;0;1,21;3,2;0;0;2,27;0;0,71;0;0;0
"resto";0;0;0;2,94;0;0;3,36;3,96;4,81;2,35;1,82;1,44;0;0;0;0;0;0;1,43;28,57;1,21;1,27
"economico";0;0;0;0;0;0;3,36;1,32;0;2,35;0;2,89;2,41;0,8;0;38,46;0,76;0;1,43;0;1,21;0
"attento";0;0;0;0;0;2,83;3,36;3,96;3,21;0;0;1,44;2,41;5,6;14,08;0;2,27;0;4,28;0;2,41;0
"consegna";0;0;15,5;0;0;0;3,36;1,32;0;0;0;1,44;0;0,8;0;0;0;0;0,71;0;2,41;1,27
"lungo";0;0;0;11,76;0;2,83;0;0;0;0;0;1,44;3,62;3,2;14,08;0;0;0;0,71;0;3,62;2,55
"gusto";0;0;0;0;0;2,83;0;9,23;3,21;4,69;5,45;5,77;4,83;6,41;14,08;0;4,55;95,24;7,14;0;2,41;10,19
"vario|varo";0;0;0;2,94;0;0;0;1,32;1,6;0;0;1,44;2,41;4;0;0;0,76;0;1,43;0;1,21;0
"amaro";0;0;0;2,94;0;2,83;3,36;0;0;0;1,82;0;0;0;0;0;2,27;0;2,14;0;0;0
"pizza";0;0;46,51;8,82;108,7;8,5;0;32,98;8,01;25,82;10,91;20,2;22,92;11,21;42,25;38,46;12,12;0;13,56;85,71;8,44;6,37
"caldo";0;0;15,5;0;0;2,83;0;0;3,21;0;3,64;7,22;6,03;5,6;0;0;3,03;0;2,86;0;4,83;1,27
"fungo";0;0;0;0;0;5,67;0;2,64;0;2,35;1,82;1,44;4,83;0;0;0;0;0;0;0;1,21;0
"leggermente";0;0;0;0;0;0;0;0;1,6;0;1,82;0;3,62;1,6;0;0;1,52;0;0,71;0;0;0
"giusto";0;0;0;0;0;0;6,71;2,64;3,21;4,69;3,64;1,44;2,41;3,2;0;0;2,27;0;3,57;57,14;7,24;5,1
"l";52,63;67,8;23,26;20,59;0;22,66;26,85;23,75;17,63;32,86;25,45;20,2;13,27;19,22;28,17;0;28,03;0;29,98;28,57;16,89;20,38
"panino";0;0;0;0;0;0;0;3,96;1,6;4,69;5,45;17,32;4,83;0,8;0;0;3,03;0;9,99;0;4,83;8,92
"colazione";0;0;0;0;0;0;0;0;3,21;0;1,82;0;7,24;0,8;0;0;0,76;0;0,71;0;0;3,82
"cibo";0;0;7,75;17,65;21,74;17;13,42;15,83;6,41;16,43;9,09;5,77;8,44;9,61;28,17;0;12,12;0;5,71;0;15,68;8,92
"quattro";0;0;0;0;0;0;0;1,32;1,6;0;0;0;1,21;1,6;0;0;1,52;0;0;0;3,62;2,55
"e_che";0;16,95;0;2,94;0;0;0;3,96;0;0;1,82;2,89;1,21;1,6;0;0;0,76;0;2,14;0;0;2,55
"sabato";0;0;7,75;2,94;0;2,83;3,36;6,6;0;4,69;3,64;1,44;0;1,6;0;0;2,27;0;0,71;0;1,21;1,27
"cicoria";17,54;0;0;5,88;0;2,83;3,36;0;0;2,35;3,64;0;0;0,8;0;0;0,76;0;2,14;0;1,21;0
"altro";17,54;16,95;23,26;5,88;0;5,67;10,07;13,19;9,62;4,69;7,27;8,66;8,44;7,21;0;38,46;6,06;0;2,86;28,57;4,83;10,19
"genuino";0;0;0;0;0;0;0;0;1,6;0;1,82;0;2,41;0,8;0;0;2,27;0;0;0;2,41;2,55
"bibita";0;0;15,5;5,88;0;0;0;0;4,81;0;0;2,89;1,21;0;0;0;1,52;0;0,71;0;0;0
"condimento";0;0;0;0;0;0;0;3,96;0;0;0;2,89;1,21;0;0;0;1,52;0;2,14;0;1,21;1,27
"vicino";0;0;7,75;0;0;2,83;10,07;5,28;4,81;0;0;0;1,21;1,6;0;0;0,76;0;1,43;0;3,62;0
"menu";0;0;0;17,65;21,74;14,16;0;2,64;4,81;2,35;1,82;0;6,03;2,4;0;38,46;3,79;0;2,86;0;1,21;2,55
"croccante";0;0;0;0;0;0;0;1,32;1,6;0;0;4,33;1,21;1,6;0;0;3,03;0;2,86;0;0;1,27
"bar";0;0;0;0;0;2,83;0;1,32;4,81;0;1,82;2,89;3,62;1,6;0;38,46;3,03;0;0;0;0;2,55
"bottiglia";0;0;0;11,76;0;2,83;6,71;1,32;0;0;1,82;1,44;1,21;0,8;0;0;3,03;0;0;0;2,41;1,27
"ordine";0;0;7,75;0;0;0;3,36;2,64;3,21;0;1,82;2,89;0;3,2;0;0;0;0;0;0;1,21;0
"bancone";0;0;7,75;0;0;0;0;1,32;3,21;0;3,64;1,44;0;2,4;0;0;0;0;0,71;0;2,41;0
"menù";17,54;0;23,26;5,88;0;0;10,07;0;4,81;9,39;5,45;1,44;4,83;5,6;0;0;3,03;0;7,85;0;2,41;0
"professionale";0;0;0;2,94;0;0;0;0;1,6;0;0;0;2,41;0,8;0;0;1,52;0;2,14;0;1,21;1,27
"consiglio";0;0;7,75;0;0;2,83;6,71;13,19;3,21;4,69;12,73;5,77;12,06;8,01;14,08;0;8,33;0;7,85;57,14;13,27;12,74
"interno";0;0;0;0;0;2,83;6,71;1,32;1,6;0;9,09;0;3,62;0,8;0;0;3,79;0;2,14;0;2,41;1,27
"fantastico";0;0;0;0;0;2,83;0;3,96;0;0;0;4,33;1,21;0,8;14,08;0;0,76;0;0,71;0;8,44;7,64
"caffè";52,63;0;23,26;0;0;5,67;6,71;0;0;2,35;7,27;2,89;7,24;0,8;0;0;3,79;0;0,71;0;0;0
"pezzo";0;0;0;0;0;8,5;0;5,28;0;4,69;0;2,89;4,83;1,6;0;0;0,76;0;0;0;0;0
"sapore";0;0;0;2,94;21,74;2,83;0;3,96;4,81;7,04;1,82;5,77;3,62;3,2;14,08;0;4,55;47,62;4,28;28,57;7,24;6,37
"ogni";0;0;0;0;0;0;3,36;0;0;4,69;3,64;4,33;8,44;4;0;0;4,55;0;5,71;0;2,41;5,1
"pecca";0;0;0;2,94;0;0;3,36;1,32;0;0;0;1,44;2,41;1,6;0;0;0;0;0,71;0;1,21;3,82
"bello";0;0;0;5,88;0;0;3,36;10,55;3,21;0;7,27;2,89;4,83;5,6;0;38,46;3,79;0;5,71;0;10,86;3,82
"verdura";0;0;0;0;0;2,83;0;1,32;0;0;3,64;1,44;3,62;0,8;0;0;0,76;0;2,14;0;4,83;2,55
"serata";17,54;0;15,5;8,82;21,74;0;16,78;5,28;12,82;9,39;1,82;2,89;1,21;3,2;0;0;4,55;0;3,57;0;3,62;0
"piazza";0;0;0;0;0;0;0;3,96;3,21;0;1,82;1,44;0;0;0;0;2,27;0;0,71;28,57;0;0
"scoperta";0;0;0;0;0;0;0;2,64;0;0;0;2,89;1,21;0,8;0;0;1,52;0;1,43;0;0;0
"servizio";0;0;23,26;29,41;21,74;22,66;10,07;10,55;17,63;23,47;14,55;20,2;14,48;19,22;56,34;38,46;9,09;0;17,13;0;12,06;2,55
"focaccia";0;0;0;0;0;5,67;0;0;4,81;0;1,82;1,44;0;1,6;0;0;0,76;0;4,28;0;2,41;0
"migliore";0;0;0;0;0;2,83;0;2,64;4,81;0;0;1,44;6,03;2,4;0;0;2,27;0;3,57;0;7,24;8,92
"accogliente";17,54;0;0;0;0;0;3,36;3,96;6,41;2,35;1,82;5,77;6,03;8,81;0;0;4,55;0;6,42;0;13,27;6,37
"cura";0;0;0;0;0;0;3,36;0;1,6;0;3,64;2,89;3,62;0;0;0;1,52;47,62;2,14;0;0;0
"eccellente";0;0;0;0;0;2,83;0;0;3,21;2,35;1,82;2,89;8,44;4,8;0;0;2,27;0;5;0;7,24;8,92
"qualche";0;0;0;2,94;0;2,83;0;2,64;8,01;4,69;12,73;4,33;3,62;3,2;0;0;3,03;0;5,71;0;4,83;2,55
"carta";0;0;0;2,94;0;5,67;3,36;0;1,6;0;1,82;4,33;2,41;1,6;0;0;1,52;0;1,43;0;4,83;0
"dolce";17,54;33,9;0;5,88;0;5,67;6,71;6,6;3,21;14,08;7,27;4,33;9,65;12,81;0;0;4,55;47,62;4,28;0;6,03;11,46
"super";0;0;7,75;0;0;0;0;0;0;2,35;0;0;1,21;4;0;0;0;0;4,28;0;2,41;7,64
"occasione";0;16,95;0;0;0;0;3,36;1,32;0;2,35;0;1,44;1,21;1,6;0;0;1,52;0;1,43;0;0;2,55
"ripieno";0;0;0;0;0;0;0;0;0;0;0;2,89;1,21;0;0;0;0;0;3,57;0;1,21;1,27
"strepitoso";0;0;0;0;0;0;0;0;1,6;0;1,82;1,44;0;0,8;0;0;2,27;0;2,86;0;1,21;2,55
"vivo";0;0;0;2,94;0;0;0;2,64;6,41;0;0;1,44;3,62;0,8;0;38,46;0;0;0;0;0;0
"moderno";0;0;0;0;0;2,83;0;2,64;3,21;2,35;0;0;0;2,4;0;0;0,76;0;0;0;0;0
"vista";0;0;0;5,88;21,74;0;0;1,32;3,21;0;0;0;3,62;0,8;0;0;1,52;0;3,57;0;0;3,82
"complimento";0;0;0;0;0;0;3,36;1,32;1,6;2,35;3,64;2,89;1,21;2,4;0;0;1,52;0;2,14;0;4,83;2,55
"signore";0;16,95;0;0;0;2,83;0;0;0;0;0;4,33;0;0;14,08;0;2,27;0;0;0;0;1,27
"fritto";0;0;7,75;0;0;8,5;3,36;2,64;0;7,04;3,64;4,33;3,62;2,4;0;0;0,76;0;2,14;0;0;1,27
"minuto";0;0;31,01;2,94;0;5,67;0;1,32;0;0;1,82;1,44;1,21;1,6;0;0;0,76;0;0,71;0;1,21;0
"speciale";0;0;0;0;0;0;6,71;0;0;2,35;3,64;1,44;1,21;1,6;0;0;1,52;0;0,71;0;0;0
"forno";0;0;0;0;21,74;8,5;0;0;0;7,04;0;4,33;6,03;0,8;0;0;0,76;0;2,14;0;0;0
"pecorino";0;0;0;8,82;0;0;0;2,64;1,6;0;0;5,77;0;0,8;0;0;0;0;0,71;0;1,21;0
"posto";0;0;0;0;0;5,67;3,36;0;0;0;0;2,89;1,21;0,8;0;0;0,76;0;1,43;0;3,62;0
"biscotto";0;0;0;0;0;0;0;0;1,6;0;5,45;0;2,41;2,4;0;0;0,76;0;0;0;0;1,27
"discreto";0;0;0;2,94;0;5,67;3,36;2,64;1,6;0;3,64;5,77;2,41;1,6;0;0;2,27;0;1,43;0;0;0
"piccolo";0;16,95;0;0;0;2,83;6,71;1,32;4,81;2,35;5,45;7,22;6,03;4;0;0;4,55;0;7,85;0;1,21;11,46
"pessimo";0;33,9;7,75;2,94;21,74;8,5;6,71;6,6;1,6;4,69;1,82;1,44;3,62;1,6;0;0;0;0;0;0;0;0
"alto";17,54;0;0;0;0;14,16;3,36;2,64;0;4,69;1,82;1,44;1,21;5,6;0;0;3,03;0;1,43;0;1,21;6,37
"cucina";0;0;15,5;11,76;21,74;8,5;3,36;3,96;12,82;4,69;3,64;14,43;8,44;8,81;14,08;38,46;9,85;0;8,57;0;3,62;6,37
"hamburger";0;0;0;0;0;5,67;0;2,64;0;2,35;5,45;0;0;0;0;0;2,27;0;0,71;0;0;0
"ampio";0;0;0;2,94;0;2,83;0;1,32;8,01;11,74;7,27;4,33;2,41;2,4;0;0;1,52;0;5;0;1,21;1,27
"positivo";17,54;0;7,75;0;0;5,67;3,36;2,64;1,6;2,35;1,82;2,89;0;0,8;0;0;0;0;1,43;0;0;1,27
"esterno";0;0;0;2,94;0;0;0;0;3,21;2,35;1,82;0;1,21;0;0;0;0;0;2,86;0;0;0
"pietanza";0;0;0;0;0;2,83;3,36;1,32;0;0;0;2,89;3,62;0,8;0;0;3,03;0;2,86;0;0;0
"can";0;0;0;2,94;0;0;0;2,64;0;2,35;0;5,77;3,62;0;0;0;0;0;0,71;0;0;0
"scarso";52,63;16,95;0;5,88;0;0;0;0;0;7,04;0;0;2,41;0;0;0;1,52;0;0;0;0;1,27
"prenotazione";17,54;0;0;0;0;2,83;3,36;1,32;4,81;2,35;1,82;0;2,41;0,8;0;0;0,76;0;1,43;0;2,41;0
"domenica";0;0;0;0;0;0;10,07;1,32;0;4,69;0;0;2,41;1,6;0;0;0,76;0;0;0;2,41;1,27
