"";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"pre";125,93;125,33;131,87;122,02;112,99;132,95;148,44;143,33;134,17;123,58;138,31;132,44;130,53;122,8;126,35;134,33;142,94;109,76;145,15;171,05;135,43;132,48
"nom";159,26;186,67;168,96;181,23;197,74;205,86;196,09;179,23;195,81;195,12;189,72;198,28;202,05;190,7;173,29;156,72;198,73;219,51;200,26;164,47;196;194,96
"ver";96,3;98,67;127,75;108,3;118,64;110,79;109,38;92,46;102,34;101,9;112,83;97,64;90,12;94,14;90,25;97,01;88,15;97,56;88,92;92,11;97,05;88,98
"adv_sup";88,89;88;96,15;91,7;90,4;70,05;67,19;76,3;72,93;77,51;75,98;74,07;74,73;80,91;75,81;52,24;73,85;85,37;67,07;65,79;71,99;73,6
"ver_sup";77,78;106,67;68,68;61,37;90,4;67,91;68,75;74,81;64,87;78,59;51,41;57,61;65,75;69,66;68,59;104,48;52,61;36,59;54,92;46,05;52,97;56,26
"int";0;0;0;0;0;0;0,78;0,9;0,81;0,54;0,91;0,75;0,32;0,22;0;0;0;0;0,37;13,16;0,32;0,65
"nom_sup";29,63;18,67;15,11;14,44;5,65;14,3;17,97;16,16;12,09;18,97;15,92;10,48;12,51;10,8;21,66;14,93;14,49;0;10,65;26,32;9,83;10,47
"pro";62,96;90,67;60,44;61,37;33,9;40,74;56,25;57,75;58,42;56,91;50,05;47,51;37,52;49,82;36,1;67,16;43,68;24,39;40,16;39,47;46,94;46,12
"sw";25,93;24;13,74;27,44;5,65;20,01;27,34;20,95;22,16;22,76;24,57;21,32;19,24;21,38;14,44;14,93;23,43;0;22,23;6,58;19,35;19,63
"adj_sup";11,11;2,67;12,36;8,66;11,3;12,15;15,62;10,77;12,49;8,13;11,83;9,35;13,47;10,58;3,61;14,93;10,32;0;10,46;13,16;12,37;10,14
"abr";3,7;2,67;1,37;0,72;0;1,43;3,12;0,9;0,4;1,08;1,82;0,37;0,96;0,66;0;0;0,2;0;0,75;0;0,63;0
"num";14,81;2,67;24,73;15,16;0;18,58;4,69;12,27;8,46;5,96;8,19;6,36;8,34;5,07;18,05;0;3,97;0;4,86;0;2,54;3,93
"adv";7,41;10,67;5,49;10,83;5,65;6,43;3,12;3,89;7,25;11,38;7,28;6,36;3,53;7,05;0;7,46;6,15;12,2;7,66;6,58;6,03;11,45
"det";74,07;104;78,3;79,42;96,05;77,91;99,22;83,48;79,77;99,73;78,25;91,66;82,1;82,23;104,69;67,16;90,93;158,54;88,17;98,68;78,02;89,3
"nr";62,96;10,67;49,45;34,66;28,25;40,74;32,81;47,88;40,29;41,73;50,96;56,49;46,82;42,33;93,86;74,63;59,56;36,59;54,55;59,21;59,31;56,26
"npr";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0,19;0;0,32;0
"adj";100;72;82,42;122,74;124,29;116,51;107,03;122,08;129,73;110,03;126,93;129,44;143,36;141,75;122,74;119,4;130,24;146,34;141,23;131,58;144,31;144,59
"con";59,26;56;63,19;59,93;79,1;63,62;42,19;56,85;58,02;46,07;55,05;59,86;68,63;69,89;50,54;74,63;60,35;73,17;62,39;65,79;66,6;61,17
