"";"*RATING_1.2";"*RATING_1.8";"*RATING_2";"*RATING_2.2";"*RATING_2.4";"*RATING_2.6";"*RATING_2.8";"*RATING_3";"*RATING_3.2";"*RATING_3.4";"*RATING_3.6";"*RATING_3.8";"*RATING_4";"*RATING_4.2";"*RATING_4.25";"*RATING_4.33";"*RATING_4.4";"*RATING_4.5";"*RATING_4.6";"*RATING_4.75";"*RATING_4.8";"*RATING_5"
"unico";1;0;0;2;0;2;2;5;1;2;1;2;3;2;0;0;3;0;5;0;2;8
"presente";0;0;0;1;0;0;2;3;1;0;2;1;2;2;0;0;1;0;2;0;1;0
"amichevole";0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;4;0;2;0;1;1
"dell";0;0;0;1;0;0;3;1;1;0;4;4;2;4;0;0;5;0;5;0;2;1
"patatina";0;0;1;0;0;0;0;1;1;1;2;1;0;1;0;0;1;0;1;0;0;0
"attesa";0;0;2;3;0;0;0;0;2;0;2;0;5;5;0;0;0;0;0;0;3;0
"piacevole";0;0;0;1;0;0;0;3;4;3;4;0;1;4;1;0;5;0;6;0;4;0
"prodotto";0;0;0;0;0;0;0;2;1;3;1;0;0;7;0;0;1;0;6;0;4;11
"sugo";0;0;0;3;0;0;1;2;0;0;0;5;0;1;0;0;0;0;2;0;0;0
"mozzarella";0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;4;0;2;1
"amante";0;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;3;0;1;0;0;0
"resto";0;0;0;1;0;0;1;3;3;1;1;1;0;0;0;0;0;0;2;1;1;1
"economico";0;0;0;0;0;0;1;1;0;1;0;2;2;1;0;1;1;0;2;0;1;0
"attento";0;0;0;0;0;1;1;3;2;0;0;1;2;7;1;0;3;0;6;0;2;0
"consegna";0;0;2;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;2;1
"lungo";0;0;0;4;0;1;0;0;0;0;0;1;3;4;1;0;0;0;1;0;3;2
"gusto";0;0;0;0;0;1;0;7;2;2;3;4;4;8;1;0;6;2;10;0;2;8
"vario|varo";0;0;0;1;0;0;0;1;1;0;0;1;2;5;0;0;1;0;2;0;1;0
"amaro";0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;3;0;3;0;0;0
"pizza";0;0;6;3;5;3;0;25;5;11;6;14;19;14;3;1;16;0;19;3;7;5
"caldo";0;0;2;0;0;1;0;0;2;0;2;5;5;7;0;0;4;0;4;0;4;1
"fungo";0;0;0;0;0;2;0;2;0;1;1;1;4;0;0;0;0;0;0;0;1;0
"leggermente";0;0;0;0;0;0;0;0;1;0;1;0;3;2;0;0;2;0;1;0;0;0
"giusto";0;0;0;0;0;0;2;2;2;2;2;1;2;4;0;0;3;0;5;2;6;4
"l";3;4;3;7;0;8;8;18;11;14;14;14;11;24;2;0;37;0;42;1;14;16
"panino";0;0;0;0;0;0;0;3;1;2;3;12;4;1;0;0;4;0;14;0;4;7
"colazione";0;0;0;0;0;0;0;0;2;0;1;0;6;1;0;0;1;0;1;0;0;3
"cibo";0;0;1;6;1;6;4;12;4;7;5;4;7;12;2;0;16;0;8;0;13;7
"quattro";0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;2;0;0;0;3;2
"e_che";0;1;0;1;0;0;0;3;0;0;1;2;1;2;0;0;1;0;3;0;0;2
"sabato";0;0;1;1;0;1;1;5;0;2;2;1;0;2;0;0;3;0;1;0;1;1
"cicoria";1;0;0;2;0;1;1;0;0;1;2;0;0;1;0;0;1;0;3;0;1;0
"altro";1;1;3;2;0;2;3;10;6;2;4;6;7;9;0;1;8;0;4;1;4;8
"genuino";0;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;3;0;0;0;2;2
"bibita";0;0;2;2;0;0;0;0;3;0;0;2;1;0;0;0;2;0;1;0;0;0
"condimento";0;0;0;0;0;0;0;3;0;0;0;2;1;0;0;0;2;0;3;0;1;1
"vicino";0;0;1;0;0;1;3;4;3;0;0;0;1;2;0;0;1;0;2;0;3;0
"menu";0;0;0;6;1;5;0;2;3;1;1;0;5;3;0;1;5;0;4;0;1;2
"croccante";0;0;0;0;0;0;0;1;1;0;0;3;1;2;0;0;4;0;4;0;0;1
"bar";0;0;0;0;0;1;0;1;3;0;1;2;3;2;0;1;4;0;0;0;0;2
"bottiglia";0;0;0;4;0;1;2;1;0;0;1;1;1;1;0;0;4;0;0;0;2;1
"ordine";0;0;1;0;0;0;1;2;2;0;1;2;0;4;0;0;0;0;0;0;1;0
"bancone";0;0;1;0;0;0;0;1;2;0;2;1;0;3;0;0;0;0;1;0;2;0
"menù";1;0;3;2;0;0;3;0;3;4;3;1;4;7;0;0;4;0;11;0;2;0
"professionale";0;0;0;1;0;0;0;0;1;0;0;0;2;1;0;0;2;0;3;0;1;1
"consiglio";0;0;1;0;0;1;2;10;2;2;7;4;10;10;1;0;11;0;11;2;11;10
"interno";0;0;0;0;0;1;2;1;1;0;5;0;3;1;0;0;5;0;3;0;2;1
"fantastico";0;0;0;0;0;1;0;3;0;0;0;3;1;1;1;0;1;0;1;0;7;6
"caffè";3;0;3;0;0;2;2;0;0;1;4;2;6;1;0;0;5;0;1;0;0;0
"pezzo";0;0;0;0;0;3;0;4;0;2;0;2;4;2;0;0;1;0;0;0;0;0
"sapore";0;0;0;1;1;1;0;3;3;3;1;4;3;4;1;0;6;1;6;1;6;5
"ogni";0;0;0;0;0;0;1;0;0;2;2;3;7;5;0;0;6;0;8;0;2;4
"pecca";0;0;0;1;0;0;1;1;0;0;0;1;2;2;0;0;0;0;1;0;1;3
"bello";0;0;0;2;0;0;1;8;2;0;4;2;4;7;0;1;5;0;8;0;9;3
"verdura";0;0;0;0;0;1;0;1;0;0;2;1;3;1;0;0;1;0;3;0;4;2
"serata";1;0;2;3;1;0;5;4;8;4;1;2;1;4;0;0;6;0;5;0;3;0
"piazza";0;0;0;0;0;0;0;3;2;0;1;1;0;0;0;0;3;0;1;1;0;0
