"";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"pre";-0,435;-0,4968;-0,3754;-1,1158;-0,6414;-0,3769;1,058;1,0915;-0,3444;-1,1479;0,4676;-0,4618;-0,6521;-2,315;-0,4288;-0,2592;1,3324;-0,5022;1,8989;0,9153;0,3067;-0,4742
"nom";-1,0779;-0,4079;-1,3383;-0,9234;0,3203;0,8793;0,3658;-1,8821;0,3879;0,3422;-0,4983;0,5473;0,9201;-0,5363;-0,6667;-0,7864;0,7404;0,4961;0,9706;-0,6792;0,4153;0,3514
"ver";-0,2589;0,3327;2,5014;1,153;0,7278;1,436;1,2088;-0,6502;0,8041;0,6677;2,3332;0,3794;-0,9352;-0,512;-0,3828;0,2738;-1,7387;0,2679;-1,599;-0,302;0,3427;-1,0997
"adv_sup";0,6575;0,7191;1,7082;1,97;0,5962;-0,5862;-0,8096;0,4121;-0,4368;0,4601;0,3601;-0,3471;-0,3014;1,2412;0,292;-0,6869;-0,407;0,3791;-2,0101;-0,3896;-0,5671;-0,3948
"ver_sup";0,7599;3,1712;0,594;-0,3243;1,0641;0,6973;0,7485;2,8968;0,5214;2,6355;-1,8114;-0,7882;0,6766;1,7775;0,438;1,3997;-2,9285;-0,6174;-2,0534;-0,5786;-1,9043;-1,086
"int";-0,0547;-0,076;-0,1482;-0,2841;-0,0358;-0,287;0,3437;0,7;0,4923;0,2339;0,5653;0,4496;-0,2445;-0,4414;-0,0561;-0,0271;-1,081;-0,0166;-0,2684;2,6466;-0,2489;0,3763
"nom_sup";1,567;0,6484;0,4431;0,4401;-0,4908;0,4204;1,085;1,1756;-0,4416;1,703;0,8567;-0,9134;-0,3801;-1,0939;0,799;0,2785;0,7028;-0,4709;-1,3197;0,8526;-1,3028;-0,9925
"pro";0,7804;3,4074;1,0929;1,7886;-0,6204;-1,0356;0,9623;2,1944;1,9299;1,2917;0,4191;-0,373;-2,8958;0,4638;-0,6812;0,6907;-1,3357;-0,6313;-2,9768;-0,4086;-0,4521;-0,5562
"sw";0,4385;0,3776;-1,0739;1,103;-0,9869;-0,411;1,0372;-0,3657;0,3609;0,4203;0,752;-0,2999;-0,7068;-0,3066;-0,5448;-0,3506;0,7501;-0,7767;0,4285;-0,8015;-0,6845;-0,6094
"adj_sup";0,2466;-1,0816;0,3979;-0,5981;0,2386;0,4429;1,1471;-0,2919;0,6124;-0,8466;0,4375;-0,6127;1,0284;-0,3503;-0,7144;0,3658;-0,4368;-0,3913;-0,3992;0,3049;0,6378;-0,4246
"abr";0,7153;0,5894;0,3564;-0,1544;-0,0609;0,518;1,7507;0,3029;-0,3883;0,3654;1,0298;-0,4346;0,3458;-0,2907;-0,0953;-0,046;-1,097;-0,0282;-0,2353;-0,0522;-0,2663;-1,088
"num";0,9026;-0,592;5,2701;3,0248;-0,5458;5,0708;-0,7028;3,4019;0,6455;-0,462;0,5338;-0,4163;0,666;-1,2999;1,3226;-0,413;-2,6976;-0,2526;-1,6891;-0,4686;-3,4891;-1,8162
"adv";0,2554;0,5875;-0,359;1,2425;-0,183;-0,2968;-1,2307;-1,8471;0,3542;1,7629;0,3529;-0,3673;-2,0881;0,3312;-0,8326;0,2191;-0,5371;0,3642;0,5974;-0,1432;-0,4926;2,6626
"det";-0,5464;0,9043;-0,5985;-0,6921;0,4523;-0,8298;1,3014;-0,5082;-0,8664;1,7257;-1,0077;0,8317;-0,6516;-0,7472;0,8055;-0,56;1,0193;1,6494;0,5588;0,4854;-1,2905;0,5911
"nr";0,7138;-4,469;-0,2803;-2,4515;-0,9207;-1,2212;-2,7633;-0,5085;-1,9236;-1,2669;0,3793;1,2327;-0,649;-2,1685;2,8007;0,8771;3,2586;-0,3861;1,3;0,4598;2,1359;1,2887
"npr";-0,0109;-0,0152;-0,0296;-0,0568;-0,0072;-0,0574;-0,0524;-0,1404;-0,1032;-0,0761;-0,091;-0,1114;-0,1306;-0,1934;-0,0112;-0,0054;1,1557;-0,0033;0,3851;-0,0061;0,5812;-0,128
"adj";-1,1383;-3,746;-4,6739;-0,7327;-0,3489;-1,2796;-2,3423;-1,2553;-0,3653;-2,5424;-0,5406;-0,3879;1,7027;1,861;-0,4201;-0,3943;-0,3644;0,4104;1,974;0,2761;1,8898;1,8996
"con";-0,2873;-0,4068;0,3698;-0,3397;0,7108;0,4454;-2,7777;-0,8141;-0,5633;-2,5845;-0,9156;-0,3829;1,4196;2,2686;-0,5537;0,5189;-0,3704;0,4142;0,4672;0,346;1,0173;0,2997
