"";"*RATING_1.2";"*RATING_1.8";"*RATING_2";"*RATING_2.2";"*RATING_2.4";"*RATING_2.6";"*RATING_2.8";"*RATING_3";"*RATING_3.2";"*RATING_3.4";"*RATING_3.6";"*RATING_3.8";"*RATING_4";"*RATING_4.2";"*RATING_4.25";"*RATING_4.33";"*RATING_4.4";"*RATING_4.5";"*RATING_4.6";"*RATING_4.75";"*RATING_4.8";"*RATING_5"
"pre";34;47;96;169;20;186;190;479;333;228;304;354;407;557;35;18;720;9;777;26;427;405
"nom";43;70;123;251;35;288;251;599;486;360;417;530;630;865;48;21;1001;18;1072;25;618;596
"ver";26;37;93;150;21;155;140;309;254;188;248;261;281;427;25;13;444;8;476;14;306;272
"adv_sup";24;33;70;127;16;98;86;255;181;143;167;198;233;367;21;7;372;7;359;10;227;225
"ver_sup";21;40;50;85;16;95;88;250;161;145;113;154;205;316;19;14;265;3;294;7;167;172
"int";0;0;0;0;0;0;1;3;2;1;2;2;1;1;0;0;0;0;2;2;1;2
"nom_sup";8;7;11;20;1;20;23;54;30;35;35;28;39;49;6;2;73;0;57;4;31;32
"pro";17;34;44;85;6;57;72;193;145;105;110;127;117;226;10;9;220;2;215;6;148;141
"sw";7;9;10;38;1;28;35;70;55;42;54;57;60;97;4;2;118;0;119;1;61;60
"adj_sup";3;1;9;12;2;17;20;36;31;15;26;25;42;48;1;2;52;0;56;2;39;31
"abr";1;1;1;1;0;2;4;3;1;2;4;1;3;3;0;0;1;0;4;0;2;0
"num";4;1;18;21;0;26;6;41;21;11;18;17;26;23;5;0;20;0;26;0;8;12
"adv";2;4;4;15;1;9;4;13;18;21;16;17;11;32;0;1;31;1;41;1;19;35
"det";20;39;57;110;17;109;127;279;198;184;172;245;256;373;29;9;458;13;472;15;246;273
"nr";17;4;36;48;5;57;42;160;100;77;112;151;146;192;26;10;300;3;292;9;187;172
"npr";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0
"adj";27;27;60;170;22;163;137;408;322;203;279;346;447;643;34;16;656;12;756;20;455;442
"con";16;21;46;83;14;89;54;190;144;85;121;160;214;317;14;10;304;6;334;10;210;187
