id|date|name|nickname|no_rating|message
91|2020-01-10|Ristorante Est Est Est|orixtours|50|eravamo in quattro, compreso mio fratello regista che vive a Roma da anni. Ottimo conoscitore di locali, ha definito gli spaghetti cacio e pepe i migliori di Roma. Spaghetti allo scoglio meglio che al mare. Personale gentile e premuroso. Locale tranquillo e accogliente. Siamo tornati la sera dopo.
91|2020-01-6|Ristorante Est Est Est|Paolo P|10|Questo ristorante è conosciuto per le paste tradizionali, abbiamo prenotato con due giorni di preavviso per una cena con otto amici, arrivati ad ordinare il cameriere ci comunica che a causa della mancanza dello Chef non era possibile avere nessuna pasta! Non è professionale non avvisare i clienti di un servizio diverso o che il menù sarà dimezzato!!! Diverse persone infatti se ne sono andate. La proprietà non ha riconosciuto nessun benefit per il disservizio.
91|2019-09-15|Ristorante Est Est Est|Zenzeroman|30|Location carina e spartana, tavoli ben separati tra loro. Servizio freddo e poco partecipe, personale molto scazzato.Amatriciana buona e ben condita, servita abbondante. Sapori bilanciati, retrogusto piccante molto apprezzato.Saltimbocca alla romana cannati, mancanti di salvia e prosciutto.Tiramisù buono anche se lo sciroppo di cioccolato rovina l intero mix di sapori.Prezzi davvero buoni.3 stelle raggiunte a fatica, non saprei se consigliarlo!
91|2019-07-7|Ristorante Est Est Est|P4658WOstefanob|30|Uno dei tanti modesti ristoranti di città... nulla di interessante, sfrutta una posizione interessante in quanto vicino a Termini e piazza Repubblica... anche a due passi da diversi Hotel. Cucina modesta, servizio sufficiente, prezzi un po’ al limite vista l’offerta
91|2019-06-27|Ristorante Est Est Est|Marcostraveler21|40|Ci sono stato qualche giorno fa a pranzo... Servizio eccellente camerieri simpatici e accoglienti in particolare Katy
91|2020-01-15|1. CasaManco|139maris|50|Alla fine capisci perchè un’architetta lascia la professione per sfornare prodotti! Perchè aveva un progetto ben preciso! E’ in grado di realizzare impasti pazzeschi con forme strepitose che si baciano perfettamente con il nostro palato e si incastrano sapientemente nel nostro stomaco! Fantastica fra tutti i premi affissi alle pareti manca il mio:MIGLIOR ARCHIFETTA del mondo!
91|2019-12-30|1. CasaManco|Sulami|50|Ce ne sono tante, diverse ma sempre con ottimi ingredienti.  Non potete sbagliare. Da provare in particolare quella con la scarola, uvetta e alici.
91|2019-12-16|1. CasaManco|Walter M|50|Trovata per caso dentro il mercato del testaccio di domenica ha dato un senso ad un viaggio milano roma che sarebbe stato altrimenti per i miei affari, deludente. Val la pena di venire da Milano apposta per mangiarsi queste pizze romane? Non lo so. Se ci mettiamo anche rivedersi Roma che è stupenda e grandiosa, senz altro si.
91|2019-12-15|1. CasaManco|michelecN7346SM|50|Personale educato e simpatico, pizza straordinariamente buona con ingredienti di prima qualità, consiglio vivamente 👍👍👍👍👩‍🍳👩‍🍳👩‍🍳
91|2019-12-8|1. CasaManco|andreacP359MT|50|C è poco da aggiungere al titolo di questa recensione, un impasto superlativo, un condimento ottimo, un bilanciamento dei sapori perfetto. Prezzo super onesto. Sicuramente una delle più buone pizze di Roma. Vale la pena farci un salto, personalmente la migliore pizza  romana  che abbia assaggiato in vita mia (gusto prettamente personale) personale gentile e disponibile. Un nome del quale si sentirà parlare a lungo..continuate così..
