id|name|no_review|no_rating|link
91|Ristorante Est Est Est|631|35|/Restaurant_Review-g187791-d5504724-Reviews-Ristorante_Est_Est_Est-Rome_Lazio.html
91|1. CasaManco|321|50|/Restaurant_Review-g187791-d11793251-Reviews-CasaManco-Rome_Lazio.html
91|2. Masto|434|45|/Restaurant_Review-g187791-d10478263-Reviews-Masto-Rome_Lazio.html
91|3. La Fata Ignorante|4605|45|/Restaurant_Review-g187791-d3598856-Reviews-La_Fata_Ignorante-Rome_Lazio.html
91|4. Mordi e Vai|775|45|/Restaurant_Review-g187791-d3662985-Reviews-Mordi_e_Vai-Rome_Lazio.html
91|5. Panna & Co|152|50|/Restaurant_Review-g187791-d8618086-Reviews-Panna_Co-Rome_Lazio.html
91|6. Trapizzino Testaccio|1344|45|/Restaurant_Review-g187791-d4313949-Reviews-Trapizzino_Testaccio-Rome_Lazio.html
91|7. Gelateria Brivido|158|45|/Restaurant_Review-g187791-d5011643-Reviews-Gelateria_Brivido-Rome_Lazio.html
91|8. Sushisen|2040|45|/Restaurant_Review-g187791-d793647-Reviews-Sushisen-Rome_Lazio.html
91|9. Il Pangocciolaio|246|45|/Restaurant_Review-g187791-d1172218-Reviews-Il_Pangocciolaio-Rome_Lazio.html
91|10. Trattoria Pennestri|471|45|/Restaurant_Review-g187791-d12321823-Reviews-Trattoria_Pennestri-Rome_Lazio.html
91|11. Sushi Doku|637|45|/Restaurant_Review-g187791-d9976688-Reviews-Sushi_Doku-Rome_Lazio.html
91|12. Sakana Sushi|1298|45|/Restaurant_Review-g187791-d2527304-Reviews-Sakana_Sushi-Rome_Lazio.html
91|13. La Vecchia Lupiae|196|45|/Restaurant_Review-g187791-d8818231-Reviews-La_Vecchia_Lupiae-Rome_Lazio.html
91|14. Junsei Restaurant Kaiten Sushi|327|45|/Restaurant_Review-g187791-d2437213-Reviews-Junsei_Restaurant_Kaiten_Sushi-Rome_Lazio.html
91|15. Lo Scopettaro|4331|45|/Restaurant_Review-g187791-d802441-Reviews-Lo_Scopettaro-Rome_Lazio.html
91|16. Ristorante Eritrea|279|40|/Restaurant_Review-g187791-d7074530-Reviews-Ristorante_Eritrea-Rome_Lazio.html
91|17. Osteria degli Amici|594|40|/Restaurant_Review-g187791-d2253960-Reviews-Osteria_degli_Amici-Rome_Lazio.html
91|18. Il nido gusto e miscele|257|45|/Restaurant_Review-g187791-d11766636-Reviews-Il_Nido_Gusto_e_Miscele-Rome_Lazio.html
91|19. Pecorino|1344|40|/Restaurant_Review-g187791-d1077801-Reviews-Pecorino-Rome_Lazio.html
91|20. Hostaria da Enzo|849|45|/Restaurant_Review-g187791-d1788657-Reviews-Hostaria_da_Enzo-Rome_Lazio.html
91|21. PIZZERIA OSTIENSE|739|40|/Restaurant_Review-g187791-d6550888-Reviews-PIZZERIA_OSTIENSE-Rome_Lazio.html
91|22. Piatto Romano|271|40|/Restaurant_Review-g187791-d2669660-Reviews-Piatto_Romano-Rome_Lazio.html
91|23. Gelateria La Romana - Roma, via Ostiense|1851|40|/Restaurant_Review-g187791-d6463411-Reviews-Gelateria_La_Romana_Roma_via_Ostiense-Rome_Lazio.html
91|24. Taverna Volpetti|416|40|/Restaurant_Review-g187791-d1034675-Reviews-Taverna_Volpetti-Rome_Lazio.html
91|25. Molì|257|40|/Restaurant_Review-g187791-d2630138-Reviews-Moli-Rome_Lazio.html
91|26. Tbsp Spot Testaccio|67|50|/Restaurant_Review-g187791-d13223268-Reviews-Tbsp_Spot_Testaccio-Rome_Lazio.html
91|27. Felice a Testaccio|5650|40|/Restaurant_Review-g187791-d1519608-Reviews-Felice_a_Testaccio-Rome_Lazio.html
91|28. Osteria Fratelli Mori|886|40|/Restaurant_Review-g187791-d939672-Reviews-Osteria_Fratelli_Mori_Novecento-Rome_Lazio.html
91|29. Polpetta Gazometro|748|45|/Restaurant_Review-g187791-d3873638-Reviews-Polpetta_Gazometro-Rome_Lazio.html
91|30. Pasticceria Andreotti|447|40|/Restaurant_Review-g187791-d2022387-Reviews-Pasticceria_Andreotti-Rome_Lazio.html
91|Il Tempio di Minerva|2713|45|/Restaurant_Review-g187791-d1632970-Reviews-Il_Tempio_di_Minerva-Rome_Lazio.html
91|31. Il Grottino|787|40|/Restaurant_Review-g187791-d796291-Reviews-Il_Grottino-Rome_Lazio.html
91|32. Assuntina Ristorante|274|40|/Restaurant_Review-g187791-d8748265-Reviews-Assuntina_Ristorante-Rome_Lazio.html
91|33. Pasticceria Linari|206|40|/Restaurant_Review-g187791-d2054372-Reviews-Pasticceria_Linari-Rome_Lazio.html
91|34. Ristorante Pizzeria Antico Forno a Testaccio|384|40|/Restaurant_Review-g187791-d2055772-Reviews-Antico_Forno_a_Testaccio-Rome_Lazio.html
91|35. Pizzeria da Remo|1775|40|/Restaurant_Review-g187791-d781235-Reviews-Pizzeria_da_Remo-Rome_Lazio.html
91|36. Stazione di Posta|523|40|/Restaurant_Review-g187791-d3786267-Reviews-Stazione_di_Posta-Rome_Lazio.html
91|37. Bar Giolitti|361|40|/Restaurant_Review-g187791-d3295042-Reviews-Bar_Giolitti-Rome_Lazio.html
91|38. Ai Cocci|160|45|/Restaurant_Review-g187791-d15244534-Reviews-Ai_Cocci-Rome_Lazio.html
91|39. Nuovo Mondo|777|40|/Restaurant_Review-g187791-d796378-Reviews-Nuovo_Mondo-Rome_Lazio.html
91|40. Taberna Persiana|283|40|/Restaurant_Review-g187791-d1551448-Reviews-Taberna_Persiana-Rome_Lazio.html
91|41. Alice Pizza Ostiense|200|40|/Restaurant_Review-g187791-d8076018-Reviews-Alice_Pizza_Ostiense-Rome_Lazio.html
91|42. Augustarello a Testaccio|499|40|/Restaurant_Review-g187791-d743400-Reviews-Augustarello_a_Testaccio-Rome_Lazio.html
91|43. Enoteca Divinare|91|45|/Restaurant_Review-g187791-d2204294-Reviews-Enoteca_Divinare-Rome_Lazio.html
91|44. Doppiozeroo|1120|35|/Restaurant_Review-g187791-d1504821-Reviews-Doppiozeroo-Rome_Lazio.html
91|45. Da Bucatino|2664|40|/Restaurant_Review-g187791-d796383-Reviews-Da_Bucatino-Rome_Lazio.html
91|46. Lì Ar Monte|109|40|/Restaurant_Review-g187791-d13813954-Reviews-Li_Ar_Monte-Rome_Lazio.html
91|47. Il Secchio e l'Olivaro - Ostiense|642|35|/Restaurant_Review-g187791-d4924435-Reviews-Il_Secchio_e_l_Olivaro_Ostiense-Rome_Lazio.html
91|48. La Fraschetta di Mastro Giorgio|803|40|/Restaurant_Review-g187791-d781963-Reviews-La_Fraschetta_di_Mastro_Giorgio-Rome_Lazio.html
91|49. Makai Surf & Tiki Bar|133|45|/Restaurant_Review-g187791-d11912126-Reviews-Makai_Surf_Tiki_Bar-Rome_Lazio.html
91|50. Checchino dal 1887|536|35|/Restaurant_Review-g187791-d696509-Reviews-Checchino_Dal_1887-Rome_Lazio.html
91|51. Trattoria Perilli|1964|40|/Restaurant_Review-g187791-d785276-Reviews-Trattoria_Perilli-Rome_Lazio.html
91|52. Mercat Bistrot & Old Bar|246|40|/Restaurant_Review-g187791-d5854621-Reviews-Mercat_Bistrot_Old_Bar-Rome_Lazio.html
91|53. Rec23 Restaurant Emporio Club|979|40|/Restaurant_Review-g187791-d2479482-Reviews-Rec23_Restaurant_Emporio_Club-Rome_Lazio.html
91|54. Oasi della Birra - Enoteca Palombi|528|35|/Restaurant_Review-g187791-d1061648-Reviews-Oasi_della_Birra_Enoteca_Palombi-Rome_Lazio.html
91|55. Flavio Al Velavevodetto|3691|40|/Restaurant_Review-g187791-d1878559-Reviews-Flavio_Al_Velavevodetto-Rome_Lazio.html
91|56. Gazometro38|608|40|/Restaurant_Review-g187791-d8026506-Reviews-Gazometro38-Rome_Lazio.html
91|57. Cacio e Cocci|366|40|/Restaurant_Review-g187791-d2318398-Reviews-Cacio_e_Cocci-Rome_Lazio.html
91|58. Crochon Noel Joseph|41|50|/Restaurant_Review-g187791-d6418072-Reviews-Crochon_Noel_Joseph-Rome_Lazio.html
91|59. Oishi Restaurant|1136|40|/Restaurant_Review-g187791-d5770644-Reviews-Oishi_Restaurant-Rome_Lazio.html
91|60. Il Piccolo Alpino|113|40|/Restaurant_Review-g187791-d3343172-Reviews-Il_Piccolo_Alpino-Rome_Lazio.html
91|Florian’s|597|35|/Restaurant_Review-g187791-d2648265-Reviews-Florian_s-Rome_Lazio.html
91|61. Da Oio a Casa Mia|1268|35|/Restaurant_Review-g187791-d812379-Reviews-Da_Oio_a_Casa_Mia-Rome_Lazio.html
91|62. Banco Fast Food|206|40|/Restaurant_Review-g187791-d8116314-Reviews-Banco_Fast_Food-Rome_Lazio.html
91|63. Porto Fluviale|3724|35|/Restaurant_Review-g187791-d3684994-Reviews-Porto_Fluviale-Rome_Lazio.html
91|64. Ketumbar|863|35|/Restaurant_Review-g187791-d793200-Reviews-Ketumbar-Rome_Lazio.html
91|65. Giansanti|104|40|/Restaurant_Review-g187791-d2533796-Reviews-Giansanti-Rome_Lazio.html
